ATC_CODE,Dataset_source,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB04,CANCER,A,A01,A01A,A01AB,A01AB04
A01AB04,Corpus_2011,A,A01,A01A,A01AB,A01AB04
A01AB04,Corpus_2013,A,A01,A01A,A01AB,A01AB04
A01AB04,Drugbank,A,A01,A01A,A01AB,A01AB04
A01AB04,HEP,A,A01,A01A,A01AB,A01AB04
A01AB04,HIV,A,A01,A01A,A01AB,A01AB04
A01AB04,KEGG,A,A01,A01A,A01AB,A01AB04
A01AB04,NDFRT,A,A01,A01A,A01AB,A01AB04
A01AB04,NLM_corpus,A,A01,A01A,A01AB,A01AB04
A01AB04,Twosides,A,A01,A01A,A01AB,A01AB04
A01AB09,CANCER,A,A01,A01A,A01AB,A01AB09
A01AB09,Corpus_2013,A,A01,A01A,A01AB,A01AB09
A01AB09,CredibleMeds,A,A01,A01A,A01AB,A01AB09
A01AB09,DanishDB,A,A01,A01A,A01AB,A01AB09
A01AB09,Drugbank,A,A01,A01A,A01AB,A01AB09
A01AB09,HEP,A,A01,A01A,A01AB,A01AB09
A01AB09,HIV,A,A01,A01A,A01AB,A01AB09
A01AB09,KEGG,A,A01,A01A,A01AB,A01AB09
A01AB09,NDFRT,A,A01,A01A,A01AB,A01AB09
A01AB09,ONC_NI,A,A01,A01A,A01AB,A01AB09
A01AB09,Twosides,A,A01,A01A,A01AB,A01AB09
A01AB13,CANCER,A,A01,A01A,A01AB,A01AB13
A01AB13,Corpus_2011,A,A01,A01A,A01AB,A01AB13
A01AB13,Corpus_2013,A,A01,A01A,A01AB,A01AB13
A01AB13,Drugbank,A,A01,A01A,A01AB,A01AB13
A01AB13,KEGG,A,A01,A01A,A01AB,A01AB13
A01AB13,NDFRT,A,A01,A01A,A01AB,A01AB13
A01AB13,NLM_corpus,A,A01,A01A,A01AB,A01AB13
A01AB13,PK_corpus,A,A01,A01A,A01AB,A01AB13
A01AB13,Twosides,A,A01,A01A,A01AB,A01AB13
A01AB17,CANCER,A,A01,A01A,A01AB,A01AB17
A01AB17,Corpus_2011,A,A01,A01A,A01AB,A01AB17
