ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB04,A,A01,A01A,A01AB,A01AB04
A01AB09,A,A01,A01A,A01AB,A01AB09
A01AB13,A,A01,A01A,A01AB,A01AB13
A01AB17,A,A01,A01A,A01AB,A01AB17
A01AB22,A,A01,A01A,A01AB,A01AB22
A01AC01,A,A01,A01A,A01AC,A01AC01
A01AC02,A,A01,A01A,A01AC,A01AC02
A01AC54,A,A01,A01A,A01AC,A01AC54
A02A,A,A02,A02A,A02A,A02A
A02AB01,A,A02,A02A,A02AB,A02AB01
A02BA01,A,A02,A02B,A02BA,A02BA01
A02BA02,A,A02,A02B,A02BA,A02BA02
A02BA03,A,A02,A02B,A02BA,A02BA03
A02BA07,A,A02,A02B,A02BA,A02BA07
A02BA51,A,A02,A02B,A02BA,A02BA51
A02BA53,A,A02,A02B,A02BA,A02BA53
A02BC01,A,A02,A02B,A02BC,A02BC01
A02BC02,A,A02,A02B,A02BC,A02BC02
A02BC03,A,A02,A02B,A02BC,A02BC03
A02BC04,A,A02,A02B,A02BC,A02BC04
A02BC05,A,A02,A02B,A02BC,A02BC05
A02BC53,A,A02,A02B,A02BC,A02BC53
A02BC54,A,A02,A02B,A02BC,A02BC54
A02BD01,A,A02,A02B,A02BD,A02BD01
A02BD02,A,A02,A02B,A02BD,A02BD02
A02BD03,A,A02,A02B,A02BD,A02BD03
A02BD04,A,A02,A02B,A02BD,A02BD04
A02BD05,A,A02,A02B,A02BD,A02BD05
A02BD06,A,A02,A02B,A02BD,A02BD06
A02BD07,A,A02,A02B,A02BD,A02BD07
A02BD08,A,A02,A02B,A02BD,A02BD08
A02BD09,A,A02,A02B,A02BD,A02BD09
A02BD10,A,A02,A02B,A02BD,A02BD10
A02BD11,A,A02,A02B,A02BD,A02BD11
A02AA,A,A02,A02A,A02AA,A02AA
A02AA01,A,A02,A02A,A02AA,A02AA01
A02AA02,A,A02,A02A,A02AA,A02AA02
A02AA03,A,A02,A02A,A02AA,A02AA03
A02AA04,A,A02,A02A,A02AA,A02AA04
A02AA05,A,A02,A02A,A02AA,A02AA05
A03AE01,A,A03,A03A,A03AE,A03AE01
A03FA01,A,A03,A03F,A03FA,A03FA01
A03FA02,A,A03,A03F,A03FA,A03FA02
A03FA03,A,A03,A03F,A03FA,A03FA03
A04AD10,A,A04,A04A,A04AD,A04AD10
A04AD12,A,A04,A04A,A04AD,A04AD12
A04AA01,A,A04,A04A,A04AA,A04AA01
A04AA02,A,A04,A04A,A04AA,A04AA02
A04AA03,A,A04,A04A,A04AA,A04AA03
A04AA04,A,A04,A04A,A04AA,A04AA04
A04AA05,A,A04,A04A,A04AA,A04AA05
A04AA55,A,A04,A04A,A04AA,A04AA55
A06AB02,A,A06,A06A,A06AB,A06AB02
A06AB06,A,A06,A06A,A06AB,A06AB06
A06AB52,A,A06,A06A,A06AB,A06AB52
A06AD11,A,A06,A06A,A06AD,A06AD11
A06AD61,A,A06,A06A,A06AD,A06AD61
A06AG02,A,A06,A06A,A06AG,A06AG02
A06AX05,A,A06,A06A,A06AX,A06AX05
A07AC01,A,A07,A07A,A07AC,A07AC01
A07DA03,A,A07,A07D,A07DA,A07DA03
A07DA52,A,A07,A07D,A07DA,A07DA52
A07DA53,A,A07,A07D,A07DA,A07DA53
A07EA01,A,A07,A07E,A07EA,A07EA01
A07EA03,A,A07,A07E,A07EA,A07EA03
A07EA04,A,A07,A07E,A07EA,A07EA04
A07EA06,A,A07,A07E,A07EA,A07EA06
A07EA07,A,A07,A07E,A07EA,A07EA07
A07EC02,A,A07,A07E,A07EC,A07EC02
A07AA02,A,A07,A07A,A07AA,A07AA02
A07AA04,A,A07,A07A,A07AA,A07AA04
A07AA07,A,A07,A07A,A07AA,A07AA07
A07AA08,A,A07,A07A,A07AA,A07AA08
A07AA09,A,A07,A07A,A07AA,A07AA09
A07AA11,A,A07,A07A,A07AA,A07AA11
A07AA54,A,A07,A07A,A07AA,A07AA54
A08AA62,A,A08,A08A,A08AA,A08AA62
A10AB01,A,A10,A10A,A10AB,A10AB01
A10AC01,A,A10,A10A,A10AC,A10AC01
A10AD01,A,A10,A10A,A10AD,A10AD01
A10AE01,A,A10,A10A,A10AE,A10AE01
A10AE56,A,A10,A10A,A10AE,A10AE56
A10AF01,A,A10,A10A,A10AF,A10AF01
A10BA02,A,A10,A10B,A10BA,A10BA02
A10BB01,A,A10,A10B,A10BB,A10BB01
A10BB03,A,A10,A10B,A10BB,A10BB03
A10BB07,A,A10,A10B,A10BB,A10BB07
A10BB09,A,A10,A10B,A10BB,A10BB09
A10BB12,A,A10,A10B,A10BB,A10BB12
A10BD02,A,A10,A10B,A10BD,A10BD02
A10BD03,A,A10,A10B,A10BD,A10BD03
A10BD04,A,A10,A10B,A10BD,A10BD04
A10BD05,A,A10,A10B,A10BD,A10BD05
A10BD06,A,A10,A10B,A10BD,A10BD06
A10BD07,A,A10,A10B,A10BD,A10BD07
A10BD08,A,A10,A10B,A10BD,A10BD08
A10BD09,A,A10,A10B,A10BD,A10BD09
A10BD10,A,A10,A10B,A10BD,A10BD10
A10BD11,A,A10,A10B,A10BD,A10BD11
A10BD12,A,A10,A10B,A10BD,A10BD12
A10BD13,A,A10,A10B,A10BD,A10BD13
A10BD14,A,A10,A10B,A10BD,A10BD14
A10BD15,A,A10,A10B,A10BD,A10BD15
A10BD16,A,A10,A10B,A10BD,A10BD16
A10BD17,A,A10,A10B,A10BD,A10BD17
A10BD18,A,A10,A10B,A10BD,A10BD18
A10BD19,A,A10,A10B,A10BD,A10BD19
A10BD20,A,A10,A10B,A10BD,A10BD20
A10BD21,A,A10,A10B,A10BD,A10BD21
A10BD22,A,A10,A10B,A10BD,A10BD22
A10BD23,A,A10,A10B,A10BD,A10BD23
A10BD24,A,A10,A10B,A10BD,A10BD24
A10BD25,A,A10,A10B,A10BD,A10BD25
A10BF01,A,A10,A10B,A10BF,A10BF01
A10BG02,A,A10,A10B,A10BG,A10BG02
A10BG03,A,A10,A10B,A10BG,A10BG03
A10BH01,A,A10,A10B,A10BH,A10BH01
A10BH02,A,A10,A10B,A10BH,A10BH02
A10BH03,A,A10,A10B,A10BH,A10BH03
A10BH05,A,A10,A10B,A10BH,A10BH05
A10BH51,A,A10,A10B,A10BH,A10BH51
A10BH52,A,A10,A10B,A10BH,A10BH52
A10BJ01,A,A10,A10B,A10BJ,A10BJ01
A10BJ02,A,A10,A10B,A10BJ,A10BJ02
A10BJ05,A,A10,A10B,A10BJ,A10BJ05
A10BX02,A,A10,A10B,A10BX,A10BX02
A10BX03,A,A10,A10B,A10BX,A10BX03
A11CA01,A,A11,A11C,A11CA,A11CA01
A11GB01,A,A11,A11G,A11GB,A11GB01
A11HA01,A,A11,A11H,A11HA,A11HA01
A11HA02,A,A11,A11H,A11HA,A11HA02
A11HA04,A,A11,A11H,A11HA,A11HA04
A11AA02,A,A11,A11A,A11AA,A11AA02
A14AB01,A,A14,A14A,A14AB,A14AB01
A14AA02,A,A14,A14A,A14AA,A14AA02
B01AB01,B,B01,B01A,B01AB,B01AB01
B01AB04,B,B01,B01A,B01AB,B01AB04
B01AB05,B,B01,B01A,B01AB,B01AB05
B01AB06,B,B01,B01A,B01AB,B01AB06
B01AB10,B,B01,B01A,B01AB,B01AB10
B01AB51,B,B01,B01A,B01AB,B01AB51
B01AC04,B,B01,B01A,B01AC,B01AC04
B01AC07,B,B01,B01A,B01AC,B01AC07
B01AC22,B,B01,B01A,B01AC,B01AC22
B01AC24,B,B01,B01A,B01AC,B01AC24
B01AD01,B,B01,B01A,B01AD,B01AD01
B01AF01,B,B01,B01A,B01AF,B01AF01
B01AF02,B,B01,B01A,B01AF,B01AF02
B01AF03,B,B01,B01A,B01AF,B01AF03
B01AX05,B,B01,B01A,B01AX,B01AX05
B01AA03,B,B01,B01A,B01AA,B01AA03
B01AA04,B,B01,B01A,B01AA,B01AA04
B01AA07,B,B01,B01A,B01AA,B01AA07
B02BA01,B,B02,B02B,B02BA,B02BA01
B02BX05,B,B02,B02B,B02BX,B02BX05
B02AA02,B,B02,B02A,B02AA,B02AA02
B06AA55,B,B06,B06A,B06AA,B06AA55
C01BA01,C,C01,C01B,C01BA,C01BA01
C01BA03,C,C01,C01B,C01BA,C01BA03
C01BA51,C,C01,C01B,C01BA,C01BA51
C01BA71,C,C01,C01B,C01BA,C01BA71
C01BB02,C,C01,C01B,C01BB,C01BB02
C01BC03,C,C01,C01B,C01BC,C01BC03
C01BC04,C,C01,C01B,C01BC,C01BC04
C01BD01,C,C01,C01B,C01BD,C01BD01
C01CA04,C,C01,C01C,C01CA,C01CA04
C01DA08,C,C01,C01D,C01DA,C01DA08
C01DA58,C,C01,C01D,C01DA,C01DA58
C01EB16,C,C01,C01E,C01EB,C01EB16
C01EB17,C,C01,C01E,C01EB,C01EB17
C01EB18,C,C01,C01E,C01EB,C01EB18
C01AA05,C,C01,C01A,C01AA,C01AA05
C02AC01,C,C02,C02A,C02AC,C02AC01
C02CA01,C,C02,C02C,C02CA,C02CA01
C02CA04,C,C02,C02C,C02CA,C02CA04
C02DB02,C,C02,C02D,C02DB,C02DB02
C02DD01,C,C02,C02D,C02DD,C02DD01
C02KX01,C,C02,C02K,C02KX,C02KX01
C02KX02,C,C02,C02K,C02KX,C02KX02
C02KX04,C,C02,C02K,C02KX,C02KX04
C02KX52,C,C02,C02K,C02KX,C02KX52
C02LC01,C,C02,C02L,C02LC,C02LC01
C02LC51,C,C02,C02L,C02LC,C02LC51
C02LE01,C,C02,C02L,C02LE,C02LE01
C02LG02,C,C02,C02L,C02LG,C02LG02
C03AB01,C,C03,C03A,C03AB,C03AB01
C03AB02,C,C03,C03A,C03AB,C03AB02
C03AB03,C,C03,C03A,C03AB,C03AB03
C03AB04,C,C03,C03A,C03AB,C03AB04
C03AB05,C,C03,C03A,C03AB,C03AB05
C03AB06,C,C03,C03A,C03AB,C03AB06
C03AB07,C,C03,C03A,C03AB,C03AB07
C03AB08,C,C03,C03A,C03AB,C03AB08
C03AB09,C,C03,C03A,C03AB,C03AB09
C03AX01,C,C03,C03A,C03AX,C03AX01
C03BA08,C,C03,C03B,C03BA,C03BA08
C03BA10,C,C03,C03B,C03BA,C03BA10
C03BA11,C,C03,C03B,C03BA,C03BA11
C03BB02,C,C03,C03B,C03BB,C03BB02
C03BB03,C,C03,C03B,C03BB,C03BB03
C03BB04,C,C03,C03B,C03BB,C03BB04
C03BB05,C,C03,C03B,C03BB,C03BB05
C03BB07,C,C03,C03B,C03BB,C03BB07
C03CA01,C,C03,C03C,C03CA,C03CA01
C03CA04,C,C03,C03C,C03CA,C03CA04
C03CB01,C,C03,C03C,C03CB,C03CB01
C03CB02,C,C03,C03C,C03CB,C03CB02
C03DA01,C,C03,C03D,C03DA,C03DA01
C03DB01,C,C03,C03D,C03DB,C03DB01
C03EA01,C,C03,C03E,C03EA,C03EA01
