ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB04,A,A01,A01A,A01AB,A01AB04
A01AB08,A,A01,A01A,A01AB,A01AB08
A01AB09,A,A01,A01A,A01AB,A01AB09
A01AB13,A,A01,A01A,A01AB,A01AB13
A01AB17,A,A01,A01A,A01AB,A01AB17
A01AB18,A,A01,A01A,A01AB,A01AB18
A01AB22,A,A01,A01A,A01AB,A01AB22
A01AB23,A,A01,A01A,A01AB,A01AB23
A01AC02,A,A01,A01A,A01AC,A01AC02
A01AC03,A,A01,A01A,A01AC,A01AC03
A01AC54,A,A01,A01A,A01AC,A01AC54
A01AD01,A,A01,A01A,A01AD,A01AD01
A01AD05,A,A01,A01A,A01AD,A01AD05
A02AB01,A,A02,A02A,A02AB,A02AB01
A02AB02,A,A02,A02A,A02AB,A02AB02
A02AC01,A,A02,A02A,A02AC,A02AC01
A02AD03,A,A02,A02A,A02AD,A02AD03
A02BA01,A,A02,A02B,A02BA,A02BA01
A02BA02,A,A02,A02B,A02BA,A02BA02
A02BA03,A,A02,A02B,A02BA,A02BA03
A02BA04,A,A02,A02B,A02BA,A02BA04
A02BA07,A,A02,A02B,A02BA,A02BA07
A02BA51,A,A02,A02B,A02BA,A02BA51
A02BA53,A,A02,A02B,A02BA,A02BA53
A02BC01,A,A02,A02B,A02BC,A02BC01
A02BC02,A,A02,A02B,A02BC,A02BC02
A02BC03,A,A02,A02B,A02BC,A02BC03
A02BC05,A,A02,A02B,A02BC,A02BC05
A02BC53,A,A02,A02B,A02BC,A02BC53
A02BD01,A,A02,A02B,A02BD,A02BD01
A02BD02,A,A02,A02B,A02BD,A02BD02
A02BD03,A,A02,A02B,A02BD,A02BD03
A02BD04,A,A02,A02B,A02BD,A02BD04
A02BD05,A,A02,A02B,A02BD,A02BD05
A02BD06,A,A02,A02B,A02BD,A02BD06
A02BD07,A,A02,A02B,A02BD,A02BD07
A02BD08,A,A02,A02B,A02BD,A02BD08
A02BD09,A,A02,A02B,A02BD,A02BD09
A02BD10,A,A02,A02B,A02BD,A02BD10
A02BD11,A,A02,A02B,A02BD,A02BD11
A02BX02,A,A02,A02B,A02BX,A02BX02
A03AB02,A,A03,A03A,A03AB,A03AB02
A03AB05,A,A03,A03A,A03AB,A03AB05
A03AD01,A,A03,A03A,A03AD,A03AD01
A03AE01,A,A03,A03A,A03AE,A03AE01
A03BA01,A,A03,A03B,A03BA,A03BA01
A03BA03,A,A03,A03B,A03BA,A03BA03
A03CA02,A,A03,A03C,A03CA,A03CA02
A03CA05,A,A03,A03C,A03CA,A03CA05
A03CA34,A,A03,A03C,A03CA,A03CA34
A03CB03,A,A03,A03C,A03CB,A03CB03
