ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB03,A,A01,A01A,A01AB,A01AB03
A01AB09,A,A01,A01A,A01AB,A01AB09
A02AB04,A,A02,A02A,A02AB,A02AB04
A02AD01,A,A02,A02A,A02AD,A02AD01
A02AH,A,A02,A02A,A02AH,A02AH
A02BA02,A,A02,A02B,A02BA,A02BA02
A02BB01,A,A02,A02B,A02BB,A02BB01
A02BC01,A,A02,A02B,A02BC,A02BC01
A02BC02,A,A02,A02B,A02BC,A02BC02
A02BC03,A,A02,A02B,A02BC,A02BC03
A02BC04,A,A02,A02B,A02BC,A02BC04
A02BC05,A,A02,A02B,A02BC,A02BC05
A02BX02,A,A02,A02B,A02BX,A02BX02
A02BX13,A,A02,A02B,A02BX,A02BX13
A02AA04,A,A02,A02A,A02AA,A02AA04
A03BB01,A,A03,A03B,A03BB,A03BB01
A03FA01,A,A03,A03F,A03FA,A03FA01
A03FA03,A,A03,A03F,A03FA,A03FA03
A04A,A,A04,A04A,A04A,A04A
A04AD12,A,A04,A04A,A04AD,A04AD12
A04AA01,A,A04,A04A,A04AA,A04AA01
A04AA02,A,A04,A04A,A04AA,A04AA02
A04AA05,A,A04,A04A,A04AA,A04AA05
A04AA55,A,A04,A04A,A04AA,A04AA55
A05AA02,A,A05,A05A,A05AA,A05AA02
A06AB58,A,A06,A06A,A06AB,A06AB58
A06AC01,A,A06,A06A,A06AC,A06AC01
A06AD,A,A06,A06A,A06AD,A06AD
A06AD65,A,A06,A06A,A06AD,A06AD65
A06AH03,A,A06,A06A,A06AH,A06AH03
A06AX05,A,A06,A06A,A06AX,A06AX05
A07BA01,A,A07,A07B,A07BA,A07BA01
A07DA03,A,A07,A07D,A07DA,A07DA03
A07DA53,A,A07,A07D,A07DA,A07DA53
A07EA02,A,A07,A07E,A07EA,A07EA02
A07EA06,A,A07,A07E,A07EA,A07EA06
A07EC01,A,A07,A07E,A07EC,A07EC01
A07EC02,A,A07,A07E,A07EC,A07EC02
A07EC04,A,A07,A07E,A07EC,A07EC04
A07AA02,A,A07,A07A,A07AA,A07AA02
A07AA09,A,A07,A07A,A07AA,A07AA09
A07AA12,A,A07,A07A,A07AA,A07AA12
A08AB01,A,A08,A08A,A08AB,A08AB01
A08AA62,A,A08,A08A,A08AA,A08AA62
A10AB01,A,A10,A10A,A10AB,A10AB01
