ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB02,A,A01,A01A,A01AB,A01AB02
A01AB04,A,A01,A01A,A01AB,A01AB04
A01AB07,A,A01,A01A,A01AB,A01AB07
A01AB08,A,A01,A01A,A01AB,A01AB08
A01AB09,A,A01,A01A,A01AB,A01AB09
A01AB12,A,A01,A01A,A01AB,A01AB12
A01AB13,A,A01,A01A,A01AB,A01AB13
A01AB16,A,A01,A01A,A01AB,A01AB16
A01AB17,A,A01,A01A,A01AB,A01AB17
A01AB18,A,A01,A01A,A01AB,A01AB18
A01AB22,A,A01,A01A,A01AB,A01AB22
A01AB23,A,A01,A01A,A01AB,A01AB23
A01AC01,A,A01,A01A,A01AC,A01AC01
A01AC02,A,A01,A01A,A01AC,A01AC02
A01AC03,A,A01,A01A,A01AC,A01AC03
A01AC54,A,A01,A01A,A01AC,A01AC54
A01AD01,A,A01,A01A,A01AD,A01AD01
A01AD02,A,A01,A01A,A01AD,A01AD02
A01AD05,A,A01,A01A,A01AD,A01AD05
A01AD06,A,A01,A01A,A01AD,A01AD06
A01AA01,A,A01,A01A,A01AA,A01AA01
A01AA02,A,A01,A01A,A01AA,A01AA02
A01AA51,A,A01,A01A,A01AA,A01AA51
A02AB01,A,A02,A02A,A02AB,A02AB01
A02AB02,A,A02,A02A,A02AB,A02AB02
A02AB03,A,A02,A02A,A02AB,A02AB03
A02AB05,A,A02,A02A,A02AB,A02AB05
A02AB06,A,A02,A02A,A02AB,A02AB06
A02AB07,A,A02,A02A,A02AB,A02AB07
A02AC01,A,A02,A02A,A02AC,A02AC01
A02AC02,A,A02,A02A,A02AC,A02AC02
A02AD02,A,A02,A02A,A02AD,A02AD02
A02AD03,A,A02,A02A,A02AD,A02AD03
A02AD04,A,A02,A02A,A02AD,A02AD04
A02AD05,A,A02,A02A,A02AD,A02AD05
A02AF01,A,A02,A02A,A02AF,A02AF01
A02BA01,A,A02,A02B,A02BA,A02BA01
A02BA02,A,A02,A02B,A02BA,A02BA02
A02BA03,A,A02,A02B,A02BA,A02BA03
A02BA04,A,A02,A02B,A02BA,A02BA04
A02BA05,A,A02,A02B,A02BA,A02BA05
A02BA06,A,A02,A02B,A02BA,A02BA06
A02BA07,A,A02,A02B,A02BA,A02BA07
A02BA08,A,A02,A02B,A02BA,A02BA08
A02BA51,A,A02,A02B,A02BA,A02BA51
A02BA53,A,A02,A02B,A02BA,A02BA53
A02BB01,A,A02,A02B,A02BB,A02BB01
A02BB02,A,A02,A02B,A02BB,A02BB02
A02BC01,A,A02,A02B,A02BC,A02BC01
A02BC02,A,A02,A02B,A02BC,A02BC02
A02BC03,A,A02,A02B,A02BC,A02BC03
A02BC04,A,A02,A02B,A02BC,A02BC04
A02BC05,A,A02,A02B,A02BC,A02BC05
A02BC06,A,A02,A02B,A02BC,A02BC06
A02BC07,A,A02,A02B,A02BC,A02BC07
A02BC53,A,A02,A02B,A02BC,A02BC53
A02BC54,A,A02,A02B,A02BC,A02BC54
A02BD01,A,A02,A02B,A02BD,A02BD01
A02BD02,A,A02,A02B,A02BD,A02BD02
A02BD03,A,A02,A02B,A02BD,A02BD03
A02BD04,A,A02,A02B,A02BD,A02BD04
A02BD05,A,A02,A02B,A02BD,A02BD05
A02BD06,A,A02,A02B,A02BD,A02BD06
A02BD07,A,A02,A02B,A02BD,A02BD07
A02BD08,A,A02,A02B,A02BD,A02BD08
A02BD09,A,A02,A02B,A02BD,A02BD09
A02BD10,A,A02,A02B,A02BD,A02BD10
A02BD11,A,A02,A02B,A02BD,A02BD11
A02BX02,A,A02,A02B,A02BX,A02BX02
A02BX03,A,A02,A02B,A02BX,A02BX03
A02BX12,A,A02,A02B,A02BX,A02BX12
A02AA01,A,A02,A02A,A02AA,A02AA01
A02AA02,A,A02,A02A,A02AA,A02AA02
A02AA03,A,A02,A02A,A02AA,A02AA03
A02AA04,A,A02,A02A,A02AA,A02AA04
A02AA05,A,A02,A02A,A02AA,A02AA05
A03AB01,A,A03,A03A,A03AB,A03AB01
A03AB02,A,A03,A03A,A03AB,A03AB02
A03AB03,A,A03,A03A,A03AB,A03AB03
A03AB04,A,A03,A03A,A03AB,A03AB04
A03AB05,A,A03,A03A,A03AB,A03AB05
A03AB06,A,A03,A03A,A03AB,A03AB06
A03AB07,A,A03,A03A,A03AB,A03AB07
A03AB08,A,A03,A03A,A03AB,A03AB08
A03AB09,A,A03,A03A,A03AB,A03AB09
A03AB10,A,A03,A03A,A03AB,A03AB10
A03AB11,A,A03,A03A,A03AB,A03AB11
A03AB12,A,A03,A03A,A03AB,A03AB12
A03AB13,A,A03,A03A,A03AB,A03AB13
A03AB14,A,A03,A03A,A03AB,A03AB14
A03AB15,A,A03,A03A,A03AB,A03AB15
A03AB16,A,A03,A03A,A03AB,A03AB16
A03AB17,A,A03,A03A,A03AB,A03AB17
A03AB18,A,A03,A03A,A03AB,A03AB18
A03AB19,A,A03,A03A,A03AB,A03AB19
A03AB21,A,A03,A03A,A03AB,A03AB21
A03AB53,A,A03,A03A,A03AB,A03AB53
A03AD01,A,A03,A03A,A03AD,A03AD01
A03AE01,A,A03,A03A,A03AE,A03AE01
A03AE03,A,A03,A03A,A03AE,A03AE03
A03AX04,A,A03,A03A,A03AX,A03AX04
A03AX08,A,A03,A03A,A03AX,A03AX08
A03AX10,A,A03,A03A,A03AX,A03AX10
A03AX11,A,A03,A03A,A03AX,A03AX11
A03AX58,A,A03,A03A,A03AX,A03AX58
A03BA01,A,A03,A03B,A03BA,A03BA01
A03BA03,A,A03,A03B,A03BA,A03BA03
A03BB01,A,A03,A03B,A03BB,A03BB01
A03BB03,A,A03,A03B,A03BB,A03BB03
A03BB05,A,A03,A03B,A03BB,A03BB05
A03CA01,A,A03,A03C,A03CA,A03CA01
A03CA02,A,A03,A03C,A03CA,A03CA02
A03CA03,A,A03,A03C,A03CA,A03CA03
A03CA04,A,A03,A03C,A03CA,A03CA04
A03CA05,A,A03,A03C,A03CA,A03CA05
A03CA06,A,A03,A03C,A03CA,A03CA06
A03CA08,A,A03,A03C,A03CA,A03CA08
A03CA09,A,A03,A03C,A03CA,A03CA09
A03CA30,A,A03,A03C,A03CA,A03CA30
A03CA34,A,A03,A03C,A03CA,A03CA34
