ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB04,A,A01,A01A,A01AB,A01AB04
A01AB08,A,A01,A01A,A01AB,A01AB08
A01AB09,A,A01,A01A,A01AB,A01AB09
A01AB13,A,A01,A01A,A01AB,A01AB13
A01AB17,A,A01,A01A,A01AB,A01AB17
A01AB18,A,A01,A01A,A01AB,A01AB18
A01AB21,A,A01,A01A,A01AB,A01AB21
A01AB22,A,A01,A01A,A01AB,A01AB22
A01AB23,A,A01,A01A,A01AB,A01AB23
A01AC01,A,A01,A01A,A01AC,A01AC01
A01AC02,A,A01,A01A,A01AC,A01AC02
A01AC03,A,A01,A01A,A01AC,A01AC03
A01AD01,A,A01,A01A,A01AD,A01AD01
A01AD02,A,A01,A01A,A01AD,A01AD02
A01AD05,A,A01,A01A,A01AD,A01AD05
A01AD06,A,A01,A01A,A01AD,A01AD06
A02AB01,A,A02,A02A,A02AB,A02AB01
A02AB02,A,A02,A02A,A02AB,A02AB02
A02AB03,A,A02,A02A,A02AB,A02AB03
A02AB04,A,A02,A02A,A02AB,A02AB04
A02AB07,A,A02,A02A,A02AB,A02AB07
A02AC01,A,A02,A02A,A02AC,A02AC01
A02AC02,A,A02,A02A,A02AC,A02AC02
A02AD02,A,A02,A02A,A02AD,A02AD02
A02AD03,A,A02,A02A,A02AD,A02AD03
A02AD04,A,A02,A02A,A02AD,A02AD04
A02AD05,A,A02,A02A,A02AD,A02AD05
A02BA01,A,A02,A02B,A02BA,A02BA01
A02BA02,A,A02,A02B,A02BA,A02BA02
A02BA03,A,A02,A02B,A02BA,A02BA03
A02BA04,A,A02,A02B,A02BA,A02BA04
A02BA05,A,A02,A02B,A02BA,A02BA05
A02BA06,A,A02,A02B,A02BA,A02BA06
A02BA07,A,A02,A02B,A02BA,A02BA07
A02BA08,A,A02,A02B,A02BA,A02BA08
A02BB01,A,A02,A02B,A02BB,A02BB01
A02BB02,A,A02,A02B,A02BB,A02BB02
A02BC01,A,A02,A02B,A02BC,A02BC01
A02BC02,A,A02,A02B,A02BC,A02BC02
A02BC03,A,A02,A02B,A02BC,A02BC03
A02BC04,A,A02,A02B,A02BC,A02BC04
A02BC05,A,A02,A02B,A02BC,A02BC05
A02BC06,A,A02,A02B,A02BC,A02BC06
A02BC08,A,A02,A02B,A02BC,A02BC08
A02BD03,A,A02,A02B,A02BD,A02BD03
A02BD07,A,A02,A02B,A02BD,A02BD07
A02BD12,A,A02,A02B,A02BD,A02BD12
A02BD13,A,A02,A02B,A02BD,A02BD13
A02BD14,A,A02,A02B,A02BD,A02BD14
A02BD15,A,A02,A02B,A02BD,A02BD15
A02BX02,A,A02,A02B,A02BX,A02BX02
