ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB04,A,A01,A01A,A01AB,A01AB04
A01AB08,A,A01,A01A,A01AB,A01AB08
A01AB09,A,A01,A01A,A01AB,A01AB09
A01AB13,A,A01,A01A,A01AB,A01AB13
A01AB17,A,A01,A01A,A01AB,A01AB17
A01AB18,A,A01,A01A,A01AB,A01AB18
A01AB22,A,A01,A01A,A01AB,A01AB22
A01AB23,A,A01,A01A,A01AB,A01AB23
A01AC01,A,A01,A01A,A01AC,A01AC01
A01AC02,A,A01,A01A,A01AC,A01AC02
A01AC03,A,A01,A01A,A01AC,A01AC03
A01AD01,A,A01,A01A,A01AD,A01AD01
A01AD05,A,A01,A01A,A01AD,A01AD05
A02AB01,A,A02,A02A,A02AB,A02AB01
A02AB03,A,A02,A02A,A02AB,A02AB03
A02AC01,A,A02,A02A,A02AC,A02AC01
A02AD02,A,A02,A02A,A02AD,A02AD02
A02BA01,A,A02,A02B,A02BA,A02BA01
A02BA02,A,A02,A02B,A02BA,A02BA02
A02BA03,A,A02,A02B,A02BA,A02BA03
A02BA04,A,A02,A02B,A02BA,A02BA04
A02BC01,A,A02,A02B,A02BC,A02BC01
A02BC02,A,A02,A02B,A02BC,A02BC02
A02BC03,A,A02,A02B,A02BC,A02BC03
A02BC04,A,A02,A02B,A02BC,A02BC04
A02BC05,A,A02,A02B,A02BC,A02BC05
A02BC06,A,A02,A02B,A02BC,A02BC06
A02BX02,A,A02,A02B,A02BX,A02BX02
A02AA01,A,A02,A02A,A02AA,A02AA01
A02AA02,A,A02,A02A,A02AA,A02AA02
A02AA04,A,A02,A02A,A02AA,A02AA04
A03AB03,A,A03,A03A,A03AB,A03AB03
A03AB05,A,A03,A03A,A03AB,A03AB05
A03AB07,A,A03,A03A,A03AB,A03AB07
A03AB08,A,A03,A03A,A03AB,A03AB08
A03AB12,A,A03,A03A,A03AB,A03AB12
A03AD01,A,A03,A03A,A03AD,A03AD01
A03AE01,A,A03,A03A,A03AE,A03AE01
A03BA01,A,A03,A03B,A03BA,A03BA01
A03BA03,A,A03,A03B,A03BA,A03BA03
A03BB03,A,A03,A03B,A03BB,A03BB03
A03FA01,A,A03,A03F,A03FA,A03FA01
A03FA02,A,A03,A03F,A03FA,A03FA02
A03FA03,A,A03,A03F,A03FA,A03FA03
A03AA01,A,A03,A03A,A03AA,A03AA01
A03AA07,A,A03,A03A,A03AA,A03AA07
A04AD01,A,A04,A04A,A04AD,A04AD01
A04AD12,A,A04,A04A,A04AD,A04AD12
A04AA01,A,A04,A04A,A04AA,A04AA01
A04AA05,A,A04,A04A,A04AA,A04AA05
A06AD01,A,A06,A06A,A06AD,A06AD01
