ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB04,A,A01,A01A,A01AB,A01AB04
A01AB08,A,A01,A01A,A01AB,A01AB08
A01AB13,A,A01,A01A,A01AB,A01AB13
A01AD01,A,A01,A01A,A01AD,A01AD01
A01AD05,A,A01,A01A,A01AD,A01AD05
A02AB01,A,A02,A02A,A02AB,A02AB01
A02AB02,A,A02,A02A,A02AB,A02AB02
A02AD03,A,A02,A02A,A02AD,A02AD03
A02BA01,A,A02,A02B,A02BA,A02BA01
A02BA51,A,A02,A02B,A02BA,A02BA51
A02BC01,A,A02,A02B,A02BC,A02BC01
A02BC02,A,A02,A02B,A02BC,A02BC02
A02BC03,A,A02,A02B,A02BC,A02BC03
A02BC05,A,A02,A02B,A02BC,A02BC05
A02BC06,A,A02,A02B,A02BC,A02BC06
A02BC53,A,A02,A02B,A02BC,A02BC53
A02BD01,A,A02,A02B,A02BD,A02BD01
A02BD02,A,A02,A02B,A02BD,A02BD02
A02BD03,A,A02,A02B,A02BD,A02BD03
A02BD04,A,A02,A02B,A02BD,A02BD04
A02BD05,A,A02,A02B,A02BD,A02BD05
A02BD06,A,A02,A02B,A02BD,A02BD06
A02BD07,A,A02,A02B,A02BD,A02BD07
A02BD08,A,A02,A02B,A02BD,A02BD08
A02BD09,A,A02,A02B,A02BD,A02BD09
A02BD10,A,A02,A02B,A02BD,A02BD10
A02BD11,A,A02,A02B,A02BD,A02BD11
A02BX02,A,A02,A02B,A02BX,A02BX02
A03AB05,A,A03,A03A,A03AB,A03AB05
A03BA01,A,A03,A03B,A03BA,A03BA01
A03CA34,A,A03,A03C,A03CA,A03CA34
A03CB03,A,A03,A03C,A03CB,A03CB03
A03FA01,A,A03,A03F,A03FA,A03FA01
A06AD18,A,A06,A06A,A06AD,A06AD18
A06AG07,A,A06,A06A,A06AG,A06AG07
A07DA01,A,A07,A07D,A07DA,A07DA01
A07EC01,A,A07,A07E,A07EC,A07EC01
A07AA01,A,A07,A07A,A07AA,A07AA01
A07AA07,A,A07,A07A,A07AA,A07AA07
A07AA51,A,A07,A07A,A07AA,A07AA51
A10BB01,A,A10,A10B,A10BB,A10BB01
A10BB02,A,A10,A10B,A10BB,A10BB02
A10BB03,A,A10,A10B,A10BB,A10BB03
A10BH51,A,A10,A10B,A10BH,A10BH51
A11GB01,A,A11,A11G,A11GB,A11GB01
A11AA01,A,A11,A11A,A11AA,A11AA01
A11AA02,A,A11,A11A,A11AA,A11AA02
B01AB01,B,B01,B01A,B01AB,B01AB01
B01AB05,B,B01,B01A,B01AB,B01AB05
B01AB51,B,B01,B01A,B01AB,B01AB51
B01AC04,B,B01,B01A,B01AC,B01AC04
