ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A02BA01,A,A02,A02B,A02BA,A02BA01
A02BA51,A,A02,A02B,A02BA,A02BA51
A02BC01,A,A02,A02B,A02BC,A02BC01
A02BC02,A,A02,A02B,A02BC,A02BC02
A02BC03,A,A02,A02B,A02BC,A02BC03
A02BC04,A,A02,A02B,A02BC,A02BC04
A02BC53,A,A02,A02B,A02BC,A02BC53
A02BC54,A,A02,A02B,A02BC,A02BC54
A02BD01,A,A02,A02B,A02BD,A02BD01
A02BD02,A,A02,A02B,A02BD,A02BD02
A02BD03,A,A02,A02B,A02BD,A02BD03
A02BD04,A,A02,A02B,A02BD,A02BD04
A02BD05,A,A02,A02B,A02BD,A02BD05
A02BD06,A,A02,A02B,A02BD,A02BD06
A02BD07,A,A02,A02B,A02BD,A02BD07
A02BD09,A,A02,A02B,A02BD,A02BD09
A02BD10,A,A02,A02B,A02BD,A02BD10
A02BD11,A,A02,A02B,A02BD,A02BD11
A03FA02,A,A03,A03F,A03FA,A03FA02
A03FA03,A,A03,A03F,A03FA,A03FA03
A04AD12,A,A04,A04A,A04AD,A04AD12
A04AA01,A,A04,A04A,A04AA,A04AA01
A08AA01,A,A08,A08A,A08AA,A08AA01
A08AA03,A,A08,A08A,A08AA,A08AA03
A10BH51,A,A10,A10B,A10BH,A10BH51
B01AC05,B,B01,B01A,B01AC,B01AC05
C01BA01,C,C01,C01B,C01BA,C01BA01
C01BA02,C,C01,C01B,C01BA,C01BA02
C01BA03,C,C01,C01B,C01BA,C01BA03
C01BA51,C,C01,C01B,C01BA,C01BA51
C01BA71,C,C01,C01B,C01BA,C01BA71
C01BB02,C,C01,C01B,C01BB,C01BB02
C01BC03,C,C01,C01B,C01BC,C01BC03
C01BC04,C,C01,C01B,C01BC,C01BC04
C01BD01,C,C01,C01B,C01BD,C01BD01
C01BD04,C,C01,C01B,C01BD,C01BD04
C01BD05,C,C01,C01B,C01BD,C01BD05
C01BD07,C,C01,C01B,C01BD,C01BD07
C02KX01,C,C02,C02K,C02KX,C02KX01
C05AE03,C,C05,C05A,C05AE,C05AE03
C07BA07,C,C07,C07B,C07BA,C07BA07
C07FX02,C,C07,C07F,C07FX,C07FX02
C07AA07,C,C07,C07A,C07AA,C07AA07
C08DA01,C,C08,C08D,C08DA,C08DA01
C08DA51,C,C08,C08D,C08DA,C08DA51
C08DB01,C,C08,C08D,C08DB,C08DB01
C08EA02,C,C08,C08E,C08EA,C08EA02
C09BB10,C,C09,C09B,C09BB,C09BB10
C10AX02,C,C10,C10A,C10AX,C10AX02
C10BA01,C,C10,C10B,C10BA,C10BA01
C10BA02,C,C10,C10B,C10BA,C10BA02
C10BA04,C,C10,C10B,C10BA,C10BA04
C10BX01,C,C10,C10B,C10BX,C10BX01
C10BX04,C,C10,C10B,C10BX,C10BX04
C10AA01,C,C10,C10A,C10AA,C10AA01
C10AA02,C,C10,C10A,C10AA,C10AA02
D01AC08,D,D01,D01A,D01AC,D01AC08
