ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB09,A,A01,A01A,A01AB,A01AB09
A01AB18,A,A01,A01A,A01AB,A01AB18
A01AC01,A,A01,A01A,A01AC,A01AC01
A01AC02,A,A01,A01A,A01AC,A01AC02
A01AC03,A,A01,A01A,A01AC,A01AC03
A01AC54,A,A01,A01A,A01AC,A01AC54
A01AD05,A,A01,A01A,A01AD,A01AD05
A02AB01,A,A02,A02A,A02AB,A02AB01
A02AB02,A,A02,A02A,A02AB,A02AB02
A02AC01,A,A02,A02A,A02AC,A02AC01
A02AD03,A,A02,A02A,A02AD,A02AD03
A02BC01,A,A02,A02B,A02BC,A02BC01
A02BC02,A,A02,A02B,A02BC,A02BC02
A02BC03,A,A02,A02B,A02BC,A02BC03
A02BC04,A,A02,A02B,A02BC,A02BC04
A02BC53,A,A02,A02B,A02BC,A02BC53
A02BC54,A,A02,A02B,A02BC,A02BC54
A02BD01,A,A02,A02B,A02BD,A02BD01
A02BD02,A,A02,A02B,A02BD,A02BD02
A02BD03,A,A02,A02B,A02BD,A02BD03
A02BD04,A,A02,A02B,A02BD,A02BD04
A02BD05,A,A02,A02B,A02BD,A02BD05
A02BD07,A,A02,A02B,A02BD,A02BD07
A02BD09,A,A02,A02B,A02BD,A02BD09
A02BD10,A,A02,A02B,A02BD,A02BD10
A02BD11,A,A02,A02B,A02BD,A02BD11
A02AA02,A,A02,A02A,A02AA,A02AA02
A06AD02,A,A06,A06A,A06AD,A06AD02
A07AC01,A,A07,A07A,A07AC,A07AC01
A07EA01,A,A07,A07E,A07EA,A07EA01
A07EA02,A,A07,A07E,A07EA,A07EA02
A07EA03,A,A07,A07E,A07EA,A07EA03
A07EA04,A,A07,A07E,A07EA,A07EA04
A10BB01,A,A10,A10B,A10BB,A10BB01
A10BB02,A,A10,A10B,A10BB,A10BB02
A10BB03,A,A10,A10B,A10BB,A10BB03
A10BB05,A,A10,A10B,A10BB,A10BB05
A10BB07,A,A10,A10B,A10BB,A10BB07
A10BB08,A,A10,A10B,A10BB,A10BB08
A10BB09,A,A10,A10B,A10BB,A10BB09
A10BB11,A,A10,A10B,A10BB,A10BB11
A10BB12,A,A10,A10B,A10BB,A10BB12
A10BD04,A,A10,A10B,A10BD,A10BD04
A10BD06,A,A10,A10B,A10BD,A10BD06
A10BH51,A,A10,A10B,A10BH,A10BH51
A10BH52,A,A10,A10B,A10BH,A10BH52
A11GB01,A,A11,A11G,A11GB,A11GB01
A12CC10,A,A12,A12C,A12CC,A12CC10
A12AA04,A,A12,A12A,A12AA,A12AA04
B01AB01,B,B01,B01A,B01AB,B01AB01
B01AB04,B,B01,B01A,B01AB,B01AB04
B01AB05,B,B01,B01A,B01AB,B01AB05
B01AB51,B,B01,B01A,B01AB,B01AB51
B01AC04,B,B01,B01A,B01AC,B01AC04
B01AC06,B,B01,B01A,B01AC,B01AC06
B01AC07,B,B01,B01A,B01AC,B01AC07
B01AC56,B,B01,B01A,B01AC,B01AC56
B01AE02,B,B01,B01A,B01AE,B01AE02
B01AE03,B,B01,B01A,B01AE,B01AE03
B01AE06,B,B01,B01A,B01AE,B01AE06
B01AE07,B,B01,B01A,B01AE,B01AE07
B01AF01,B,B01,B01A,B01AF,B01AF01
B01AF02,B,B01,B01A,B01AF,B01AF02
B01AA03,B,B01,B01A,B01AA,B01AA03
B03AE01,B,B03,B03A,B03AE,B03AE01
B03AE02,B,B03,B03A,B03AE,B03AE02
B03BB01,B,B03,B03B,B03BB,B03BB01
B03BB51,B,B03,B03B,B03BB,B03BB51
B05CB04,B,B05,B05C,B05CB,B05CB04
B05XA02,B,B05,B05X,B05XA,B05XA02
C01EB03,C,C01,C01E,C01EB,C01EB03
C01EB16,C,C01,C01E,C01EB,C01EB16
C03AB01,C,C03,C03A,C03AB,C03AB01
C03AB02,C,C03,C03A,C03AB,C03AB02
C03AB03,C,C03,C03A,C03AB,C03AB03
C03AB04,C,C03,C03A,C03AB,C03AB04
C03AB05,C,C03,C03A,C03AB,C03AB05
C03AB06,C,C03,C03A,C03AB,C03AB06
C03AB08,C,C03,C03A,C03AB,C03AB08
C03AB09,C,C03,C03A,C03AB,C03AB09
C03AH01,C,C03,C03A,C03AH,C03AH01
C03AH02,C,C03,C03A,C03AH,C03AH02
C03AX01,C,C03,C03A,C03AX,C03AX01
C03EA01,C,C03,C03E,C03EA,C03EA01
C03EA02,C,C03,C03E,C03EA,C03EA02
C03EA13,C,C03,C03E,C03EA,C03EA13
C03AA01,C,C03,C03A,C03AA,C03AA01
C03AA02,C,C03,C03A,C03AA,C03AA02
C03AA03,C,C03,C03A,C03AA,C03AA03
C03AA04,C,C03,C03A,C03AA,C03AA04
