ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB13,A,A01,A01A,A01AB,A01AB13
A02AB01,A,A02,A02A,A02AB,A02AB01
A02AB02,A,A02,A02A,A02AB,A02AB02
A02AD03,A,A02,A02A,A02AD,A02AD03
A02BA01,A,A02,A02B,A02BA,A02BA01
A02BA02,A,A02,A02B,A02BA,A02BA02
A02BA07,A,A02,A02B,A02BA,A02BA07
A02BA51,A,A02,A02B,A02BA,A02BA51
A02BC01,A,A02,A02B,A02BC,A02BC01
A02BC03,A,A02,A02B,A02BC,A02BC03
A02BC53,A,A02,A02B,A02BC,A02BC53
A02BD01,A,A02,A02B,A02BD,A02BD01
A02BD02,A,A02,A02B,A02BD,A02BD02
A02BD03,A,A02,A02B,A02BD,A02BD03
A02BD04,A,A02,A02B,A02BD,A02BD04
A02BD05,A,A02,A02B,A02BD,A02BD05
A02BD06,A,A02,A02B,A02BD,A02BD06
A02BD07,A,A02,A02B,A02BD,A02BD07
A02BD08,A,A02,A02B,A02BD,A02BD08
A02BD09,A,A02,A02B,A02BD,A02BD09
A02BD10,A,A02,A02B,A02BD,A02BD10
A02BD11,A,A02,A02B,A02BD,A02BD11
A02BX02,A,A02,A02B,A02BX,A02BX02
A03FA01,A,A03,A03F,A03FA,A03FA01
A03FA02,A,A03,A03F,A03FA,A03FA02
A07EA03,A,A07,A07E,A07EA,A07EA03
A10BA02,A,A10,A10B,A10BA,A10BA02
A10BB01,A,A10,A10B,A10BB,A10BB01
A10BB03,A,A10,A10B,A10BB,A10BB03
A10BB07,A,A10,A10B,A10BB,A10BB07
A10BB12,A,A10,A10B,A10BB,A10BB12
A10BD02,A,A10,A10B,A10BD,A10BD02
A10BD03,A,A10,A10B,A10BD,A10BD03
A10BD04,A,A10,A10B,A10BD,A10BD04
A10BD05,A,A10,A10B,A10BD,A10BD05
A10BD06,A,A10,A10B,A10BD,A10BD06
A10BD07,A,A10,A10B,A10BD,A10BD07
A10BD08,A,A10,A10B,A10BD,A10BD08
A10BD10,A,A10,A10B,A10BD,A10BD10
A10BD11,A,A10,A10B,A10BD,A10BD11
A10BD13,A,A10,A10B,A10BD,A10BD13
A10BD14,A,A10,A10B,A10BD,A10BD14
A10BD15,A,A10,A10B,A10BD,A10BD15
A10BD16,A,A10,A10B,A10BD,A10BD16
A10BD17,A,A10,A10B,A10BD,A10BD17
A10BD18,A,A10,A10B,A10BD,A10BD18
A10BD20,A,A10,A10B,A10BD,A10BD20
A10BD22,A,A10,A10B,A10BD,A10BD22
A10BD23,A,A10,A10B,A10BD,A10BD23
A10BD25,A,A10,A10B,A10BD,A10BD25
A10BF01,A,A10,A10B,A10BF,A10BF01
A10BG02,A,A10,A10B,A10BG,A10BG02
A10BH51,A,A10,A10B,A10BH,A10BH51
A10BX02,A,A10,A10B,A10BX,A10BX02
A11AA01,A,A11,A11A,A11AA,A11AA01
B01AC04,B,B01,B01A,B01AC,B01AC04
B01AC09,B,B01,B01A,B01AC,B01AC09
B01AA03,B,B01,B01A,B01AA,B01AA03
B03AE01,B,B03,B03A,B03AE,B03AE01
B03AE02,B,B03,B03A,B03AE,B03AE02
B03AE03,B,B03,B03A,B03AE,B03AE03
B03AE04,B,B03,B03A,B03AE,B03AE04
C01BA01,C,C01,C01B,C01BA,C01BA01
C01BA51,C,C01,C01B,C01BA,C01BA51
C01BA71,C,C01,C01B,C01BA,C01BA71
C01BB01,C,C01,C01B,C01BB,C01BB01
C01BB02,C,C01,C01B,C01BB,C01BB02
C01BC03,C,C01,C01B,C01BC,C01BC03
C01EB03,C,C01,C01E,C01EB,C01EB03
C01EB16,C,C01,C01E,C01EB,C01EB16
C01AA04,C,C01,C01A,C01AA,C01AA04
C01AA05,C,C01,C01A,C01AA,C01AA05
C02CA04,C,C02,C02C,C02CA,C02CA04
C02KX01,C,C02,C02K,C02KX,C02KX01
C03AB03,C,C03,C03A,C03AB,C03AB03
C03AX01,C,C03,C03A,C03AX,C03AX01
C03CA01,C,C03,C03C,C03CA,C03CA01
C03CB01,C,C03,C03C,C03CB,C03CB01
C03EA01,C,C03,C03E,C03EA,C03EA01
C03EB01,C,C03,C03E,C03EB,C03EB01
