ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
A01AB02,A,A01,A01A,A01AB,A01AB02
A01AB03,A,A01,A01A,A01AB,A01AB03
A01AB04,A,A01,A01A,A01AB,A01AB04
A01AB08,A,A01,A01A,A01AB,A01AB08
A01AB09,A,A01,A01A,A01AB,A01AB09
A01AB12,A,A01,A01A,A01AB,A01AB12
A01AB13,A,A01,A01A,A01AB,A01AB13
A01AB17,A,A01,A01A,A01AB,A01AB17
A01AB18,A,A01,A01A,A01AB,A01AB18
A01AB22,A,A01,A01A,A01AB,A01AB22
A01AB23,A,A01,A01A,A01AB,A01AB23
A01AC01,A,A01,A01A,A01AC,A01AC01
A01AC02,A,A01,A01A,A01AC,A01AC02
A01AC03,A,A01,A01A,A01AC,A01AC03
A01AD01,A,A01,A01A,A01AD,A01AD01
A01AD02,A,A01,A01A,A01AD,A01AD02
A01AD05,A,A01,A01A,A01AD,A01AD05
A01AA01,A,A01,A01A,A01AA,A01AA01
A02AB01,A,A02,A02A,A02AB,A02AB01
A02AC01,A,A02,A02A,A02AC,A02AC01
A02AD02,A,A02,A02A,A02AD,A02AD02
A02BA01,A,A02,A02B,A02BA,A02BA01
A02BA02,A,A02,A02B,A02BA,A02BA02
A02BA03,A,A02,A02B,A02BA,A02BA03
A02BA04,A,A02,A02B,A02BA,A02BA04
A02BA06,A,A02,A02B,A02BA,A02BA06
A02BB01,A,A02,A02B,A02BB,A02BB01
A02BC01,A,A02,A02B,A02BC,A02BC01
A02BC02,A,A02,A02B,A02BC,A02BC02
A02BC03,A,A02,A02B,A02BC,A02BC03
A02BC04,A,A02,A02B,A02BC,A02BC04
A02BC05,A,A02,A02B,A02BC,A02BC05
A02BC06,A,A02,A02B,A02BC,A02BC06
A02BX02,A,A02,A02B,A02BX,A02BX02
A02BX03,A,A02,A02B,A02BX,A02BX03
A02BX13,A,A02,A02B,A02BX,A02BX13
A02AA01,A,A02,A02A,A02AA,A02AA01
A02AA02,A,A02,A02A,A02AA,A02AA02
A02AA04,A,A02,A02A,A02AA,A02AA04
A03AB05,A,A03,A03A,A03AB,A03AB05
A03AD01,A,A03,A03A,A03AD,A03AD01
A03AE01,A,A03,A03A,A03AE,A03AE01
A03AX04,A,A03,A03A,A03AX,A03AX04
A03AX08,A,A03,A03A,A03AX,A03AX08
A03AX10,A,A03,A03A,A03AX,A03AX10
A03AX12,A,A03,A03A,A03AX,A03AX12
A03BA01,A,A03,A03B,A03BA,A03BA01
A03BA03,A,A03,A03B,A03BA,A03BA03
A03BB01,A,A03,A03B,A03BB,A03BB01
A03BB03,A,A03,A03B,A03BB,A03BB03
A03FA01,A,A03,A03F,A03FA,A03FA01
A03FA02,A,A03,A03F,A03FA,A03FA02
A03FA03,A,A03,A03F,A03FA,A03FA03
A03FA04,A,A03,A03F,A03FA,A03FA04
A03FA05,A,A03,A03F,A03FA,A03FA05
A03AA04,A,A03,A03A,A03AA,A03AA04
A03AA05,A,A03,A03A,A03AA,A03AA05
A03AA07,A,A03,A03A,A03AA,A03AA07
A04AD01,A,A04,A04A,A04AD,A04AD01
A04AD05,A,A04,A04A,A04AD,A04AD05
A04AD10,A,A04,A04A,A04AD,A04AD10
A04AD11,A,A04,A04A,A04AD,A04AD11
A04AD12,A,A04,A04A,A04AD,A04AD12
A04AA01,A,A04,A04A,A04AA,A04AA01
A04AA02,A,A04,A04A,A04AA,A04AA02
A04AA03,A,A04,A04A,A04AA,A04AA03
A04AA04,A,A04,A04A,A04AA,A04AA04
A04AA05,A,A04,A04A,A04AA,A04AA05
A05BA03,A,A05,A05B,A05BA,A05BA03
A05BA08,A,A05,A05B,A05BA,A05BA08
A06AB02,A,A06,A06A,A06AB,A06AB02
A06AB04,A,A06,A06A,A06AB,A06AB04
A06AB05,A,A06,A06A,A06AB,A06AB05
A06AB06,A,A06,A06A,A06AB,A06AB06
A06AB08,A,A06,A06A,A06AB,A06AB08
A06AC03,A,A06,A06A,A06AC,A06AC03
A06AC05,A,A06,A06A,A06AC,A06AC05
A06AC06,A,A06,A06A,A06AC,A06AC06
A06AC08,A,A06,A06A,A06AC,A06AC08
A06AD01,A,A06,A06A,A06AD,A06AD01
A06AD02,A,A06,A06A,A06AD,A06AD02
A06AD04,A,A06,A06A,A06AD,A06AD04
A06AD11,A,A06,A06A,A06AD,A06AD11
A06AD12,A,A06,A06A,A06AD,A06AD12
A06AD16,A,A06,A06A,A06AD,A06AD16
A06AD17,A,A06,A06A,A06AD,A06AD17
A06AD18,A,A06,A06A,A06AD,A06AD18
A06AD19,A,A06,A06A,A06AD,A06AD19
A06AG01,A,A06,A06A,A06AG,A06AG01
A06AG02,A,A06,A06A,A06AG,A06AG02
A06AG04,A,A06,A06A,A06AG,A06AG04
A06AG07,A,A06,A06A,A06AG,A06AG07
A06AH02,A,A06,A06A,A06AH,A06AH02
A06AH04,A,A06,A06A,A06AH,A06AH04
A06AX01,A,A06,A06A,A06AX,A06AX01
A06AX03,A,A06,A06A,A06AX,A06AX03
A06AX04,A,A06,A06A,A06AX,A06AX04
A06AX06,A,A06,A06A,A06AX,A06AX06
A06AA01,A,A06,A06A,A06AA,A06AA01
A07AC01,A,A07,A07A,A07AC,A07AC01
A07AX03,A,A07,A07A,A07AX,A07AX03
A07BA01,A,A07,A07B,A07BA,A07BA01
A07BC01,A,A07,A07B,A07BC,A07BC01
A07BC02,A,A07,A07B,A07BC,A07BC02
A07BC04,A,A07,A07B,A07BC,A07BC04
A07DA01,A,A07,A07D,A07DA,A07DA01
A07DA02,A,A07,A07D,A07DA,A07DA02
A07DA03,A,A07,A07D,A07DA,A07DA03
A07EA01,A,A07,A07E,A07EA,A07EA01
A07EA02,A,A07,A07E,A07EA,A07EA02
A07EA03,A,A07,A07E,A07EA,A07EA03
