drug,codrug,Evidence_level,Clinical_significance,Management_option,level_1_atc_drug,level_1_atc_codrug,ATC_vector
G03FB08,J05AR14,begrænset dokumenteret,mulig,1,G,J,G03FB08_J05AR14
A08AA62,L02BA01,ringe dokumenteret,mulig,1,A,L,A08AA62_L02BA01
G03FA12,N03AX11,dokumenteret,moderat,1,G,N,G03FA12_N03AX11
G03AA14,N06AX25,veldokumenteret,moderat,1,G,N,G03AA14_N06AX25
L02BA01,N06AB03,ringe dokumenteret,mulig,1,L,N,L02BA01_N06AB03
C08CA05,J04AM06,veldokumenteret,udtalt,1,C,J,C08CA05_J04AM06
G03FB08,J05AE10,begrænset dokumenteret,mulig,1,G,J,G03FB08_J05AE10
G03AA09,J05AP53,veldokumenteret,mulig,1,G,J,G03AA09_J05AP53
G03FA01,N03AF04,dokumenteret,moderat,1,G,N,G03FA01_N03AF04
G03AB05,N03AF02,dokumenteret,moderat,1,G,N,G03AB05_N03AF02
G03FB08,J05AR22,begrænset dokumenteret,mulig,1,G,J,G03FB08_J05AR22
M04AA01,L04AX01,dokumenteret,udtalt,1,M,L,L04AX01_M04AA01
G03AA11,N03AF02,dokumenteret,moderat,1,G,N,G03AA11_N03AF02
G03AC01,N06AX25,veldokumenteret,moderat,1,G,N,G03AC01_N06AX25
V03AX03,N06AX25,ringe dokumenteret,uafklaret,1,V,N,N06AX25_V03AX03
N06BA12,N06AG02,begrænset dokumenteret,moderat,1,N,N,N06AG02_N06BA12
G03FA17,N03AX11,dokumenteret,moderat,1,G,N,G03FA17_N03AX11
G03AA10,J05AR14,begrænset dokumenteret,mulig,1,G,J,G03AA10_J05AR14
L01XE17,N06AX25,ringe dokumenteret,mulig,1,L,N,L01XE17_N06AX25
G03AA09,J05AR10,veldokumenteret,mulig,1,G,J,G03AA09_J05AR10
G03AA14,J05AE03,veldokumenteret,mulig,1,G,J,G03AA14_J05AE03
C10BA05,L04AD01,veldokumenteret,udtalt,1,C,L,C10BA05_L04AD01
G03AA13,J05AR22,begrænset dokumenteret,mulig,1,G,J,G03AA13_J05AR22
L04AD02,J01FA09,dokumenteret,udtalt,1,L,J,J01FA09_L04AD02
L01XX52,J04AM02,dokumenteret,udtalt,1,L,J,J04AM02_L01XX52
G03AA14,J05AP09,dokumenteret,udtalt,1,G,J,G03AA14_J05AP09
G03AA11,J05AR10,veldokumenteret,mulig,1,G,J,G03AA11_J05AR10
D01AE15,N06AA02,dokumenteret,udtalt,1,D,N,D01AE15_N06AA02
N03AA02,G03AA12,begrænset dokumenteret,moderat,1,N,G,G03AA12_N03AA02
J02AC02,L01CA02,dokumenteret,udtalt,1,J,L,J02AC02_L01CA02
G03AA14,N03AX11,dokumenteret,moderat,1,G,N,G03AA14_N03AX11
G03AA16,N03AF01,veldokumenteret,moderat,1,G,N,G03AA16_N03AF01
G03CA03,J05AE03,veldokumenteret,mulig,1,G,J,G03CA03_J05AE03
G03AD01,N03AF01,veldokumenteret,moderat,1,G,N,G03AD01_N03AF01
G03AB05,N03AF04,dokumenteret,moderat,1,G,N,G03AB05_N03AF04
J01DH03,N03AG01,begrænset dokumenteret,udtalt,1,J,N,J01DH03_N03AG01
G03AC09,N03AA02,begrænset dokumenteret,moderat,1,G,N,G03AC09_N03AA02
G03FA01,J05AE03,veldokumenteret,mulig,1,G,J,G03FA01_J05AE03
G03AB05,J05AE03,veldokumenteret,mulig,1,G,J,G03AB05_J05AE03
N03AA02,G03AA14,begrænset dokumenteret,moderat,1,N,G,G03AA14_N03AA02
J05AR22,N06AX25,ringe dokumenteret,uafklaret,1,J,N,J05AR22_N06AX25
G03AA16,J05AR22,begrænset dokumenteret,mulig,1,G,J,G03AA16_J05AR22
J05AP53,D01AC08,dokumenteret,udtalt,1,J,D,D01AC08_J05AP53
G03AB03,N03AF02,dokumenteret,moderat,1,G,N,G03AB03_N03AF02
G03FB06,N03AF02,dokumenteret,moderat,1,G,N,G03FB06_N03AF02
C08CA05,J04AB02,veldokumenteret,udtalt,1,C,J,C08CA05_J04AB02
J05AP02,G04BE09,ringe dokumenteret,mulig,1,J,G,G04BE09_J05AP02
G03AA09,N03AF01,veldokumenteret,moderat,1,G,N,G03AA09_N03AF01
G03AB03,N03AF04,dokumenteret,mulig,1,G,N,G03AB03_N03AF04
