ID_Stof,ATC_code
de8e96b5-a248-45db-8322-a57d7c8f823c,H03AA01
938f0465-ac41-480b-8cbf-e41548075327,S01EC01
b300aae7-7a56-47dd-aea0-3e3eaa02e988,D07CA01
3bfd5681-c836-43a5-9cf0-4bc2aa8485a8,D07CA01
78087646-35af-4cf9-b8be-e6da4eb26650,B01AB01
3bfd5681-c836-43a5-9cf0-4bc2aa8485a8,D06AA03
2d2dd6ca-3296-4286-9b0a-8ea782395972,D05AA
fcc24bcd-115d-432a-9073-62f9fd1e7f78,R06AA02
9865fb9c-b625-4f15-aa47-3b9221655c32,N01BB02
34d8e9c4-a54e-49a6-81d4-9f7536ce2435,N01BB52
9865fb9c-b625-4f15-aa47-3b9221655c32,N01BB52
7804fcf9-4ebe-4ec3-8886-276df16276bc,A03BB01
cad3e830-c588-46f8-b701-def2e2484e17,A07EC01
bf132f5d-47aa-43ff-8fc6-96e9db32668d,R06AD02
b81e0811-0ba5-483c-9106-4c8ff1925d38,J01FA01
b300aae7-7a56-47dd-aea0-3e3eaa02e988,H02AB09
9865fb9c-b625-4f15-aa47-3b9221655c32,D08AC02
b01de4a9-d50d-430f-ad82-38908415b5f9,A10BB03
0e80e585-c0f5-442f-bf39-aefd8958d87d,N06BA04
5b5aa433-03b0-48ac-8d9e-b38cb80eb06b,S01BA04
07a6d96c-aecc-4393-88a7-c091af2b3b22,N04AA02
436c91d1-271e-4916-bbc6-9d574bcdc984,N05AB04
ba2ab6c7-34e2-4306-be5a-bafcb2daf874,P01BA02
2dd10851-3d21-460f-b16b-0577f3f87a97,L01AA01
fc0f8c93-277b-4b17-986f-3825947d37f4,A02AB04
3bfd5681-c836-43a5-9cf0-4bc2aa8485a8,S01AA30
c7dc797f-b8cc-438c-84f2-8aecfceb808b,N07BB01
56f2c1ee-6198-4dbb-ab40-44b131d79f41,N05AD01
0d530c4a-0b30-4a44-80bf-43b39ed6c789,H02AB04
a6d491f3-ce70-4a09-847f-5e0c0a5430de,C03AB01
a0c7c04c-4c67-4ce9-bc17-50f1aff4e9c4,N05AA02
c1f1f6d0-3e23-45fe-8209-2285d2a90c0b,N06AF01
7f433804-6487-4285-b7de-cca60f3f7a0d,L01CA01
2c897fb5-be16-4099-86d9-97c2b3073095,N06AA09
3707f20f-d769-4dd0-9f8b-6a8e74bb8eb6,C05AA01
b300aae7-7a56-47dd-aea0-3e3eaa02e988,C05AA01
d04f0771-d721-4b74-afcc-38b471ac9dfa,B03BA03
578f2947-6a40-47c5-9c3e-38c3deb1cec1,J01XC01
ce35cabf-f8f0-4b71-b09c-6725f80ac21a,N03AD01
3707f20f-d769-4dd0-9f8b-6a8e74bb8eb6,S03CA01
c62be19b-3ae1-425d-8d4e-81cba8176d42,H04AA01
444708d5-3a24-468d-9cd9-50e262b0dd1b,H02AA02
a13a6d26-b311-4d22-b003-c21fe40ed4ce,N01AH01
3bfd5681-c836-43a5-9cf0-4bc2aa8485a8,S03CA04
b300aae7-7a56-47dd-aea0-3e3eaa02e988,S03CA04
29e5a7d2-40d4-4003-b42b-b8ba8bb082f0,G03DA02
0cec6813-c534-4b51-bb78-40116552dfca,V03AC01
45034cc1-ce50-4bcf-94da-dc1bdd9b7047,N06AA10
6f339e96-0ecd-41d0-8c69-7e63c984d579,N04AB02
5ebff69c-63e0-4ae4-b4ac-c8415004902f,N03AF01
