dr:D00943	atc:A01AA01
dr:D05864	atc:A01AA02
dr:D05241	atc:A01AA03
dr:D05919	atc:A01AA04
dr:D08736	atc:A01AA51
dr:D00008	atc:A01AB02
dr:D07668	atc:A01AB03
dr:D00858	atc:A01AB03
dr:D01345	atc:A01AB03
dr:D03463	atc:A01AB03
dr:D07669	atc:A01AB03
dr:D00203	atc:A01AB04
dr:D07067	atc:A01AB05
dr:D01588	atc:A01AB06
dr:D05321	atc:A01AB07
dr:D02414	atc:A01AB07
dr:D08260	atc:A01AB08
dr:D01618	atc:A01AB08
dr:D05141	atc:A01AB08
dr:D05142	atc:A01AB08
dr:D00416	atc:A01AB09
dr:D00882	atc:A01AB09
dr:D00884	atc:A01AB10
dr:D07068	atc:A01AB12
dr:D00201	atc:A01AB13
dr:D02122	atc:A01AB13
dr:D06098	atc:A01AB13
dr:D07069	atc:A01AB14
dr:D02712	atc:A01AB15
dr:D04921	atc:A01AB16
dr:D00409	atc:A01AB17
dr:D05016	atc:A01AB17
dr:D05017	atc:A01AB17
dr:D08214	atc:A01AB17
dr:D00282	atc:A01AB18
dr:D07066	atc:A01AB19
dr:D07689	atc:A01AB21
dr:D02255	atc:A01AB21
dr:D03477	atc:A01AB21
dr:D07876	atc:A01AB22
dr:D00307	atc:A01AB22
dr:D02129	atc:A01AB22
dr:D03903	atc:A01AB22
dr:D03904	atc:A01AB22
dr:D07877	atc:A01AB22
dr:D05045	atc:A01AB23
dr:D00850	atc:A01AB23
dr:D00385	atc:A01AC01
dr:D00983	atc:A01AC01
dr:D00984	atc:A01AC01
dr:D00985	atc:A01AC01
dr:D06216	atc:A01AC01
dr:D00292	atc:A01AC02
dr:D00975	atc:A01AC02
dr:D01510	atc:A01AC02
dr:D01615	atc:A01AC02
dr:D01632	atc:A01AC02
dr:D01948	atc:A01AC02
dr:D02174	atc:A01AC02
dr:D02591	atc:A01AC02
dr:D02592	atc:A01AC02
dr:D07073	atc:A01AC02
dr:D07796	atc:A01AC02
dr:D07797	atc:A01AC02
dr:D07798	atc:A01AC02
dr:D07799	atc:A01AC02
dr:D07800	atc:A01AC02
dr:D07801	atc:A01AC02
dr:D07802	atc:A01AC02
dr:D00088	atc:A01AC03
dr:D00165	atc:A01AC03
dr:D00976	atc:A01AC03
dr:D00977	atc:A01AC03
dr:D00978	atc:A01AC03
dr:D01442	atc:A01AC03
dr:D01619	atc:A01AC03
dr:D01886	atc:A01AC03
dr:D02288	atc:A01AC03
dr:D04467	atc:A01AC03
dr:D06876	atc:A01AC03
dr:D09796	atc:A01AC03
dr:D00095	atc:A01AD01
dr:D00996	atc:A01AD01
dr:D02149	atc:A01AD01
dr:D07516	atc:A01AD02
dr:D01410	atc:A01AD02
dr:D07517	atc:A01AD02
dr:D00109	atc:A01AD05
dr:D05181	atc:A01AD05
dr:D07579	atc:A01AD05
dr:D07580	atc:A01AD05
dr:D07581	atc:A01AD05
dr:D07582	atc:A01AD05
dr:D02774	atc:A01AD06
dr:D07560	atc:A01AD06
dr:D01828	atc:A01AD07
dr:D03065	atc:A01AD08
dr:D01446	atc:A02AA01
dr:D01167	atc:A02AA02
dr:D00731	atc:A02AA04
dr:D03271	atc:A02AA05
dr:D04839	atc:A02AA05
dr:D02416	atc:A02AB01
dr:D02807	atc:A02AB02
dr:D02862	atc:A02AB03
dr:D03827	atc:A02AB04
dr:D02012	atc:A02AB07
dr:D00932	atc:A02AC01
dr:D03309	atc:A02AC02
dr:D04832	atc:A02AD02
dr:D02821	atc:A02AD03
dr:D03238	atc:A02AD04
dr:D07419	atc:A02AD05
dr:D00295	atc:A02BA01
dr:D03503	atc:A02BA01
dr:D00422	atc:A02BA02
dr:D00673	atc:A02BA02
dr:D00318	atc:A02BA03
dr:D00440	atc:A02BA04
dr:D07072	atc:A02BA05
dr:D08494	atc:A02BA06
dr:D01467	atc:A02BA06
dr:D08495	atc:A02BA06
dr:D05699	atc:A02BA07
dr:D01131	atc:A02BA08
dr:D10259	atc:A02BA53
dr:D00419	atc:A02BB01
dr:D01891	atc:A02BB02
dr:D00455	atc:A02BC01
dr:D01207	atc:A02BC01
dr:D05261	atc:A02BC01
dr:D05259	atc:A02BC01
dr:D05353	atc:A02BC02
dr:D02593	atc:A02BC02
dr:D00355	atc:A02BC03
dr:D08463	atc:A02BC04
dr:D00724	atc:A02BC04
dr:D07917	atc:A02BC05
dr:D01984	atc:A02BC05
dr:D04056	atc:A02BC05
dr:D09339	atc:A02BC05
dr:D10120	atc:A02BC05
dr:D11114	atc:A02BC05
dr:D08903	atc:A02BC06
dr:D10466	atc:A02BC08
dr:D09742	atc:A02BD03
dr:D10246	atc:A02BD05
dr:D08774	atc:A02BD07
dr:D10245	atc:A02BD08
dr:D10519	atc:A02BD12
dr:D10520	atc:A02BD13
dr:D10775	atc:A02BD14
dr:D10774	atc:A02BD15
dr:D07615	atc:A02BX01
dr:D01899	atc:A02BX01
dr:D00446	atc:A02BX02
dr:D08389	atc:A02BX03
dr:D01297	atc:A02BX03
dr:D05276	atc:A02BX03
dr:D00177	atc:A02BX04
dr:D07587	atc:A02BX05
dr:D09739	atc:A02BX05
dr:D01818	atc:A02BX06
dr:D01529	atc:A02BX07
dr:D08546	atc:A02BX08
dr:D07075	atc:A02BX10
dr:D01306	atc:A02BX11
dr:D01642	atc:A02BX12
dr:D02324	atc:A02BX13
dr:D03336	atc:A02BX13
dr:D08977	atc:A02BX13
dr:D01121	atc:A02BX14
dr:D08325	atc:A03AA01
dr:D01006	atc:A03AA01
dr:D07076	atc:A03AA03
dr:D08160	atc:A03AA04
dr:D04868	atc:A03AA04
dr:D08639	atc:A03AA05
dr:D01500	atc:A03AA05
dr:D07078	atc:A03AA06
dr:D07820	atc:A03AA07
dr:D00717	atc:A03AA07
dr:D07821	atc:A03AA08
dr:D03824	atc:A03AA08
dr:D07079	atc:A03AA09
dr:D08382	atc:A03AA30
dr:D01165	atc:A03AA30
dr:D03088	atc:A03AB01
dr:D00540	atc:A03AB02
dr:D06877	atc:A03AB03
dr:D07081	atc:A03AB04
dr:D00481	atc:A03AB05
dr:D07083	atc:A03AB06
dr:D00721	atc:A03AB07
dr:D00723	atc:A03AB08
dr:D01005	atc:A03AB09
dr:D01003	atc:A03AB10
dr:D05535	atc:A03AB11
dr:D00720	atc:A03AB12
dr:D01532	atc:A03AB13
dr:D07084	atc:A03AB14
dr:D06878	atc:A03AB15
dr:D01201	atc:A03AB17
dr:D01377	atc:A03AB18
dr:D02535	atc:A03AB19
dr:D07070	atc:A03AB21
dr:D07087	atc:A03AC05
dr:D08608	atc:A03AC05
dr:D07425	atc:A03AD01
dr:D02218	atc:A03AD01
dr:D07439	atc:A03AD01
dr:D07088	atc:A03AD02
dr:D07879	atc:A03AD02
dr:D07089	atc:A03AD30
dr:D08238	atc:A03AD30
dr:D07129	atc:A03AE01
dr:D02829	atc:A03AE01
dr:D03495	atc:A03AE03
dr:D03496	atc:A03AE03
dr:D07091	atc:A03AX01
dr:D07092	atc:A03AX02
dr:D07093	atc:A03AX03
dr:D07094	atc:A03AX04
dr:D07095	atc:A03AX05
dr:D05644	atc:A03AX07
dr:D01650	atc:A03AX07
dr:D07440	atc:A03AX08
dr:D02877	atc:A03AX08
dr:D01365	atc:A03AX09
dr:D07097	atc:A03AX10
dr:D07098	atc:A03AX11
dr:D00152	atc:A03AX12
dr:D08369	atc:A03AX12
dr:D06521	atc:A03AX13
dr:D06522	atc:A03AX13
dr:D01538	atc:A03AX14
dr:D00113	atc:A03BA01
dr:D02069	atc:A03BA01
dr:D00147	atc:A03BA03
dr:D00719	atc:A03BA03
dr:D01648	atc:A03BA03
dr:D04479	atc:A03BA03
dr:D03069	atc:A03BA04
dr:D03223	atc:A03BA04
dr:D03224	atc:A03BA04
dr:D01451	atc:A03BB01
dr:D01077	atc:A03BB02
dr:D03814	atc:A03BB02
dr:D01976	atc:A03BB03
dr:D07951	atc:A03BB04
dr:D07099	atc:A03BB05
dr:D02070	atc:A03BB06
dr:D10247	atc:A03CA02
dr:D10449	atc:A03DB04
dr:D00726	atc:A03FA01
dr:D02213	atc:A03FA01
dr:D05008	atc:A03FA01
dr:D00274	atc:A03FA02
dr:D02092	atc:A03FA02
dr:D01745	atc:A03FA03
dr:D07868	atc:A03FA03
dr:D07101	atc:A03FA04
dr:D07102	atc:A03FA05
dr:D07563	atc:A03FA05
dr:D03534	atc:A03FA06
dr:D01742	atc:A03FA06
dr:D08094	atc:A03FA07
dr:D02729	atc:A03FA07
dr:D07700	atc:A03FA08
dr:D07701	atc:A03FA08
dr:D08236	atc:A03FA09
dr:D01994	atc:A03FA09
dr:D00456	atc:A04AA01
dr:D00678	atc:A04AA01
dr:D04370	atc:A04AA02
dr:D00677	atc:A04AA02
dr:D02130	atc:A04AA03
dr:D02041	atc:A04AA03
dr:D07867	atc:A04AA04
dr:D00725	atc:A04AA04
dr:D07175	atc:A04AA05
dr:D05343	atc:A04AA05
dr:D10572	atc:A04AA55
dr:D00138	atc:A04AD01
dr:D02071	atc:A04AD01
dr:D07103	atc:A04AD02
dr:D01942	atc:A04AD04
dr:D05010	atc:A04AD05
dr:D00306	atc:A04AD10
dr:D05099	atc:A04AD11
dr:D02968	atc:A04AD12
dr:D10895	atc:A04AD12
dr:D06597	atc:A04AD12
dr:D06574	atc:A04AD13
dr:D10742	atc:A04AD14
dr:D08988	atc:A04AD14
dr:D00163	atc:A05AA01
dr:D00734	atc:A05AA02
dr:D10699	atc:A05AA03
dr:D09360	atc:A05AA04
dr:D05489	atc:A05AX01
