,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,5-fluorouracil,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. 5-fluorouracil does not interact with this elimination pathway.",See Summary
1,5-fluorouracil,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. 5-fluorouracil may be an inhibitor of CYP2C9 and may, therefore, increase concentrations of acenocoumarol. However, no formal interaction studies have been conducted. The clinical relevance of this interaction is unknown. Furthermore, increased prothrombin (PT) and internationalised normal ratio (INR) values have been reported in patients treated with warfarin in combination with 5-fluorouracil. A similar effect may occur with acenocoumarol. Coadministration should be approached with caution. Monitoring for acenocoumarol toxicity and INR/PT is recommended.",See Summary
2,5-fluorouracil,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). 5-fluorouracil does not inhibit or induce UGTs.",See Summary
3,5-fluorouracil,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). 5-fluorouracil may be an inhibitor of CYP2C9 and may, therefore, increase concentrations of agomelatine. However, no formal interaction studies have been conducted. The clinical relevance of this interaction is unknown, but since CYP2C9 is a minor pathway, no clinically relevant effect on agomelatine exposure is expected.",See Summary
4,5-fluorouracil,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. No pharmacokinetic interaction is expected.,See Summary
5,5-fluorouracil,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. 5-fluorouracil does not inhibit or induce CYP3A4.,See Summary
6,5-fluorouracil,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. 5-fluorouracil does not inhibit or induce CYP3A.,See Summary
7,5-fluorouracil,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. 5-fluorouracil does not interact with this elimination pathway.,See Summary
8,5-fluorouracil,Allopurinol,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied but should be avoided. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. 5-fluorouracil does not interact with this pathway. However, interactions with allopurinol have been observed for 5-fluorouracil with possible decreased 5-fluorouracil efficacy.",See Summary
9,5-fluorouracil,Alosetron,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. 5-fluorouracil may be an inhibitor of CYP2C9 and may, therefore, increase concentrations of alosetron. However, no formal interaction studies have been conducted. The clinical relevance of this interaction is unknown. No a priori dose adjustment is needed but monitoring for alosetron toxicity may be required.",See Summary
