,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Alemtuzumab,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Alemtuzumab is unlikely to interfere with this pathway.",(See Summary)
1,Alemtuzumab,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Alemtuzumab does not inhibit or induce CYPs. ,(See Summary)
2,Alemtuzumab,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Alemtuzumab does not inhibit or induce UGTs.",(See Summary)
3,Alemtuzumab,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Alemtuzumab does not inhibit or induce CYPs.",(See Summary)
4,Alemtuzumab,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronic acid is excreted via urine. Alemtuzumab does not interact with this elimination pathway.,(See Summary)
5,Alemtuzumab,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Alemtuzumab does not inhibit or induce CYPs.,(See Summary)
6,Alemtuzumab,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Alemtuzumab does not inhibit or induce CYPs. ,(See Summary)
7,Alemtuzumab,Aliskiren,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Additionally, aliskiren is a substrate of P-gp. Alemtuzumab does not interact with this metabolic or elimination pathway.",(See Summary)
8,Alemtuzumab,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Alemtuzumab does not interact with this metabolic pathway. ,(See Summary)
9,Alemtuzumab,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Alemtuzumab does not inhibit of induce CYPs. ",(See Summary)
