,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Axitinib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Axitinib,Acenocoumarol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Although axitinib inhibits CYP1A2 in vitro, no clinically relevant interaction is expected.",(See Summary)
2,Axitinib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolized by glucuronidation (by several UGTs, major UGT1A6). Axitinib does not inhibit or induce UGTs.",(See Summary)
3,Axitinib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Although axitinib inhibits CYP1A2 in vitro, no clinically relevant interaction is expected in vivo.",(See Summary)
4,Axitinib,Alendronic acid,"
Potential Weak Interaction
","
Low
","Coadministration has not been studied. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. Osteonecrosis of the jaw has been reported in an increasing number of renal cell cancer patients since the use of combined therapies consisting of nitrogen-containing bisphosphonates and antiangiogenic targeted agents. This suggests that angiogenesis suppression might increase the risk of osteonecrosis of the jaw when coadministered with bisphosphonates. ",(See Summary)
5,Axitinib,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism but axitinib is not an inducer or inhibitor of CYP3A4. ,(See Summary)
6,Axitinib,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolized by CYP3A. Axitinib does not inhibit or induce CYP3A. ,(See Summary)
7,Axitinib,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolized and is mainly excreted unchanged in faeces. P-glycoprotein is a major determinant of aliskiren bioavailability but axitinib does not interact with this pathway.,(See Summary)
8,Axitinib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Axitinib does not interfere with this metabolic pathway.,(See Summary)
9,Axitinib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolized by CYP2C9, 3A4 and 1A2. Axitinib does not interact with this pathway.",(See Summary)
10,Axitinib,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolized by CYP3A4. Axitinib does not inhibit or induce CYP3A4.,(See Summary)
11,Axitinib,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. The solubility of axitinib is pH dependent, with low solubility observed at higher pH. However, rabeprazole (a proton pump inhibitor) had no clinically-significant effect on axitinib AUC and no dose adjustment is required with gastric pH modifying agents such as antacids.",(See Summary)
12,Axitinib,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Axitinib does not inhibit or induce these UGTs, CYPs or P-gp.",(See Summary)
13,Axitinib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amikacin is eliminated by glomerular filtration.,(See Summary)
14,Axitinib,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Axitinib is unlikely to interfere with amiloride renal elimination.,(See Summary)
15,Axitinib,Amiodarone,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Amiodarone is metabolized by CYP2C8 and CYP3A4. Although axitinib inhibits CYP2C8 in vitro, no clinically relevant effect on amiodarone is expected. The major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Concentrations of axitinib may increase due to weak inhibition of CYP3A4. Although this is unlikely to be clinically relevant, monitoring for axitinib toxicity may be required.",(See Summary)
16,Axitinib,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolized and is primarily eliminated renally (possibly via OCT). Axitinib is unlikely to significantly impair amisulpride elimination. ,(See Summary)
17,Axitinib,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19 with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Although axitinib inhibits CYP1A2 in vitro, no clinically relevant interaction is expected in vivo.",(See Summary)
18,Axitinib,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolized by CYP3A4. Axitinib does not inhibit or induce CYP3A4.,(See Summary)
19,Axitinib,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Axitinib is unlikely to interfere with amoxicillin renal elimination.,(See Summary)
20,Axitinib,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely as amphotericin is not appreciably metabolized and is eliminated to a large extent in the bile. Axitinib does not interfere with amphotericin B elimination pathway. However, the European SPC for amphotericin states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension. Monitoring may be required.",(See Summary)
21,Axitinib,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Axitinib is unlikely to interfere with this elimination pathway.,(See Summary)
22,Axitinib,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperature. ,(See Summary)
23,Axitinib,Antacids,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. The solubility of axitinib is pH dependent, with low solubility observed at higher pH. However, rabeprazole (a proton pump inhibitor) had no clinically-significant effect on axitinib AUC and no dose adjustment is required with gastric pH modifying agents such as antacids.",(See Summary)
24,Axitinib,Apixaban,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Apixaban is metabolized by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Although axitinib inhibits CYP1A2 and CYP2C8 in vitro, no clinically relevant interaction is expected.",(See Summary)
25,Axitinib,Aprepitant,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. Although axitinib is an in vitro inhibitor of CYP1A2, a clinically relevant effect on aprepitant is not expected. However, during treatment aprepitant is a moderate inhibitor of CYP3A4 and may increase concentrations of axitinib during the three days of coadministration. Therefore, coadministration is not recommended. If coadministration is unavoidable, monitor closely for axitinib toxicity. The dose of axitinib may also need to be reduced during the few days of coadministration by approximately 50%. Furthermore, after treatment aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Concentrations of axitinib may decrease due to weak induction of CYP3A4, but this is not considered to be clinically relevant.",(See Summary)
26,Axitinib,Aripiprazole,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aripiprazole is metabolized by CYP3A4 and CYP2D6. Axitinib does not inhibit or induce CYP3A4 and CYP2D6.,(See Summary)
27,Axitinib,Asenapine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolized by glucuronidation (UGT1A4) and oxidative metabolism (CYPs 1A2 (major), 3A4 (minor), 2D6 (minor)). Although axitinib inhibits CYP1A2 in vitro, no clinically relevant interaction is expected.",(See Summary)
28,Axitinib,Astemizole,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as astemizole is metabolized by CYPs 2D6, 2J2 and 3A4. Axitinib does not inhibit or induce these CYPs.",(See Summary)
29,Axitinib,Atenolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as atenolol is mainly eliminated unchanged in the kidney, predominantly by glomerular filtration. ",(See Summary)
30,Axitinib,Atorvastatin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Atorvastatin is metabolized by CYP3A4 and is a substrate of P-gp and OATP1B1. Axitinib is an inhibitor of OATP1B1 in vitro and may increase atorvastatin concentrations. As the clinical relevance of this interaction is unknown, monitoring for atorvastatin toxicity may be required.",(See Summary)
31,Axitinib,Azathioprine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Azathioprine is converted to 6-mercaptopurine which is metabolized analogously to natural purines. Axitinib does not interfere with this metabolic pathway. However, due to the risk of additive haematological toxicity, haematological parameters should be monitored if coadministered.",(See Summary)
32,Axitinib,Azithromycin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Azithromycin is mainly eliminated via biliary excretion with animal data suggesting this may occur via P-gp and MRP2. Axitinib does not interact with this metabolic pathway. Azithromycin is also an inhibitor of P-gp. However, the clinical relevance of this interaction is unknown. No clinically relevant effect on axitinib exposure is expected due to P-gp inhibition.",(See Summary)
33,Axitinib,Beclometasone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Beclometasone is a pro-drug which is not metabolised by CYP450, but is hydrolysed via esterase enzymes to the highly active metabolite beclometasone -17-monopropionate. Axitinib does not interact with beclomethasone metabolism. ",(See Summary)
