,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Bevacizumab,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolized by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Bevacizumab,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Bevacizumab does not inhibit or induce CYPs. ,(See Summary)
2,Bevacizumab,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolized by glucuronidation (by several UGTs, major UGT1A6). Bevacizumab does not inhibit or induce CYPs or UGTs.",(See Summary)
3,Bevacizumab,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Bevacizumab does not inhibit or induce CYPs.",(See Summary)
4,Bevacizumab,Alendronic acid,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. Osteonecrosis of the jaw has been reported in an increasing number of renal cell cancer patients since the use of combined therapies consisting of nitrogen-containing bisphosphonates and antiangiogenic targeted agents. This suggests that angiogenesis suppression might increase the risk of osteonecrosis of the jaw when coadministered with bisphosphonates.",(See Summary)
5,Bevacizumab,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Bevacizumab does not inhibit or induce CYPs.,(See Summary)
6,Bevacizumab,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolized by CYP3A. Bevacizumab does not inhibit or induce CYPs.,(See Summary)
7,Bevacizumab,Aliskiren,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Aliskiren is minimally metabolized and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Bevacizumab does not interact with this pathway. However, bevacizumab should be permanently discontinued if medically significant hypertension cannot be adequately controlled with antihypertensive therapy, or if the patient develops hypertensive crisis or hypertensive encephalopathy.",(See Summary)
8,Bevacizumab,Allopurinol,"
Potential Weak Interaction
","
Very Low
","Coadministration of bevacizumab and allopurinol showed increased adverse reactions. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Coadministration is not recommended. If coadministration is unavoidable, monitoring for tolerability is recommended.",(See Summary)
9,Bevacizumab,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolized by CYPs 2C9, 3A4 and 1A2. Bevacizumab does not inhibit or induce CYPs.",(See Summary)
10,Bevacizumab,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolized by CYP3A4. Bevacizumab does not inhibit or induce CYPs.,(See Summary)
11,Bevacizumab,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Bevacizumab is unlikely to interfere with this metabolic pathway.,(See Summary)
12,Bevacizumab,Ambrisentan,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Bevacizumab does not inhibit or induce UGTs, CYPs or P-gp. However, bevacizumab should be permanently discontinued if medically significant hypertension cannot be adequately controlled with antihypertensive therapy, or if the patient develops hypertensive crisis or hypertensive encephalopathy.",(See Summary)
13,Bevacizumab,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration therefore no pharmacokinetic interaction is expected with bevacizumab.,(See Summary)
14,Bevacizumab,Amiloride,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Bevacizumab is unlikely to significantly inhibit amiloride renal elimination. However, bevacizumab should be permanently discontinued if medically significant hypertension cannot be adequately controlled with antihypertensive therapy, or if the patient develops hypertensive crisis or hypertensive encephalopathy.",(See Summary)
15,Bevacizumab,Amiodarone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiodarone is metabolised by CYP3A4 and CYP2C8. The major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Bevacizumab does not interact with this metabolic pathway.",(See Summary)
16,Bevacizumab,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolized and is primarily eliminated renally (possibly via OCT). Bevacizumab is unlikely to significantly impair amisulpride elimination. ,(See Summary)
17,Bevacizumab,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Bevacizumab does not interact with this metabolic pathway.",(See Summary)
18,Bevacizumab,Amlodipine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolized by CYP3A4. Bevacizumab does not inhibit or induce CYPs. However, bevacizumab should be permanently discontinued if medically significant hypertension cannot be adequately controlled with antihypertensive therapy, or if the patient develops hypertensive crisis or hypertensive encephalopathy.",(See Summary)
19,Bevacizumab,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Bevacizumab is unlikely to interfere with amoxicillin renal elimination.,(See Summary)
20,Bevacizumab,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolized but is eliminated to a large extent in the bile. Bevacizumab does not interfere with this elimination pathway. However, the European SPC for amphotericin B states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension. Monitoring may be required.",(See Summary)
21,Bevacizumab,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20 to 40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60 to 80% is excreted in the urine within 6 hours. Bevacizumab is unlikely to significantly inhibit ampicillin renal elimination.,(See Summary)
