,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Bortezomib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Bortezomib does not interfere with this metabolic pathway. ",See Summary
1,Bortezomib,Acenocoumarol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Bortezomib is an inhibitor of CYP1A2 and CYP2C9 in vitro. However, inhibition is unlikely to occur at concentrations used clinically. Therefore, a clinically relevant effect on acenocoumarol exposure is not expected.",See Summary
2,Bortezomib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Bortezomib does not inhibit or induce UGTs.",See Summary
3,Bortezomib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Bortezomib is an inhibitor of CYP1A2 and CYP2C9 in vitro. However, inhibition is unlikely to occur at concentrations used clinically. Therefore, a clinically relevant effect on agomelatine exposure is not expected.",See Summary
4,Bortezomib,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion.,See Summary
5,Bortezomib,Alfentanil,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Bortezomib is an inhibitor of CYP3A4 in vitro. However, inhibition is unlikely to occur at concentrations used clinically. Therefore, a clinically relevant effect on alfentanil exposure is not expected.",See Summary
6,Bortezomib,Alfuzosin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Bortezomib is an inhibitor of CYP3A4 in vitro. However, inhibition is unlikely to occur at concentrations used clinically. Therefore, a clinically relevant effect on alfuzosin exposure is not expected.",See Summary
7,Bortezomib,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Bortezomib does not interfere with this elimination pathway. ,See Summary
8,Bortezomib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Bortezomib does not interact with this metabolic pathway. ,See Summary
9,Bortezomib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. In vitro, bortezomib is an inhibitor of CYP 1A2, 2C9 and 3A4. However, inhibition is unlikely to occur at concentrations used clinically. Therefore, a clinically relevant effect on alosetron exposure is not expected.",See Summary
