,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Bosutinib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Bosutinib,Acenocoumarol,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Bosutinib does not inhibit or induce CYPs. However, a clinical adverse event (supratherapeutic INR) was reported in a CLL patient receiving warfarin and concomitant bosutinib. The causality of this interaction was not clear and therefore the clinical relevance of this interaction is unknown. Monitoring of INR may be required.",(See Summary)
2,Bosutinib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Bosutinib does not inhibit or induce UGTs.",(See Summary)
3,Bosutinib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Bosutinib does not inhibit or induce CYPs.",(See Summary)
4,Bosutinib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. ",(See Summary)
5,Bosutinib,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism but bosutinib does not inhibit or induce CYP3A4. ,(See Summary)
6,Bosutinib,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolised by CYP3A. Bosutinib does not inhibit or induce CYP3A. ,(See Summary)
7,Bosutinib,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability. Bosutinib does not interact with this pathway.,(See Summary)
8,Bosutinib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Bosutinib not interfere with this metabolic pathway. ,(See Summary)
9,Bosutinib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Bosutinib does not inhibit or induce these CYPs. ",(See Summary)
