,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Brentuximab vedotin,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Brentuximab vedotin,Acenocoumarol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Brentuximab vedotin does not inhibit or induce CYPs 2C9, 1A2 or 2C19. ",(See Summary)
2,Brentuximab vedotin,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Brentuximab vedotin does not inhibit or induce UGTs.",(See Summary)
3,Brentuximab vedotin,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Brentuximab vedotin does not inhibit or induce these CYPs.",(See Summary)
4,Brentuximab vedotin,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. ,(See Summary)
5,Brentuximab vedotin,Alfentanil,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of alfentanil, but a clinically relevant interaction is unlikely.",(See Summary)
6,Brentuximab vedotin,Alfuzosin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of alfuzosin, but a clinically relevant interaction is unlikely",(See Summary)
7,Brentuximab vedotin,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability but brentuximab vedotin does not inhibit or induce P-gp.,(See Summary)
8,Brentuximab vedotin,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. MMAE (an active component of brentuximab vedotin) not interfere with this metabolic pathway. ,(See Summary)
9,Brentuximab vedotin,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of alosetron, but a clinically relevant interaction is unlikely.",(See Summary)
10,Brentuximab vedotin,Alprazolam,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of alprazolam, but a clinically relevant interaction is unlikely.",(See Summary)
11,Brentuximab vedotin,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised by CYPs and since brentuximab vedotin is administered intravenously, there is no risk of absorption interactions.",(See Summary)
12,Brentuximab vedotin,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. MMAE (an active component of brentuximab vedotin) is an inhibitor of CYP3A4 and may slightly increase concentrations of ambrisentan. However, since CYP3A4 mediated metabolism is a minor pathway, a clinically relevant interaction is unlikely.",(See Summary)
13,Brentuximab vedotin,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amikacin is eliminated by glomerular filtration. Brentuximab vedotin does not interfere with this elimination pathway.,(See Summary)
14,Brentuximab vedotin,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. MMAE (an active component of brentuximab vedotin) is unlikely to interfere with this elimination pathway.,(See Summary)
15,Brentuximab vedotin,Amiodarone,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Amiodarone is metabolised by CYP2C8 and CYP3A4. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of amiodarone, but a clinically relevant effect on amiodarone exposure is not expected. The major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Concentrations of MMAE may increase due to CYP3A4 inhibition. However, the clinical relevance of this interaction is unknown. No a priori dose adjustment is recommended, since the contribution of free MMAE to efficacy and safety is minimal. Note: due to the long half-life of amiodarone, interactions can be observed for several months after discontinuation of amiodarone.",(See Summary)
16,Brentuximab vedotin,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). MMAE (an active component of brentuximab vedotin) is unlikely to significantly interfere with this elimination pathway. ,(See Summary)
17,Brentuximab vedotin,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of amitriptyline. However, a clinically relevant interaction is unlikely as CYP3A4 mediated metabolism is only a minor pathway and is only weakly inhibited. ",(See Summary)
18,Brentuximab vedotin,Amlodipine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of amlodipine, but a clinically relevant interaction is unlikely.",(See Summary)
19,Brentuximab vedotin,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Brentuximab vedotin is unlikely to interfere with this elimination pathway.,(See Summary)
20,Brentuximab vedotin,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised and is eliminated to a large extent in the bile. Brentuximab vedotin does not interfere with amphotericin B elimination pathway. However, the European SPC for amphotericin B states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension and so monitoring may be required.",(See Summary)
21,Brentuximab vedotin,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. In vitro data indicate that ampicillin is a substrate of OAT1. Brentuximab vedotin is unlikely to interfere with this elimination pathway.,(See Summary)
22,Brentuximab vedotin,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. ,(See Summary)
23,Brentuximab vedotin,Antacids,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Antacids are not metabolised by CYPs and since brentuximab vedotin is administered intravenously, there is no risk of absorption interactions.",(See Summary)
24,Brentuximab vedotin,Apixaban,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Apixaban is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Apixaban is also a substrate of P-gp and BCRP. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of apixaban, but this is unlikely to be clinically relevant.",(See Summary)
25,Brentuximab vedotin,Aprepitant,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of aprepitant, but this is unlikely to be clinically relevant. During treatment, aprepitant is a moderate inhibitor of CYP3A4 and may increase MMAE exposure, but again, this is unlikely to be clinically relevant. No a priori dose adjustment is recommended since the contribution of free MMAE to efficacy and safety is minimal. However, patients who are receiving moderate CYP3A4 inhibitors concomitantly with brentuximab vedotin should be monitored for adverse reactions. After treatment, aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Concentrations of free MMAE may decrease due to induction of CYP3A4. The clinical relevance of this interaction is unknown as the contribution of free MMAE to efficacy and safety is minimal. No a priori dose adjustment is necessary. Monitoring of efficacy may be required.",(See Summary)
26,Brentuximab vedotin,Aripiprazole,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aripiprazole is metabolised by CYP3A4 and CYP2D6. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of aripiprazole, but this is unlikely to be clinically relevant.",(See Summary)
27,Brentuximab vedotin,Asenapine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolised by glucuronidation (UGT1A4) and oxidative metabolism (CYPs 1A2 (major), 3A4 (minor) and 2D6 (minor)). MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of asenapine, but this is unlikely to be clinically relevant.",(See Summary)
28,Brentuximab vedotin,Astemizole,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Astemizole is metabolised by CYPs 2D6, 2J2 and 3A4. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of astemizole, but this is unlikely to be clinically relevant.",(See Summary)
29,Brentuximab vedotin,Atenolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as atenolol is mainly eliminated unchanged in the kidney, predominantly by glomerular filtration. Brentuximab vedotin does not interfere with this elimination pathway.",(See Summary)
30,Brentuximab vedotin,Atorvastatin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atorvastatin is metabolised by CYP3A4 and is a substrate of P-gp and OATP1B1. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of atorvastatin, but a clinically relevant interaction is unlikely.",(See Summary)
31,Brentuximab vedotin,Azathioprine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Azathioprine is converted to 6-mercaptopurine which is metabolised analogously to natural purines. Brentuximab vedotin does not interfere with this metabolic pathway. However, due to the risk of additive haematological toxicity, haematological parameters should be monitored if coadministered.",(See Summary)
32,Brentuximab vedotin,Azithromycin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Azithromycin is mainly eliminated via biliary excretion with animal data suggesting this may occur via P-gp and MRP2. Brentuximab vedotin does not interact with this elimination pathway. Azithromycin is also an inhibitor of P-gp and may increase concentrations of MMAE (an active component of brentuximab vedotin). However, the clinical relevance of P-gp inhibition by azithromycin is unknown. Monitoring for brentuximab vedotin toxicity may be required.",(See Summary)
33,Brentuximab vedotin,Beclometasone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Beclometasone is a prodrug which is not metabolised by CYP450, but is hydrolysed via esterase enzymes to the highly active metabolite beclometasone -17-monopropionate. Brentuximab vedotin does not interfere with this metabolic pathway.",(See Summary)
34,Brentuximab vedotin,Bedaquiline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bedaquiline is metabolised by CYP3A4. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of bedaquiline, but a clinically relevant interaction is unlikely.",(See Summary)
35,Brentuximab vedotin,Bendroflumethiazide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bendroflumethiazide is mainly eliminated by hepatic metabolism (70%) and excreted unchanged in the urine (30%) via OAT1 and OAT3. Brentuximab vedotin does not interfere with bendroflumethiazide elimination. In addition, there is no evidence that bendroflumethiazide inhibits or induces CYP450 enzymes and therefore is unlikely to impact brentuximab vedotin (MMAE).",(See Summary)
36,Brentuximab vedotin,Bepridil,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bepridil is metabolised by CYP2D6 (major) and CYP3A4. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of bepridil, but a clinically relevant interaction is unlikely.",(See Summary)
37,Brentuximab vedotin,Betamethasone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Betamethasone is metabolised by CYP3A4. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of betamethasone, but a clinically relevant interaction is unlikely.",(See Summary)
38,Brentuximab vedotin,Bezafibrate,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as half of a bezafibrate dose is eliminated unchanged in the urine. In vitro data suggest that bezafibrate inhibits the renal transporter OAT1. Brentuximab vedotin does not interact with this pathway.,(See Summary)
39,Brentuximab vedotin,Bisacodyl,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bisacodyl is converted to an active metabolite by intestinal and bacterial enzymes. Absorption from the gastrointestinal tract is minimal and the small amount absorbed is excreted in the urine as the glucuronide. Brentuximab vedotin does not interfere with this elimination pathway. ,(See Summary)
40,Brentuximab vedotin,Bisoprolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bisoprolol is partly metabolised by CYP3A4 and CYP2D6, and partly eliminated unchanged in the urine. MMAE (an active component of brentuximab vedotin) is a weak inhibitor of CYP3A4 and may slightly increase concentrations of bisoprolol, but a clinically relevant interaction is unlikely.",(See Summary)
