,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Cabazitaxel,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Cabazitaxel does not interact with this pathway.",See Summary
1,Cabazitaxel,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Cabazitaxel does not inhibit or induce these CYPs.,See Summary
2,Cabazitaxel,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Cabazitaxel does not inhibit or induce UGTs.",See Summary
3,Cabazitaxel,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Cabazitaxel does not inhibit or induce these CYPs.",See Summary
4,Cabazitaxel,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Cabazitaxel is unlikely to interfere with this elimination pathway.,See Summary
5,Cabazitaxel,Alfentanil,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Cabazitaxel is an in vitro inhibitor of CYP3A4 and may increase concentrations of alfentanil. However, coadministration of cabazitaxel with midazolam, a CYP3A4 probe substrate, did not alter midazolam exposure to a clinically relevant extent (AUClast increased by 4%). A similar effect may occur with alfentanil. Therefore, no clinically relevant effect on alfentanil exposure is expected.",See Summary
6,Cabazitaxel,Alfuzosin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Cabazitaxel is an in vitro inhibitor of CYP3A4 and may increase concentrations of alfuzosin. However, coadministration of cabazitaxel with midazolam, a CYP3A4 probe substrate, did not alter midazolam exposure to a clinically relevant extent (AUClast increased by 4%). A similar effect may occur with alfuzosin. Therefore, no clinically relevant effect on alfuzosin exposure is expected.",See Summary
7,Cabazitaxel,Aliskiren,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Cabazitaxel is an in vitro inhibitor of P-gp and may increase concentrations of aliskiren. However, no clinically relevant effect on aliskiren exposure is expected.",See Summary
8,Cabazitaxel,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Cabazitaxel does not interact with this metabolic pathway.,See Summary
9,Cabazitaxel,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Cabazitaxel is an in vitro inhibitor of CYP3A4 and may increase alosetron concentrations. However, no clinically relevant effect on alosetron exposure is expected.",See Summary
10,Cabazitaxel,Alprazolam,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Cabazitaxel is an in vitro inhibitor of CYP3A4 and may increase concentrations of alprazolam. However, coadministration of cabazitaxel with midazolam, a CYP3A4 probe substrate, did not alter midazolam exposure to a clinically relevant extent (AUClast increased by 4%). A similar effect may occur with alprazolam. Therefore, no clinically relevant effect on alprazolam exposure is expected.",See Summary
11,Cabazitaxel,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Cabazitaxel is unlikely to interfere with this metabolic pathway.,See Summary
12,Cabazitaxel,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolized by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Cabazitaxel is an in vitro inhibitor of CYP3A4 and P-gp and may increase ambrisentan concentrations. However, no clinically relevant effect on ambrisentan exposure is expected.",See Summary
13,Cabazitaxel,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Cabazitaxel is unlikely to interfere with this elimination pathway.,See Summary
14,Cabazitaxel,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Cabazitaxel is unlikely to interfere with this elimination pathway.,See Summary
15,Cabazitaxel,Amiodarone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiodarone is metabolised by CYP3A4 and CYP2C8. Cabazitaxel is an in vitro inhibitor of CYP3A4 and may increase amiodarone concentrations. However, coadministration of cabazitaxel with midazolam, a CYP3A4 probe substrate, did not alter midazolam exposure to a clinically relevant extent (AUClast increased by 4%). A similar effect may occur with amiodarone. Therefore, no clinically relevant effect on amiodarone exposure is expected. Moreover, the major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Cabazitaxel concentrations may increase due to weak CYP3A4 inhibition, but this is unlikely to be clinically relevant.",See Summary
16,Cabazitaxel,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Cabazitaxel is unlikely to interfere with this metabolic or elimination pathway.,See Summary
17,Cabazitaxel,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Cabazitaxel is an in vitro inhibitor of CYP3A4 and may increase amitriptyline concentrations. However, since CYP3A4 is a minor pathway, no clinically relevant effect on amitriptyline exposure is expected.",See Summary
18,Cabazitaxel,Amlodipine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Cabazitaxel is an in vitro inhibitor of CYP3A4 and may increase concentrations of amlodipine. However, coadministration of cabazitaxel with midazolam, a CYP3A4 probe substrate, did not alter midazolam exposure to a clinically relevant extent (AUClast increased by 4%). A similar effect may occur with amlodipine. Therefore, no clinically relevant effect on amlodipine exposure is expected.",See Summary
19,Cabazitaxel,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Cabazitaxel is unlikely to interfere with this elimination pathway.,See Summary
20,Cabazitaxel,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Amphotericin B is not appreciably metabolised but is eliminated to a large extent in the bile. Cabazitaxel does not interfere with this elimination pathway. However, the European SPC for amphotericin states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension. Monitoring may be required.",See Summary
21,Cabazitaxel,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Cabazitaxel is unlikely to interfere with this elimination pathway.,See Summary
22,Cabazitaxel,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. Cabazitaxel does not interact with this metabolic pathway.,See Summary
23,Cabazitaxel,Antacids,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Antacids are not metabolised by CYPs. Cabazitaxel is unlikely to interfere with this metabolic pathway.,See Summary
24,Cabazitaxel,Apixaban,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Apixaban is a substrate of P-gp and BCRP, and is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Cabazitaxel is an in vitro inhibitor of CYP3A4 and P-gp and may increase concentrations of apixaban. However, coadministration of cabazitaxel with midazolam, a CYP3A4 probe substrate, did not alter midazolam exposure to a clinically relevant extent (AUClast increased by 4%). A similar effect may occur with apixaban. Therefore, no clinically relevant effect on apixaban exposure is expected.",See Summary
