,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Cabozantinib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Cabozantinib,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. A clinical adverse event (increased coagulation times) reported in a RCC patient receiving concomitant cabozantinib and warfarin was attributed to cabozantinib related inhibition of CYP-mediated warfarin metabolism. However, this event may reflect displacement of plasma protein-bound warfarin by cabozantinib. The same adverse event may occur when cabozantinib is combined with coumarins. Close monitoring of INR/PT is recommended.",(See Summary)
2,Cabozantinib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolized by glucuronidation (by several UGTs, major UGT1A6). Cabozantinib does not inhibit or induce UGTs.",(See Summary)
3,Cabozantinib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Cabozantinib does not inhibit or induce CYPs.",(See Summary)
4,Cabozantinib,Alendronic acid,"
Potential Weak Interaction
","
Low
","Coadministration has not been studied. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. Osteonecrosis of the jaw has been reported in an increasing number of renal cell cancer patients since the use of combined therapies consisting of nitrogen-containing bisphosphonates and antiangiogenic targeted agents. This suggests that angiogenesis suppression might increase the risk of osteonecrosis of the jaw when coadministered with bisphosphonates. ",(See Summary)
5,Cabozantinib,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Cabozantinib does not inhibit or induce CYP3A4.,(See Summary)
6,Cabozantinib,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolized by CYP3A. Cabozantinib does not inhibit or induce CYP3A. ,(See Summary)
7,Cabozantinib,Aliskiren,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability. Cabozantinib is a weak inhibitor of P-gp in vitro, but no clinically relevant effect on aliskiren exposure is expected.",(See Summary)
8,Cabozantinib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant drug-drug interaction is unlikely as allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Cabozantinib not interfere with this metabolic pathway. ,(See Summary)
9,Cabozantinib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolized by CYPs 2C9, 3A4 and 1A2. Cabozantinib does not inhibit of induce these CYP. ",(See Summary)
