,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Capecitabine,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Capecitabine is unlikely to interfere with this pathway.",(See Summary)
1,Capecitabine,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration should be approached with caution. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Capecitabine is an inhibitor of CYP2C9 and may increase concentrations of acenocoumarol. In a single case report, coadministration of capecitabine with acenocoumarol resulted in an increased INR (>15) and rectal blood loss. It is recommended to closely monitor patients for anticoagulant response (INR or prothrombin time) and bleeding, and adjust dose of acenocoumarol accordingly.",(See Summary)
2,Capecitabine,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Capecitabine does not inhibit or induce UGTs.",(See Summary)
3,Capecitabine,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Capecitabine is an inhibitor of CYP2C9 and may increase concentrations of agomelatine. However, since CYP2C9 mediated metabolism is a minor pathway, a clinically relevant interaction is unlikely.",(See Summary)
4,Capecitabine,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Capecitabine does not interact with this elimination pathway. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",(See Summary)
5,Capecitabine,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Capecitabine does not inhibit or induce CYP3A4.,(See Summary)
6,Capecitabine,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Capecitabine does not inhibit or induce CYP3A. ,(See Summary)
7,Capecitabine,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Capecitabine does not interact with this pathway.,(See Summary)
8,Capecitabine,Allopurinol,"
Do Not Coadminister
","
Very Low
","Coadministration should be avoided. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Capecitabine does not interact with this pathway. However, the EU product label states that coadministration should be avoided as allopurinol may decrease the efficacy of the capecitabine metabolite, 5-FU.",(See Summary)
9,Capecitabine,Alosetron,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Capecitabine is an inhibitor of CYP2C9 and may increase concentrations of alosetron. However, no formal interaction studies have been conducted. Therefore, the clinical relevance of this interaction is unknown. No a priori dose adjustment is needed, but monitoring for alosetron toxicity may be required.",(See Summary)
