,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Cobimetinib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Cobimetinib is unlikely to interfere with this pathway.",(See Summary)
1,Cobimetinib,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Cobimetinib is an inducer of CYP1A2 in vitro and may decrease concentrations of acenocoumarol. The clinical relevance of this interaction is unknown. Coadministration of acenocoumarol and cobimetinib may increase the risk of haemorrhage. Bleeding events have been reported more frequently in the cobimetinib plus vemurafenib arm than in the placebo plus vemurafenib arm (all types and Grades: 13% vs. 7%). The median time to first onset was 6.1 months in the cobimetinib plus vemurafenib arm. Monitor closely for haemorrhage. If haemorrhage occurs, treat as clinically indicated. ",(See Summary)
2,Cobimetinib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Cobimetinib does not inhibit or induce UGTs.",(See Summary)
3,Cobimetinib,Agomelatine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Cobimetinib is an inducer of CYP1A2 in vitro and may decrease concentrations of agomelatine. As the clinical relevance of this interaction is unknown, care should be taken when cobimetinib is coadministered with agomelatine.",(See Summary)
4,Cobimetinib,Alendronic acid,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. ",(See Summary)
5,Cobimetinib,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Cobimetinib does not inhibit or induce CYP3A4.,(See Summary)
6,Cobimetinib,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Cobimetinib does not inhibit or induce CYP3A. ,(See Summary)
7,Cobimetinib,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability but cobimetinib does not inhibit or induce P-gp.,(See Summary)
8,Cobimetinib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Cobimetinib does not interfere with this metabolic pathway. ,(See Summary)
9,Cobimetinib,Alosetron,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Cobimetinib is an inducer of CYP1A2 in vitro and may decrease concentrations of alosetron. As the clinical relevance of this interaction is unknown, care should be taken when cobimetinib is coadministered with alosetron.",(See Summary)
10,Cobimetinib,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Cobimetinib does not inhibit or induce CYP3A4.,(See Summary)
11,Cobimetinib,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised by CYPs. Cobimetinib is unlike to interfere with metabolic pathway. Cobimetinib displays pH-dependent aqueous solubility in vitro. However, coadministration of cobimetinib (single dose of 20 mg) and the proton-pump inhibitor, rabeprazole (20 mg once daily for 5 days), increased cobimetinib AUC by 11%. No effect on Cmax was observed. Therefore, no clinically significant effect of gastric pH increasing drugs on cobimetinib exposure is expected.",(See Summary)
12,Cobimetinib,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Cobimetinib does not inhibit or induce UGTs, CYPs or P-gp.",(See Summary)
13,Cobimetinib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Cobimetinib does not interfere with this elimination pathway.,(See Summary)
14,Cobimetinib,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Cobimetinib is unlikely to interfere with this elimination pathway.,(See Summary)
15,Cobimetinib,Amiodarone,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiodarone is metabolised by CYP2C8 and CYP3A4. Cobimetinib does not inhibit or induce CYP2C8 and CYP3A4.,(See Summary)
16,Cobimetinib,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Cobimetinib is a weak inhibitor of OCT1 in vitro but no clinically significant effect on amisulpride is expected in vivo. ,(See Summary)
17,Cobimetinib,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Cobimetinib is an inducer of CYP1A2 in vitro but this is unlikely to be clinically relevant.",(See Summary)
18,Cobimetinib,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Cobimetinib does not inhibit or induce CYP3A4.,(See Summary)
19,Cobimetinib,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Cobimetinib is unlikely to interfere with this elimination pathway.,(See Summary)
20,Cobimetinib,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised and is eliminated to a large extent in the bile. Cobimetinib does not interfere with this elimination pathway. However, the European SPC for amphotericin B states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension and so monitoring may be required.",(See Summary)
21,Cobimetinib,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. In vitro data indicate that ampicillin is a substrate of OAT1. Cobimetinib is unlikely to interfere with ampicillin renal elimination.,(See Summary)
22,Cobimetinib,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. ,(See Summary)
23,Cobimetinib,Antacids,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Antacids are not metabolised by CYPs. Cobimetinib is unlikely to interfere with this metabolic pathway. Cobimetinib displays pH-dependent aqueous solubility in vitro. However, coadministration of cobimetinib (single dose of 20 mg) and the proton-pump inhibitor, rabeprazole (20 mg once daily for 5 days), increased cobimetinib AUC by 11%. No effect on Cmax was observed. Therefore, no clinically significant effect of gastric pH increasing drugs on cobimetinib exposure is expected.",(See Summary)
24,Cobimetinib,Apixaban,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Apixaban is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Cobimetinib is an inducer of CYP1A2 in vitro and may decrease concentrations of apixaban. The clinical relevance of this interaction is unknown. Coadministration of apixaban and cobimetinib may increase the risk of haemorrhage. Bleeding events have been reported more frequently in the cobimetinib plus vemurafenib arm than in the placebo plus vemurafenib arm (all types and Grades: 13% vs. 7%). The median time to first onset was 6.1 months in the cobimetinib plus vemurafenib arm. Monitor closely for haemorrhage. If haemorrhage occurs, treat as clinically indicated.",(See Summary)
25,Cobimetinib,Aprepitant,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. Cobimetinib is an inducer of CYP1A2 in vitro and may decrease concentrations of aprepitant. The clinical relevance of this interaction is unknown since no clinical interaction studies have been conducted. Monitoring of aprepitant efficacy may be required. During treatment, aprepitant is a moderate inhibitor of CYP3A4 and may increase concentrations of cobimetinib during the three days of coadministration. Therefore, coadministration is not recommended. If coadministration is unavoidable, reduce the cobimetinib dose during the few days of coadministration by approximately 50%. For patients who are taking a reduced dose of cobimetinib (40 or 20 mg daily) selection of an alternative concomitant medication with no or minimal enzyme inhibition potential is recommended. Furthermore, after treatment aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Concentrations of cobimetinib may decrease due to weak induction of CYP3A4 and UGT2B7, but this is unlikely to be clinically relevant.",(See Summary)
26,Cobimetinib,Aripiprazole,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aripiprazole is metabolised by CYP3A4 and CYP2D6. Cobimetinib does not inhibit or induce CYP3A4 and CYP2D6.,(See Summary)
27,Cobimetinib,Asenapine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Asenapine is metabolised by glucuronidation (UGT1A4) and oxidative metabolism (CYPs 1A2 (major), 3A4 and 2D6 (minor)). Cobimetinib is an inducer of CYP1A2 in vitro and may decrease concentrations of asenapine. As the clinical relevance of this interaction is unknown, care should be taken when cobimetinib is coadministered with asenapine.",(See Summary)
28,Cobimetinib,Astemizole,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Astemizole is metabolised by CYPs 2D6, 2J2 and 3A4. Cobimetinib does not inhibit or induce these CYPs.",(See Summary)
29,Cobimetinib,Atenolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atenolol is mainly eliminated unchanged in the kidney, predominantly by glomerular filtration. Cobimetinib does not interfere with this elimination pathway.",(See Summary)
30,Cobimetinib,Atorvastatin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Atorvastatin is metabolised by CYP3A4 and is a substrate of P-gp. Cobimetinib does not inhibit or induce CYP3A4 or P-gp. However, coadministration of atorvastatin and cobimetinib may increase the risk of rhabdomyolysis. Monitoring for signs of rhabdomyolysis (e.g. muscle pain, stiffness, and dark urine) may be required.",(See Summary)
31,Cobimetinib,Azathioprine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Azathioprine is converted to 6-mercaptopurine which is metabolised analogously to natural purines. Cobimetinib does not interfere with this metabolic pathway. ,(See Summary)
