,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Dabrafenib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Dabrafenib is unlikely to interfere with this pathway. ",(See Summary)
1,Dabrafenib,Acenocoumarol,"
Potential Interaction
","
Very Low
",Coadministration has not been studied. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Dabrafenib is an inducer of CYP2C9 and is a potential inducer of CYP2C19. Concentrations of acenocoumarol may decrease due to induction of CYP2C9. Monitoring of INR is recommended. ,(See Summary)
2,Dabrafenib,Acetylsalicylic acid (Aspirin),"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Dabrafenib is a potential inducer of UGT and may decrease concentrations of aspirin. Monitoring of aspirin efficacy is recommended. ",(See Summary)
3,Dabrafenib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Dabrafenib is an inducer of CYP2C9 and potentially induces CYP2C19. Since CYP2C9 and CYP2C19 mediated metabolism is only a minor pathway, a clinically relevant interaction is unlikely.",(See Summary)
4,Dabrafenib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. ",(See Summary)
5,Dabrafenib,Alfentanil,"
Potential Weak Interaction
","
Very Low
",Coadministration has not been studied. Alfentanil undergoes extensive CYP3A4 metabolism. Dabrafenib is a strong CYP3A4 inducer and may decrease concentrations of alfentanil. Monitoring of alfentanil efficacy is recommended. ,(See Summary)
6,Dabrafenib,Alfuzosin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Alfuzosin is metabolised by CYP3A. Dabrafenib is an inducer of CYP3A4 and may decrease alfuzosin concentrations. Although, alfuzosin has a wide therapeutic index, monitoring of alfuzosin efficacy may be required.",(See Summary)
7,Dabrafenib,Aliskiren,"
Potential Weak Interaction
","
Very Low
",Coadministration has not been studied. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability. Dabrafenib is an inducer of P-gp but a clinically relevant interaction is unlikely.,(See Summary)
8,Dabrafenib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Dabrafenib not interfere with this metabolic pathway. ,(See Summary)
9,Dabrafenib,Alosetron,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Dabrafenib is an inducer of CYP3A4 and CYP2C9, and may decrease concentrations of alosetron. Monitoring of alosetron efficacy is recommended. ",(See Summary)
10,Dabrafenib,Alprazolam,"
Potential Weak Interaction
","
Very Low
",Coadministration has not been studied. Alprazolam is mainly metabolised by CYP3A4. Dabrafenib is an inducer of CYP3A4 and may decrease alprazolam concentrations. Consider monitoring of alprazolam efficacy.,(See Summary)
11,Dabrafenib,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. The aqueous solubility of dabrafenib is pH dependent with only a low solubility at pH 1. Coadministration of dabrafenib (150 mg twice daily) and rabeprazole (40 mg once daily) increased dabrafenib AUC by 3% and decreased dabrafenib Cmax by 12%. Therefore, no clinically relevant effect of aluminium hydroxide on dabrafenib exposure is expected.",(See Summary)
12,Dabrafenib,Ambrisentan,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Dabrafenib is an inducer of CYP3A4 and possibly of UGTs and CYP2C19. Therefore, dabrafenib may decrease the plasma concentration of ambrisentan. Monitoring of ambrisentan efficacy may be required. Furthermore, ambrisentan is also a substrate of P-gp. Although, dabrafenib is an inducer of P-gp, the risk of a clinically relevant interaction through P-gp is minimal.",(See Summary)
13,Dabrafenib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Dabrafenib does not interfere with this elimination pathway.,(See Summary)
14,Dabrafenib,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Dabrafenib is unlikely to interfere with this elimination pathway.,(See Summary)
15,Dabrafenib,Amiodarone,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Amiodarone is metabolised by CYP2C8 and CYP3A4. Dabrafenib is an inducer of CYP3A4 and potentially induces CYP2C8, and may decrease concentrations of amiodarone. Due to the narrow therapeutic index of amiodarone, dose increments should be considered and monitoring of amiodarone efficacy is recommended. Monitoring of amiodarone plasma concentrations should be considered, if available. No clinically relevant QTc prolonging effects were observed after administration of 300 mg dabrafenib twice daily (two times the recommended dose). However, the incidences of QTc ≥501 msec and of QTc increase of > 60 msec from baseline were significantly higher with the combination dabrafenib-trametinib (4% and 13%, respectively) compared with the trametinib (2% and 3%, respectively) and the dabrafenib (<1% and 3%, respectively) monotherapy populations. Therefore, caution is needed when trametinib and dabrafenib are used concomitantly and are co-administered with a drug with a known risk of Torsade de Pointes. If coadministration is necessary, close monitoring including ECG assessment is recommended.",(See Summary)
16,Dabrafenib,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily eliminated renally (possibly via OCT). Dabrafenib is unlikely to interfere with this metabolic and elimination pathway. ,(See Summary)
17,Dabrafenib,Amitriptyline,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Amitriptyline and its active metabolite nortriptyline are metabolised predominantly by CYPs 3A4, 2D6 and 2C19. Dabrafenib is an inducer of CYP3A4 and is a potential inducer of CYP2C19. Concentrations of amitriptyline may decrease but concentrations of nortriptyline may increase due to induction of CYP3A4. Monitoring for amitriptyline/nortriptyline efficacy and plasma concentrations is recommended. No clinically relevant QTc prolonging effects were observed after administration of dabrafenib (300 mg twice daily, two times the recommended dose). However, the incidences of QTc ≥501 msec and QTc increase of >60 msec from baseline were significantly higher with the combination dabrafenib-trametinib (4% and 13%, respectively) compared with trametinib (2% and 3%, respectively) and dabrafenib (<1% and 3%, respectively) monotherapies. Therefore, caution is needed when trametinib and dabrafenib are used concomitantly and are co-administered with a drug with a known risk of Torsade de Pointes. If coadministration with amitriptyline is necessary, close monitoring including ECG assessment is recommended.",(See Summary)
18,Dabrafenib,Amlodipine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Amlodipine is metabolised by CYP3A4. Dabrafenib is an inducer of CYP3A4 and may decrease amlodipine concentrations. As the clinical relevance of this interaction is unknown, monitoring of blood pressure is recommended.",(See Summary)
19,Dabrafenib,Amoxicillin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Dabrafenib is an inhibitor of OAT3 in vitro, but a clinically relevant interaction is unlikely.",(See Summary)
