,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Dasatinib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by microbial flora. ",(See Summary)
1,Dasatinib,Acenocoumarol,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Dasatinib does not inhibit or induce these CYPs. However, dasatinib in combination with acencoumarol increases the risk of bleeding due to the thrombocytopenic effect of dasatinib. Dasatinib use was also associated with decreased platelet aggregation in 70% of patients with CML. As the clinical relevance of this pharmacodynamic interaction is unknown, monitoring for bleeding may be required.",(See Summary)
2,Dasatinib,Acetylsalicylic acid (Aspirin),"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. However, dasatinib coadministered with aspirin increases the risk of bleeding due to the thrombocytopenic effect of dasatinib. Furthermore, dasatinib use was associated with decreased platelet aggregation in 70% of patients with CML. As the clinical relevance of this pharmacodynamic interaction is unknown, monitoring for bleeding may be required.",(See Summary)
3,Dasatinib,Agomelatine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly via CYP1A2. Dasatinib does not inhibit or induce CYP1A2.,(See Summary)
4,Dasatinib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. ",(See Summary)
5,Dasatinib,Alfentanil,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Alfentanil undergoes extensive CYP3A4 metabolism and dasatinib is a weak inhibitor of CYP3A4. As the clinical relevance of this interaction is unknown, monitoring for toxicity may be required.",(See Summary)
6,Dasatinib,Alfuzosin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A4. Dasatinib is a weak inhibitor of CYP3A4 and may increase alfuzosin concentrations. Since alfuzosin has a wide therapeutic index, a clinically relevant interaction is unlikely.",(See Summary)
7,Dasatinib,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability. Dasatinib is unlikely to affect aliskiren clearance.,(See Summary)
8,Dasatinib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely as allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Dasatinib not interfere with this metabolic pathway. ,(See Summary)
9,Dasatinib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Dasatinib is a weak inhibitor of CYP3A4 and may increase alosetron concentrations. Due to the wide therapeutic index of alosetron, a clinically relevant interaction is unlikely.",(See Summary)
