,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Elotuzumab,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Elotuzumab is unlikely to interfere with this metabolic pathway.",(See Summary)
1,Elotuzumab,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Elotuzumab does not inhibit or induce CYPs.,(See Summary)
2,Elotuzumab,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Elotuzumab does not inhibit or induce UGTs.",(See Summary)
3,Elotuzumab,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Elotuzumab does not inhibit or induce CYPs.",(See Summary)
4,Elotuzumab,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Elotuzumab does not interfere with this elimination pathway.,(See Summary)
5,Elotuzumab,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Elotuzumab does not inhibit or induce CYPs.,(See Summary)
6,Elotuzumab,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Elotuzumab does not inhibit or induce CYPs.,(See Summary)
7,Elotuzumab,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Elotuzumab does not inhibit or induce P-gp and is unlikely to interfere with this elimination pathway.,(See Summary)
8,Elotuzumab,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Elotuzumab does not interact with this metabolic pathway.,(See Summary)
9,Elotuzumab,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Elotuzumab does not inhibit or induce CYPs.",(See Summary)
10,Elotuzumab,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Elotuzumab does not inhibit or induce CYPs.,(See Summary)
11,Elotuzumab,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised.,(See Summary)
12,Elotuzumab,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Elotuzumab does not inhibit or induce CYPs, UGTs or P-gp.",(See Summary)
13,Elotuzumab,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Elotuzumab is unlikely to interfere with this elimination pathway.,(See Summary)
14,Elotuzumab,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Elotuzumab is unlikely to interfere with this elimination pathway.,(See Summary)
15,Elotuzumab,Amiodarone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiodarone is metabolised by CYP3A4 and CYP2C8. Elotuzumab does not inhibit or induce CYPs. The major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Elotuzumab is not metabolised by CYPs.",(See Summary)
16,Elotuzumab,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily eliminated renally (possibly via OCT). Elotuzumab is unlikely to interfere with this elimination pathway.,(See Summary)
17,Elotuzumab,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Elotuzumab does not inhibit or induce CYPs.",(See Summary)
18,Elotuzumab,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Elotuzumab does not inhibit or induce CYPs.,(See Summary)
19,Elotuzumab,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Elotuzumab is unlikely to interfere with this elimination pathway.,(See Summary)
20,Elotuzumab,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised and is eliminated to a large extent in the bile. Elotuzumab does not interfere with this elimination pathway. However, the European SPC for amphotericin states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension and so monitoring may be required.",(See Summary)
21,Elotuzumab,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Elotuzumab is unlikely to interfere with this elimination pathway.,(See Summary)
22,Elotuzumab,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. Elotuzumab is unlikely to interfere with this metabolic pathway.,(See Summary)
23,Elotuzumab,Antacids,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Antacids are not metabolised by CYPs.,(See Summary)
24,Elotuzumab,Apixaban,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Apixaban is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Apixaban is also a substrate of P-gp and BCRP. Elotuzumab does not inhibit or induce CYPs, P-gp or BCRP.",(See Summary)
25,Elotuzumab,Aprepitant,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. Elotuzumab does not inhibit or induce CYPs. During treatment, aprepitant is a moderate inhibitor of CYP3A4. After treatment, aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Elotuzumab is not metabolised by CYPs or UGTs.",(See Summary)
26,Elotuzumab,Aripiprazole,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aripiprazole is metabolised by CYP3A4 and CYP2D6. Elotuzumab does not inhibit or induce CYPs.,(See Summary)
27,Elotuzumab,Asenapine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolised by glucuronidation (UGT1A4) and oxidative metabolism (CYPs 1A2 (major), 3A4 (minor) and 2D6 (minor)). Elotuzumab does not inhibit or induce CYPs or UGTs.",(See Summary)
28,Elotuzumab,Astemizole,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Astemizole is metabolised by CYPs 2D6, 2J2 and 3A4. Elotuzumab does not inhibit or induce CYPs.",(See Summary)
29,Elotuzumab,Atenolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atenolol is mainly eliminated unchanged in the kidney, predominantly by glomerular filtration. Elotuzumab is unlikely to interfere with this elimination pathway.",(See Summary)
30,Elotuzumab,Atorvastatin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atorvastatin is metabolised by CYP3A4 and is a substrate of P-gp and OATP1B1. Elotuzumab does not inhibit or induce CYPs, P-gp or OATP1B1.",(See Summary)
31,Elotuzumab,Azathioprine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Azathioprine is converted to 6-mercaptopurine which is metabolised analogously to natural purines. Elotuzumab does not interact with this metabolic pathway.,(See Summary)
32,Elotuzumab,Azithromycin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Azithromycin is mainly eliminated via biliary excretion; animal data suggest this may occur via P-gp and MRP2. Elotuzumab does not inhibit or induce P-gp or MRP2. Azithromycin is also an inhibitor of P-gp. However, the clinical relevance of P-gp inhibition is unknown. Furthermore, elotuzumab is not a substrate of P-gp.",(See Summary)
33,Elotuzumab,Beclometasone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Beclometasone is a pro-drug which is not metabolised by CYP450, but is hydrolysed via esterase enzymes to the highly active metabolite beclometasone-17-monopropionate. Elotuzumab does not interact with this metabolic pathway.",(See Summary)
34,Elotuzumab,Bedaquiline,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bedaquiline is metabolised by CYP3A4. Elotuzumab does not inhibit or induce CYPs.,(See Summary)
