,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Enzalutamide,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Enzalutamide does not interfere with this elimination pathway.",(See Summary)
1,Enzalutamide,Acenocoumarol,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied and should be avoided. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Enzalutamide is a moderate inducer of CYP2C9 and CYP2C19 and a weak inducer of CYP1A2. Concentrations of acenocoumarol may decrease due to induction of CYP2C9 and CYP2C19. Therefore, coadministration should be avoided. Patients who require anticoagulation should receive low-molecular-weight or standard heparin, instead of coumarin derivatives. Note: After discontinuation of enzalutamide, the effect of the interaction can persist up to several weeks. ",(See Summary)
2,Enzalutamide,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs (major UGT1A6)). Enzalutamide does not inhibit or induce UGTs.,(See Summary)
3,Enzalutamide,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Enzalutamide is a moderate inducer of CYP2C9 and CYP2C19, and also a weak inducer of CYP1A2. Since CYP2C9 and CYP2C19 mediated metabolism is only a minor pathway, no clinically significant effect on agomelatine is expected.",(See Summary)
4,Enzalutamide,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. ",(See Summary)
5,Enzalutamide,Alfentanil,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied and should be avoided. Alfentanil undergoes extensive CYP3A4 metabolism. Enzalutamide is a strong inducer of CYP3A4 and concentrations of alfentanil may significantly decrease. Therefore, coadministration should be avoided. If possible, selection of an alternate concomitant medicinal product, with no or minimal metabolism via CYP3A4 should be considered. If coadministration is clinically necessary, close monitoring of alfentanil efficacy is recommended. A dose increase of alfentanil may be necessary to achieve comparable efficacy.",(See Summary)
6,Enzalutamide,Alfuzosin,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied and should be avoided. Alfuzosin is metabolised by CYP3A4. Enzalutamide is a strong inducer of CYP3A4 and may significantly decrease alfuzosin metabolism. Therefore, coadministration should be avoided. If possible, selection of an alternate concomitant medicinal product, with no or minimal metabolism via CYP3A4 should be considered. If coadministration is clinically necessary, close monitoring of alfuzosin is recommended. A dose increase of alfuzosin may be necessary to achieve comparable efficacy.",(See Summary)
7,Enzalutamide,Aliskiren,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Aliskiren is minimally metabolised and is mainly excreted unchanged in the faeces. P-gp is a major determinant of aliskiren bioavailability. Enzalutamide is an inhibitor of P-gp in vitro and may increase aliskiren concentrations. As the clinical relevance of this interaction is unknown, monitoring of aliskiren toxicity is recommended.",(See Summary)
8,Enzalutamide,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Enzalutamide not interfere with these metabolic pathways. ,(See Summary)
9,Enzalutamide,Alosetron,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied and should be avoided. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Enzalutamide is a strong inducer of CYP3A4, a moderate inducer of CYP2C9 and a weak inducer of CYP1A2, Concentrations of alosetron may significantly decrease due to induction of CYP2C9 and CYP3A4 by enzalutamide. Therefore, coadministration should be avoided. If possible, selection of an alternate concomitant medicinal product, with no or minimal metabolism via CYP3A4 and CYP2C9 should be considered. If coadministration is clinically necessary, monitoring of alosetron efficacy is recommended. A dose increase of alosetron may be necessary to achieve comparable efficacy.",(See Summary)
