,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Gemcitabine,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Gemcitabine does not interact with this metabolic pathway.",See Summary
1,Gemcitabine,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Gemcitabine does not inhibit or induce CYPs. However, in two case reports an increased INR was observed after coadministration of warfarin with intravesical or intravenous gemcitabine. A similar effect may occur after coadministration with acenocoumarol. The clinical relevance of an interaction with intravesical gemcitabine is unknown. Coadministration should be approached with caution. If coadministration is unavoidable, monitor closely for acenocoumarol toxicity. If available, closely monitor INR/PT.",See Summary
2,Gemcitabine,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Gemcitabine does not interact with this metabolic pathway.",See Summary
3,Gemcitabine,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Gemcitabine does not inhibit or induce CYPs.",See Summary
4,Gemcitabine,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronic acid is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Gemcitabine is unlikely to interfere with this elimination pathway.,See Summary
5,Gemcitabine,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Gemcitabine does not inhibit or induce CYPs.,See Summary
6,Gemcitabine,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Gemcitabine does not inhibit or induce CYPs.,See Summary
7,Gemcitabine,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Gemcitabine is unlikely to interfere with this elimination pathway.,See Summary
8,Gemcitabine,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Gemcitabine does not interact with this metabolic pathway.,See Summary
9,Gemcitabine,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Gemcitabine does not inhibit or induce CYPs.",See Summary
10,Gemcitabine,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Gemcitabine does not inhibit or induce CYPs.,See Summary
