,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Ibrutinib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Ibrutinib does not interfere with this pathway.  ",(See Summary)
1,Ibrutinib,Acenocoumarol,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied but should be avoided. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Ibrutinib does not inhibit or induce CYPs at clinically relevant concentrations. Therefore, no effect on acenocoumarol exposure is expected. However, coadministration may increase the risk of haemorrhage.",(See Summary)
2,Ibrutinib,Acetylsalicylic acid (Aspirin),"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Ibrutinib does not inhibit or induce UGTs. However, coadministration may increase the risk of haemorrhage. Therefore, the benefit-risk of ibrutinib in patients requiring antiplatelet or anticoagulant therapies should be considered. If coadministration is clinically necessary, monitor closely for signs of bleeding.",(See Summary)
3,Ibrutinib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Ibrutinib does not inhibit or induce CYPs at clinically relevant concentrations. Therefore, no effect on agomelatine exposure is expected.",(See Summary)
4,Ibrutinib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. ",(See Summary)
5,Ibrutinib,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Ibrutinib does not inhibit or induce CYP3A4 at clinically relevant concentrations. Therefore no effect on alfentanil exposure is expected.,(See Summary)
6,Ibrutinib,Alfuzosin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Ibrutinib does not inhibit or induce CYPs at clinically relevant concentrations. Therefore, no effect on alfuzosin exposure is expected.",(See Summary)
7,Ibrutinib,Aliskiren,"
Potential Weak Interaction
","
Very Low
",Coadministration has not been studied. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability. The local effect of ibrutinib on P-gp inhibition in the gastro-intestinal tract is unknown. Monitoring for aliskiren toxicity should be considered.,(See Summary)
8,Ibrutinib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Ibrutinib not interfere with this metabolic pathway. ,(See Summary)
9,Ibrutinib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Ibrutinib does not inhibit or induce CYPs at clinically relevant concentrations. Therefore, no effect on alosetron exposure is expected.",(See Summary)
10,Ibrutinib,Alprazolam,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Ibrutinib does not inhibit or induce CYPs at clinically relevant concentrations. Therefore, no effect on alprazolam exposure is expected.",(See Summary)
11,Ibrutinib,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. The solubility of ibrutinib is pH dependent, with a lower solubility at a higher pH. In fasted healthy volunteers (n=20), coadministration of ibrutinib (560 mg single dose) and omeprazole (40 mg once daily for 5 days) decreased ibrutinib AUC and Cmax by 7.5% and 62.5%, respectively. A similar effect may occur with aluminium hydroxide. Since AUC is considered most relevant for ibrutinib’s activity, coadministration is not expected to have a clinically relevant effect on ibrutinib exposure. ",(See Summary)
12,Ibrutinib,Ambrisentan,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. The local effect of ibrutinib on P-gp inhibition in the gastro-intestinal tract is unknown. Monitoring for ambrisentan toxicity should be considered.",(See Summary)
13,Ibrutinib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Ibrutinib does not interfere with this elimination pathway.,(See Summary)
14,Ibrutinib,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Ibrutinib is unlikely to significantly affect this elimination pathway.,(See Summary)
15,Ibrutinib,Amiodarone,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Amiodarone is metabolised by CYP3A4 and CYP2C8. Ibrutinib does not inhibit or induce CYPs at clinically relevant concentrations. Amiodarone is also an inhibitor of CYPs 2C8, 2C9, 3A4. Concentrations of ibrutinib may increase due to inhibition of CYP3A4. In a single case report, amiodarone administration may have increased ibrutinib concentrations leading to heart failure with preserved ejection fraction. If coadministration is clinically necessary, the EU product label recommends a dose reduction to 280 mg once daily for the duration of amiodarone use. The US product label recommends a dose reduction to 140 mg once daily for the duration of amiodarone use or to interrupt ibrutinib treatment. Close monitoring for ibrutinib toxicity is recommended and monitor ibrutinib plasma concentrations, if available. Note: if ibrutinib is used for GVHD, the FDA product label describes a different dose modification.",(See Summary)
16,Ibrutinib,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Ibrutinib is unlikely to significantly impair amisulpride elimination. ,(See Summary)
17,Ibrutinib,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Ibrutinib does not inhibit or induce CYPs at clinically relevant concentrations. Therefore, no effect on amitriptyline exposure is expected.",(See Summary)
18,Ibrutinib,Amlodipine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Ibrutinib does not inhibit or induce CYPs at clinically relevant concentrations. Therefore, no effect on amlodipine exposure is expected.",(See Summary)
19,Ibrutinib,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Ibrutinib is unlikely to interfere with the elimination of amoxicillin.,(See Summary)
20,Ibrutinib,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised and is eliminated to a large extent in the bile. Ibrutinib does not interfere with this elimination pathway. However, the European SPC for amphotericin states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension. ",(See Summary)
21,Ibrutinib,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. In vitro data indicate that ampicillin is a substrate of OAT1. Ibrutinib is unlikely to significantly affect the elimination of ampicillin.,(See Summary)
