,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Idelalisib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Idelalisib,Acenocoumarol,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Idelalisib is an inducer of CYP2C9 and CYP2C19 in vitro but the in vivo effects have yet to be determined. As the clinical relevance of this interaction is unknown, monitoring may be required.",(See Summary)
2,Idelalisib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs (major UGT1A6)). Idelalisib does not inhibit or induce UGT1A6. ,(See Summary)
3,Idelalisib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Idelalisib does not inhibit or induce CYP1A2.",(See Summary)
4,Idelalisib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",(See Summary)
5,Idelalisib,Alfentanil,"
Do Not Coadminister
","
Low
","Coadministration has not been studied and should be avoided. Alfentanil undergoes extensive CYP3A4 metabolism. The primary metabolite of idelalisib (GS-563117) is a strong inhibitor of CYP3A4 and may significantly increase concentrations of alfentanil. Therefore, coadministration should be avoided. If coadministration is clinically necessary, close monitoring for adverse reactions (e.g. respiratory depression, sedation) or dose titration is recommended. ",(See Summary)
6,Idelalisib,Alfuzosin,"
Do Not Coadminister
","
Low
","Coadministration has not been studied but should be avoided. Alfuzosin is metabolised by CYP3A4. The primary metabolite of idelalisib (GS-563117) is a strong inhibitor of CYP3A4 and may significantly increase concentrations of alfuzosin. Coadministration should be avoided. If possible, selection of an alternate concomitant medicinal product, with no or minimal metabolism via CYP3A4 should be considered.",(See Summary)
7,Idelalisib,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability. Idelalisib is an inhibitor of P-gp in vitro but a clinically relevant interaction with substrates of systemic P-gp are unlikely.,(See Summary)
8,Idelalisib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Idelalisib does not interfere with these metabolic pathways. ,(See Summary)
9,Idelalisib,Alosetron,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. The primary metabolite of idelalisib (GS-563117) is a strong inhibitor of CYP3A4 and may increase concentrations of alosetron. Although alosetron has a wide therapeutic index, the clinical relevance of this interaction is unknown and monitoring for toxicity may be required.",(See Summary)
10,Idelalisib,Alprazolam,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied and should be avoided. Alprazolam is mainly metabolised by CYP3A4. The primary metabolite of idelalisib (GS-563117) is a strong inhibitor of CYP3A4 and may significantly increase concentrations of alprazolam. Therefore, coadministration should be avoided. If coadministration is clinically necessary, close monitoring or dose titration is recommended.",(See Summary)
11,Idelalisib,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised by CYPs. Idelalisib is unlikely to interfere with this metabolic pathway. However, the solubility of idelalisib decreases with increasing pH of the stomach, but in patients with chronic lymphoid leukemia (CLL) and indolent non-Hodgkin lymphoma (iNHL), coadministration of idelalisib and acid-reducing agents did not demonstrate any clinically relevant effects. For patients with iNHL, idelalisib AUC and Cmax increased by 4% and 6%, respectively, whereas for patients with CLL, idelalisib AUC and Cmax decreased by 11% and 5%, respectively. Therefore, no clinically relevant interactions are expected. ",(See Summary)
12,Idelalisib,Ambrisentan,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. The primary metabolite of idelalisib (GS-563117) is a strong inhibitor of CYP3A4 and idelalisib is an inhibitor of P-gp in vitro. Therefore, concentrations of ambrisentan may increase. The clinical relevance of this interaction is unknown; CYP3A4 mediated metabolism is a minor pathway and a clinically relevant interaction with substrates of systemic P-gp is unlikely. However, monitor closely for ambrisentan toxicity.",(See Summary)
13,Idelalisib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amikacin is eliminated by glomerular filtration. Idelalisib does not interfere with this elimination pathway.,(See Summary)
14,Idelalisib,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Idelalisib is unlikely to affect this elimination pathway.,(See Summary)
15,Idelalisib,Amiodarone,"
Do Not Coadminister
","
Low
","Coadministration has not been studied and should be avoided. Amiodarone is metabolised by CYP2C8 and CYP3A4. The primary metabolite of idelalisib (GS-563117) is a strong inhibitor of CYP3A4 and may significantly increase concentrations of amiodarone. Therefore, coadministration should be avoided. If possible, selection of an alternate concomitant medicinal product, with no or minimal metabolism via CYP3A4 should be considered.",(See Summary)
16,Idelalisib,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Idelalisib is unlikely to significantly affect these metabolic and elimination pathways. ,(See Summary)
17,Idelalisib,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19 with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. The primary metabolite of idelalisib (GS-563117) is a strong inhibitor of CYP3A4 but a clinically relevant interaction is unlikely.",(See Summary)
18,Idelalisib,Amlodipine,"
Do Not Coadminister
","
Low
","Coadministration has not been studied and should be avoided. Amlodipine is metabolised by CYP3A4. The primary metabolite of idelalisib (GS-563117) is a strong inhibitor of CYP3A4 and may significantly increase concentrations of amlodipine. Therefore, coadministration should be avoided. If coadministration is clinically necessary, close monitoring of therapeutic effect (blood pressure) and adverse reactions is recommended.",(See Summary)
19,Idelalisib,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Idelalisib is unlikely to interfere with this elimination pathway.,(See Summary)
20,Idelalisib,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised and is eliminated to a large extent in the bile. Idelalisib does not interfere with this elimination pathway. However, the European SPC for amphotericin B states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension. Therefore, monitoring may be required. ",(See Summary)
21,Idelalisib,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Idelalisib is unlikely to significantly inhibit ampicillin renal elimination.,(See Summary)
22,Idelalisib,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. ,(See Summary)
23,Idelalisib,Antacids,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Antacids are not metabolised by CYPs and idelalisib is unlikely to affect the elimination of antacids. However, the solubility of idelalisib decreases with increasing pH of the stomach, but in patients with chronic lymphoid leukaemia (CLL) and indolent non-Hodgkin lymphoma (iNHL), coadministration of idelalisib and acid-reducing agents did not demonstrate any clinically relevant effects. For patients with iNHL, idelalisib AUC and Cmax increased by 4% and 6%, respectively, whereas for patients with CLL, idelalisib AUC and Cmax decreased by 11% and 5%, respectively. Therefore, no clinically relevant interactions are expected.",(See Summary)
24,Idelalisib,Apixaban,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied and should be avoided. Apixaban is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. The primary metabolite of idelalisib (GS-563117) is a strong inhibitor of CYP3A4 and may significantly increase concentrations of apixaban. Therefore, coadministration should be avoided. If coadministration is clinically necessary, close monitoring of anti-Xa levels or dose titration is recommended. ",(See Summary)
25,Idelalisib,Aprepitant,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied but should be avoided. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. The primary metabolite of idelalisib (GS-563117) is a strong inhibitor of CYP3A4 and may significantly increase aprepitant exposure, thus prolonging and increasing aprepitant therapeutic activity and adverse reactions. Therefore, coadministration should be avoided. If coadministration is clinically necessary, monitor closely for aprepitant toxicity. Furthermore, during treatment aprepitant is a moderate inhibitor of CYP3A4 and may increase idelalisib concentrations. Since the therapeutic index of idelalisib is relatively large, it is not necessary to decrease the idelalisib dose a priori. However, close monitoring for toxicity is recommended. After treatment, aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Concentrations of idelalisib may decrease due to weak induction of CYP3A4, but this is not considered to be clinically relevant.",(See Summary)
26,Idelalisib,Aripiprazole,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied and should be avoided. Aripiprazole is metabolised by CYP3A4 and CYP2D6. The primary metabolite of idelalisib (GS-563117) is a strong inhibitor of CYP3A4 and may significantly increase concentrations of aripiprazole. Therefore, coadministration should be avoided. If coadministration is clinically necessary, close monitoring or dose titration is recommended. ",(See Summary)
