,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Imatinib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Imatinib,Acenocoumarol,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied but is contraindicated. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Concentrations of acenocoumarol may increase due to moderate inhibition of CYP2C9. Due to known increased risks of bleeding in conjunction with the use of imatinib (e.g. haemorrhage), patients who require anticoagulation should receive low-molecular-weight or standard heparin, instead of coumarin derivatives such as acenocoumarol.",(See Summary)
2,Imatinib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Imatinib does not inhibit or induce UGT1A6.",(See Summary)
3,Imatinib,Agomelatine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly via CYP1A2. Imatinib does not inhibit or induce CYP1A2.,(See Summary)
4,Imatinib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. ",(See Summary)
5,Imatinib,Alfentanil,"
Potential Interaction
","
Very Low
",Coadministration has not been studied. Alfentanil undergoes extensive CYP3A4 metabolism and concentrations may increase as imatinib is a moderate inhibitor of CYP3A4. Close monitoring for alfentanil toxicity is recommended.,(See Summary)
6,Imatinib,Alfuzosin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Alfuzosin is metabolised by CYP3A. Imatinib is a moderate inhibitor of CYP3A4 and may increase alfuzosin concentrations. However, since alfuzosin has a wide therapeutic index, a clinically relevant interaction is unlikely.",(See Summary)
7,Imatinib,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-glycoprotein is a major determinant of aliskiren bioavailability. Imatinib is unlikely to affect aliskiren clearance.,(See Summary)
8,Imatinib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Imatinib not interfere with this metabolic pathway. ,(See Summary)
9,Imatinib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Imatinib is a moderate inhibitor of CYP3A4 and CYP2C9 and may increase alosetron concentrations. However, due to the wide therapeutic index of alosetron, this interaction is unlikely to be clinically relevant.",(See Summary)
10,Imatinib,Alprazolam,"
Potential Interaction
","
Very Low
",Coadministration has not been studied. Alprazolam is mainly metabolised by CYP3A4. Imatinib is a moderate inhibitor of CYP3A4 and may increase alprazolam concentrations. The clinical relevance of this is interaction is unknown. Close monitoring for toxicity is recommended.,(See Summary)
