,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Inotuzumab ozogamicin,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Inotuzumab ozogamicin is unlikely to interfere with this metabolic pathway.",(See Summary)
1,Inotuzumab ozogamicin,Acenocoumarol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Calicheamicin, the active compound of inotuzumab ozogamicin is an inhibitor of CYPs 2C9, 1A2 and 2C19 in vitro. However, no clinically relevant effect is expected.",(See Summary)
2,Inotuzumab ozogamicin,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Calicheamicin, the active compound of inotuzumab ozogamicin, is an inhibitor of UGT1A6 in vitro. However, no clinically relevant effect is expected.",(See Summary)
3,Inotuzumab ozogamicin,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Calicheamicin, the active compound of inotuzumab ozogamicin is an inhibitor of CYPs 1A2, 2C9 and 2C19 in vitro. However, no clinically relevant effect is expected.",(See Summary)
4,Inotuzumab ozogamicin,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Inotuzumab ozogamicin does not interfere with this elimination pathway.,(See Summary)
5,Inotuzumab ozogamicin,Alfentanil,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Calicheamicin, the active compound of inotuzumab ozogamicin, is an inhibitor of CYP3A4 in vitro. However, no clinically relevant effect is expected.",(See Summary)
6,Inotuzumab ozogamicin,Alfuzosin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Calicheamicin, the active compound of inotuzumab ozogamicin is an inhibitor of CYP3A4 in vitro. However, no clinically relevant effect is expected.",(See Summary)
7,Inotuzumab ozogamicin,Aliskiren,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability. Calicheamicin, the active compound of inotuzumab ozogamicin is an in vitro inhibitor of P-gp, but no clinically relevant effect is expected.",(See Summary)
8,Inotuzumab ozogamicin,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Inotuzumab ozogamicin does not interfere with this metabolic pathway.,(See Summary)
9,Inotuzumab ozogamicin,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Calicheamicin, the active compound of inotuzumab ozogamicin is an inhibitor of CYPs 2C9, 3A4 and 1A2 in vitro. However, no clinically relevant effect is expected.",(See Summary)
10,Inotuzumab ozogamicin,Alprazolam,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Calicheamicin, the active compound of inotuzumab ozogamicin is an inhibitor of CYP3A4 in vitro. However, no clinically relevant effect is expected.",(See Summary)
11,Inotuzumab ozogamicin,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Inotuzumab ozogamicin is unlikely to interfere with this metabolic pathway.,(See Summary)
12,Inotuzumab ozogamicin,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Calicheamicin, the active compound of inotuzumab ozogamicin, is an inhibitor of CYP3A4 and CYP2C19 in vitro. However, no clinically relevant effect is expected.",(See Summary)
13,Inotuzumab ozogamicin,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Inotuzumab ozogamicin does not interfere with this elimination pathway.,(See Summary)
14,Inotuzumab ozogamicin,Amiloride,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Calicheamicin, the active compound of inotuzumab ozogamicin is an in vitro inhibitor of OCT2, but no clinically relevant effect is expected.",(See Summary)
15,Inotuzumab ozogamicin,Amiodarone,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Amiodarone is metabolised by CYP3A4 and CYP2C8. Calicheamicin, the active compound of inotuzumab ozogamicin is an inhibitor of both CYP3A4 and CYP2C8 in vitro, but no clinically relevant effect is expected. Furthermore, the major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Inotuzumab ozogamicin is not metabolised by CYPs. However, inotuzumab ozogamicin should be used with caution when co-administered with a drug with a known risk of Torsade de Pointes. If coadministration is necessary, close monitoring including ECG assessment is recommended.",(See Summary)
16,Inotuzumab ozogamicin,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Inotuzumab ozogamicin is unlikely to interfere with this elimination pathway.,(See Summary)
