,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Ipilimumab,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Ipilimumab is unlikely to interfere with this pathway.",(See Summary)
1,Ipilimumab,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Ipilimumab does not inhibit or induce CYPs. However, coadministration of acenocoumarol and ipilimumab may increase the risk of gastrointestinal haemorrhage. Patients who require concomitant anticoagulant therapy should be monitored closely.",(See Summary)
2,Ipilimumab,Acetylsalicylic acid (Aspirin),"
Potential Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Ipilimumab does not inhibit or induce CYPs or UGTs. However, coadministration of aspirin and ipilimumab may increase the risk of gastrointestinal haemorrhage. Patients who require concomitant anticoagulant therapy should be monitored closely.",(See Summary)
3,Ipilimumab,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Ipilimumab does not inhibit or induce CYPs.",(See Summary)
4,Ipilimumab,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Ipilimumab does not interact with this elimination pathway.,(See Summary)
5,Ipilimumab,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Ipilimumab does not inhibit or induce CYPs. ,(See Summary)
6,Ipilimumab,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Ipilimumab does not inhibit or induce CYPs. ,(See Summary)
7,Ipilimumab,Aliskiren,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Additionally, aliskiren is a substrate of P-gp. Ipilimumab does not interact with this metabolic or elimination pathway.",(See Summary)
8,Ipilimumab,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Ipilimumab does not interact with this metabolic pathway. ,(See Summary)
9,Ipilimumab,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Ipilimumab does not inhibit or induce CYPs. ",(See Summary)
