,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Lapatinib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and microbial flora. Lapatinib is unlikely to interfere with this metabolic pathway.",See Summary
1,Lapatinib,Acenocoumarol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Lapatinib does not inhibit or induce CYPs 2C9, 1A2 or 2C19.",See Summary
2,Lapatinib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Lapatinib does not inhibit or induce UGT1A6.",See Summary
3,Lapatinib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Lapatinib does not inhibit or induce CYPs 1A2, 2C9 or 2C19.",See Summary
4,Lapatinib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",See Summary
5,Lapatinib,Alfentanil,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Lapatinib is a weak inhibitor of intestinal CYP3A4 but is not an inhibitor of hepatic CYP3A4. For administration routes other than oral, a clinically relevant interaction is not expected.",See Summary
6,Lapatinib,Alfuzosin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Alfuzosin is metabolised by CYP3A. Lapatinib is a weak inhibitor of intestinal CYP3A4 but is not an inhibitor of hepatic CYP3A4. Concentrations of orally administered alfuzosin may increase. Coadministration of lapatinib with orally administered midazolam, a CYP3A4 substrate, increased midazolam AUC by 45% increase in midazolam AUC. A similar effect may occur with alfuzosin. Care should be taken when orally administered alfuzosin is coadministered with lapatinib. Monitoring for alfuzosin toxicity is recommended.",See Summary
7,Lapatinib,Aliskiren,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Lapatinib is an inhibitor of P-gp and may increase concentrations of aliskiren. Coadministration of lapatinib and digoxin, a P-gp substrate, increased digoxin AUC by 80%. A similar effect may occur after coadministration with aliskiren. If coadministration appears necessary, monitoring of blood pressure is recommended.",See Summary
8,Lapatinib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Lapatinib not interfere with this metabolic pathway.,See Summary
9,Lapatinib,Alosetron,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Lapatinib is a weak inhibitor of intestinal CYP3A4 but is not an inhibitor of hepatic CYP3A4. Concentrations of alosetron may increase. Coadministration of lapatinib with orally administered midazolam, a CYP3A4 substrate, increased midazolam AUC by 45%. A similar effect may occur with alosetron. Care should be taken when orally administered alosetron is coadministered with lapatinib. Monitoring for alosetron toxicity is recommended.",See Summary
10,Lapatinib,Alprazolam,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Alprazolam is mainly metabolised by CYP3A4. Lapatinib is a weak inhibitor of intestinal CYP3A4 but is not an inhibitor of hepatic CYP3A4. Concentrations of orally administered alprazolam may increase. Coadministration of lapatinib with orally administered midazolam, a CYP3A4 substrate, increased midazolam AUC by 45%. A similar effect may occur with alprazolam. Care should be taken when orally administered alprazolam is coadministered with lapatinib. Monitoring for alprazolam toxicity is recommended.",See Summary
11,Lapatinib,Aluminium hydroxide,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Aluminium hydroxide is not metabolised. Lapatinib is unlikely to interfere with this pathway. The solubility of lapatinib is pH-dependent. Pre-treatment with a proton pump inhibitor (esomeprazole) decreased lapatinib exposure by an average of 26%. A similar effect may occur with aluminium hydroxide. If coadministration is clinically necessary, lapatinib should be administered at least 2 hours before or 4 hours after antacids.",See Summary
12,Lapatinib,Ambrisentan,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Lapatinib is a weak inhibitor of intestinal CYP3A4 but is not an inhibitor of hepatic CYP3A4. Lapatinib is also an inhibitor of P-gp. Concentrations of orally administered ambrisentan may increase. Coadministration of lapatinib and digoxin, a P-gp substrate, increased digoxin AUC by 80%. A similar effect may occur after coadministration with ambrisentan. If coadministration appears necessary, monitoring of blood pressure is recommended.",See Summary
13,Lapatinib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Lapatinib is unlikely to interfere with this elimination pathway.,See Summary
14,Lapatinib,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Lapatinib is unlikely to affect this elimination pathway.,See Summary
