,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Lenalidomide,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Lenalidomide does not interact with this metabolic pathway.",See Summary
1,Lenalidomide,Acenocoumarol,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Lenalidomide does not inhibit or induce CYPs. Acenocoumarol may be indicated to treat thrombosis due to the increased risk from lenalidomide administration. However, the use of acenocoumarol with lenalidomide may increase the risk of bleeding. Therefore, care should be taken. Advise patients to observe for signs and symptoms of bleeding (e.g. petechiae, epistaxes) or bruising if coadministered.",See Summary
2,Lenalidomide,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Lenalidomide does not inhibit or induce or UGTs.",See Summary
3,Lenalidomide,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Lenalidomide does not inhibit or induce CYPs.",See Summary
4,Lenalidomide,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",See Summary
5,Lenalidomide,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Lenalidomide does not inhibit or induce CYPs.,See Summary
6,Lenalidomide,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Lenalidomide does not inhibit or induce CYPs.,See Summary
7,Lenalidomide,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Lenalidomide does not interfere with this elimination pathway.,See Summary
8,Lenalidomide,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Lenalidomide does not interact with this metabolic pathway.,See Summary
9,Lenalidomide,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Lenalidomide does not inhibit or induce CYPs.",See Summary
10,Lenalidomide,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Lenalidomide does not inhibit or induce CYPs.,See Summary
11,Lenalidomide,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Lenalidomide is unlikely to interfere with this pathway.,See Summary
12,Lenalidomide,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Lenalidomide does not inhibit or induce CYPs, UGTs or P-gp.",See Summary
13,Lenalidomide,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Lenalidomide does not interfere with this elimination pathway.,See Summary
14,Lenalidomide,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Lenalidomide does not interfere with this elimination pathway.,See Summary
15,Lenalidomide,Amiodarone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiodarone is metabolised by CYP3A4 and CYP2C8. Lenalidomide does not inhibit or induce CYPs. Furthermore, the major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Lenalidomide is not metabolised by CYPs.",See Summary
