,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Methotrexate,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Methotrexate does not interact with this metabolic pathway.",See Summary
1,Methotrexate,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Methotrexate does not inhibit or induce CYPs.,See Summary
2,Methotrexate,Acetylsalicylic acid (Aspirin),"
Do Not Coadminister
","
Very Low
","Coadministration should be avoided if acetylsalicylic acid is used at a dose > 100 mg daily. If acetylsalicylic acid is used at a dose < 100 mg daily, a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Methotrexate does not inhibit or induce UGTs. However, methotrexate is partially bound to serum albumin as is acetylsalicylic acid. Acetylsalicylic acid may displace or be displaced by methotrexate. Therefore, the toxicity of both acetylsalicylic acid and methotrexate may be increased. Acetylsalicylic acid in high doses for analgesic or anti-rheumatic use may interact with the renal elimination of methotrexate. Coadministration of methotrexate and NSAIDs led to severe adverse events, including acute renal failure and pancytopenia, due to elevated and prolonged methotrexate concentrations. Therefore, coadministration of high dose acetylsalicylic acid (> 100 mg) should be avoided.",See Summary
3,Methotrexate,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Methotrexate does not inhibit or induce CYPs.",See Summary
4,Methotrexate,Alendronic acid,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied but should be avoided. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Coadministration of methotrexate with alendronate may increase or exacerbate nephrotoxicity, particularly in patients with decreased renal function. Therefore, coadministration should be avoided. Furthermore, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",See Summary
5,Methotrexate,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Methotrexate does not inhibit or induce CYPs.,See Summary
6,Methotrexate,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Methotrexate does not inhibit or induce CYPs.,See Summary
7,Methotrexate,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Methotrexate is unlikely to interfere with this elimination pathway.,See Summary
8,Methotrexate,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Methotrexate does not interact with this metabolic pathway.,See Summary
9,Methotrexate,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Methotrexate does not inhibit or induce CYPs.",See Summary
10,Methotrexate,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Methotrexate does not inhibit or induce CYPs.,See Summary
11,Methotrexate,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Methotrexate is unlikely to interfere with this metabolic pathway.,See Summary
