,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Neratinib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and microbial flora. Neratinib is unlikely to interfere with this metabolic pathway. ",See Summary
1,Neratinib,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Neratinib does not inhibit or induce CYPs.,See Summary
2,Neratinib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Neratinib does not inhibit or induce UGTs.",See Summary
3,Neratinib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Neratinib does not inhibit or induce CYPs.",See Summary
4,Neratinib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",See Summary
5,Neratinib,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Neratinib does not inhibit or induce CYPs.,See Summary
6,Neratinib,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Neratinib does not inhibit or induce CYPs.,See Summary
7,Neratinib,Aliskiren,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Neratinib is an in vitro inhibitor of P-gp at concentrations that are likely to only affect P-gp present in the gut. Concentrations of aliskiren may increase due to P-gp inhibition. As the clinical relevance of this interaction is unknown, monitoring of blood pressure should be considered.",See Summary
8,Neratinib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Neratinib does not interact with this metabolic pathway.,See Summary
9,Neratinib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Neratinib does not inhibit or induce CYPs.",See Summary
10,Neratinib,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Neratinib does not inhibit or induce CYPs.,See Summary
11,Neratinib,Aluminium hydroxide,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be avoided. Aluminium hydroxide is not metabolised. The absorption of neratinib decreases when used concomitantly with antacids, leading to decreased neratinib exposure. Therefore, coadministration should be avoided. If coadministration is clinically necessary, neratinib should be administered at least 3 hours after aluminium hydroxide.",See Summary
12,Neratinib,Ambrisentan,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Neratinib is an in vitro inhibitor of P-gp at concentrations that are likely to only affect P-gp present in the gut. Concentrations of ambrisentan may increase due to P-gp inhibition. As the clinical relevance of this interaction is unknown, monitoring of blood pressure should be considered.",See Summary
13,Neratinib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Neratinib is unlikely to interfere with this elimination pathway.,See Summary
14,Neratinib,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Neratinib does not inhibit or induce OCT2.,See Summary
