,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Nilotinib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by microbial flora. ",(See Summary)
1,Nilotinib,Acenocoumarol,"
Potential Interaction
","
Low
","Coadministration has not been studied. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Nilotinib is a moderate inhibitor of CYP2C19 and CYP2C9 in vitro. Concentrations of acenocoumarol may increase due to inhibition of CYP2C9 and CYP2C19 by nilotinib. Although the clinical relevance of this interaction is unknown, it is recommended to closely monitor INR in the case of coadministration.",(See Summary)
2,Nilotinib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGT, major UGT1A6). Nilotinib does not inhibit or induce UGT1A6.",(See Summary)
3,Nilotinib,Agomelatine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly via CYP1A2. Nilotinib does not inhibit or induce CYP1A2.,(See Summary)
4,Nilotinib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. ",(See Summary)
5,Nilotinib,Alfentanil,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Alfentanil undergoes extensive CYP3A4 metabolism. Nilotinib is a weak inhibitor of CYP3A4 and may increase concentrations of alfentanil. As the clinical relevance of this interaction is unknown, monitoring of toxicity may be required. ",(See Summary)
6,Nilotinib,Alfuzosin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A4. Nilotinib is a weak inhibitor of CYP3A4 and may increase concentrations of alfuzosin. However, since alfuzosin has a wide therapeutic index, a clinically relevant interaction is unlikely.",(See Summary)
7,Nilotinib,Aliskiren,"
Potential Weak Interaction
","
Very Low
",Coadministration has not been studied. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability. Nilotinib is an inhibitor of P-gp in vitro. Concentrations of aliskiren may increase due to inhibition of P-gp by nilotinib. Monitoring of blood pressure is recommended when nilotinib is coadministered with aliskiren.,(See Summary)
8,Nilotinib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely as allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Nilotinib does not interact with this metabolic pathway. ,(See Summary)
9,Nilotinib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Nilotinib is a potent inhibitor of CYP3A4 in vitro but only a weak inhibitor in vivo; it also potently inhibits CYP2C9 in vitro but the in vivo effect has yet to be determined. However, due to the wide therapeutic index of alosetron, this interaction is unlikely to be clinically relevant.",(See Summary)
