,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Niraparib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Niraparib is unlikely to interfere with this pathway.",(See Summary)
1,Niraparib,Acenocoumarol,"
Potential Interaction
","
Very Low
",Coadministration has not been studied but should be approached with caution due to the risk of thrombocytopenia. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Niraparib does not inhibit or induce these CYPs.,(See Summary)
2,Niraparib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Niraparib does not inhibit or induce UGTs.",(See Summary)
3,Niraparib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Niraparib does not inhibit or induce CYPs.",(See Summary)
4,Niraparib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",(See Summary)
5,Niraparib,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Niraparib does not inhibit or induce CYP3A4.,(See Summary)
6,Niraparib,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Niraparib does not inhibit or induce CYP3A.,(See Summary)
7,Niraparib,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability. Niraparib is a very weak inhibitor of P-gp in vitro and no clinically significant effect is expected in vivo.,(See Summary)
8,Niraparib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Niraparib not interfere with this metabolic pathway.,(See Summary)
9,Niraparib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Niraparib does not inhibit or induce CYPs.",(See Summary)
