,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Olaparib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Olaparib,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Olaparib does not interact with this pathway.,(See Summary)
2,Olaparib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolized by glucuronidation (by several UGT, major UGT1A6). Olaparib does not inhibit or induce UGTs.",(See Summary)
3,Olaparib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatin is metabolised predominantly via CYP1A2. Olaparib does not inhibit or induce CYP1A2.",(See Summary)
4,Olaparib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",(See Summary)
5,Olaparib,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Olaparib does not inhibit or induce CYP3A4.,(See Summary)
6,Olaparib,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Olaparib does not inhibit or induce CYP3A.,(See Summary)
7,Olaparib,Aliskiren,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Aliskiren is minimally metabolized and is mainly excreted unchanged in faeces. However, P-glycoprotein is a major determinant of aliskiren bioavailability and inhibition of P-gp by olaparib may increase aliskiren concentrations. If the combination appears necessary, close monitoring of blood pressure is needed.",(See Summary)
8,Olaparib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Olaparib does not interfere with this metabolic pathway. ,(See Summary)
9,Olaparib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Olaparib does not inhibit or induce CYPs 3A4, 2C9 or 1A2.",(See Summary)
10,Olaparib,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Olaparib does not inhibit or induce CYP3A4.,(See Summary)
11,Olaparib,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,(See Summary)
12,Olaparib,Ambrisentan,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Olaparib is an inhibitor of P-gp and may increase concentrations of ambrisentan. The clinical relevance of this interaction is unknown. No a priori dose adjustment is necessary for ambrisentan. However, monitoring for ambrisentan toxicity may be required.",(See Summary)
13,Olaparib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration therefore no pharmacokinetic interaction is expected with olaparib.,(See Summary)
14,Olaparib,Amiloride,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied, Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Secretion of amiloride into the urinary tract by transporters in the proximal tubular cells is necessary for the diuretic effect in later tubule segments. Olaparib inhibits OCT2 and which could decrease amiloride secretion and therapeutic effect. ",(See Summary)
15,Olaparib,Amiodarone,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Amiodarone is metabolised by CYP3A4 and CYP2C8. Olaparib does not inhibit or induce CYP3A4 or CYP2C8. However, the major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Concentrations of olaparib may increase due to weak inhibition of CYP3A4, but this is unlikely to be clinically relevant.",(See Summary)
16,Olaparib,Amisulpride,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Amisulpride is weakly metabolized and is primarily eliminated renally (possibly via OCT). Concentrations may increase because olaparib showed in vitro inhibition of OCT1 and OCT2. The clinical relevance of this interaction is unknown. No a priori dose adjustment is necessary. However, it is recommended to monitor for toxicity of amisulpride. No effect on olaparib concentrations is expected.",(See Summary)
17,Olaparib,Amitriptyline,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19. Olaparib does not interact with this metabolic pathway. ,(See Summary)
18,Olaparib,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Olaparib does not inhibit or induce CYP3A4.,(See Summary)
19,Olaparib,Amoxicillin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. However, in vitro data indicate that amoxicillin is a substrate of OAT3 and concentrations may increase because olaparib showed in vitro inhibition of OAT3. The clinical relevance of this interaction is unknown. No a priori dose adjustment is necessary. However, it is recommended to monitor for toxicity of amoxicillin. No effect on olaparib concentrations is expected.",(See Summary)
20,Olaparib,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amphotericin is not appreciably metabolized and is eliminated to a large extent in the bile. Olaparib does not interfere with amphotericin B elimination pathway. However, the European SPC for amphotericin states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension. Monitoring may be required.",(See Summary)
21,Olaparib,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20 to 40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60 to 80% is excreted in the urine within 6 hours. In vitro data indicate that ampicillin is a substrate of OAT1. Olaparib is unlikely to significantly inhibit ampicillin renal elimination.,(See Summary)
22,Olaparib,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperature. ,(See Summary)
23,Olaparib,Antacids,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,(See Summary)
