,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Olaratumab,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Olaratumab,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic drug interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Olaratumab does not inhibit or induce CYPs. ,(See Summary)
2,Olaratumab,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGT, major UGT1A6). Olaratumab does not inhibit or induce CYPs or UGTs.",(See Summary)
3,Olaratumab,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly by CYP1A2. Olaratumab does not inhibit or induce CYPs.",(See Summary)
4,Olaratumab,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Olaratumab does not interact with this pathway.,(See Summary)
5,Olaratumab,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism but olaratumab is not an inducer or inhibitor of CYPs. ,(See Summary)
6,Olaratumab,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolised by CYP3A. Olaratumab does not inhibit or induce CYPs. ,(See Summary)
7,Olaratumab,Aliskiren,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Additionally, aliskiren is a substrate of P-gp. Olaratumab does not interact with this pathway.",(See Summary)
8,Olaratumab,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Olaratumab does not interact with this pathway. ,(See Summary)
9,Olaratumab,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Olaratumab does not inhibit or induce CYPs. ",(See Summary)
10,Olaratumab,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Olaratumab does not inhibit or induce CYPs.,(See Summary)
11,Olaratumab,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,(See Summary)
12,Olaratumab,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Olaratumab does not inhibit or induce UGTs, CYPs or P-gp.",(See Summary)
13,Olaratumab,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration therefore no pharmacokinetic interaction is expected with olaratumab.,(See Summary)
14,Olaratumab,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Olaratumab is unlikely to significantly inhibit amiloride renal elimination.,(See Summary)
15,Olaratumab,Amiodarone,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiodarone is metabolised by CYP3A4. Olaratumab does not inhibit or induce CYPs. ,(See Summary)
16,Olaratumab,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily eliminated renally (possibly via OCT). Olaratumab is unlikely to significantly impair amisulpride elimination. ,(See Summary)
17,Olaratumab,Amitriptyline,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19. Olaratumab does not inhibit or induce CYPs.,(See Summary)
18,Olaratumab,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Olaratumab does not inhibit or induce CYPs. ,(See Summary)
19,Olaratumab,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Olaratumab is unlikely to interfere with amoxicillin renal elimination.,(See Summary)
20,Olaratumab,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amphotericin B is not appreciably metabolised and is eliminated to a large extent in the bile. Olaratumab does not interfere with amphotericin B elimination pathway. However, the European SPC for amphotericin states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension. Monitoring may be required.",(See Summary)
21,Olaratumab,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20 to 40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60 to 80% is excreted in the urine within 6 hours. Olaratumab is unlikely to significantly inhibit ampicillin renal elimination.,(See Summary)
22,Olaratumab,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperature. ,(See Summary)
23,Olaratumab,Antacids,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.,(See Summary)
24,Olaratumab,Apixaban,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied, but apixaban is a substrate of P-gp and BCRP. Apixaban is metabolised by CYP3A4 and to a lesser extent by CYP1A2, CYP2C8, CYP2C9 and CYP2C19. Olaratumab does not inhibit or induce CYPs. ",(See Summary)
25,Olaratumab,Aprepitant,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. During treatment, aprepitant is a moderate inhibitor of CYP3A4, but after treatment aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Olaratumab does not interact with this pathway.",(See Summary)
26,Olaratumab,Aripiprazole,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aripiprazole is metabolised by CYP3A4 and CYP2D6. Olaratumab does not inhibit or induce CYPs.,(See Summary)
27,Olaratumab,Asenapine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolised by glucuronidation (UGT1A4) and oxidative metabolism (CYP1A2 (major)) and CYP3A4, 2D6 (minor). Olaratumab does not inhibit or induce UGTs or CYPs.",(See Summary)
