,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Paclitaxel,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Paclitaxel does not interact with this metabolic pathway.",See Summary
1,Paclitaxel,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Paclitaxel does not inhibit or induce CYPs.,See Summary
2,Paclitaxel,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Paclitaxel does not inhibit or induce UGTs.",See Summary
3,Paclitaxel,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Paclitaxel does not inhibit or induce CYPs.",See Summary
4,Paclitaxel,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronic acid is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Paclitaxel is unlikely to interfere with this elimination pathway.,See Summary
5,Paclitaxel,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Paclitaxel does not inhibit or induce CYPs.,See Summary
6,Paclitaxel,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Paclitaxel does not inhibit or induce CYPs.,See Summary
7,Paclitaxel,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Paclitaxel is unlikely to interfere with this elimination pathway.,See Summary
8,Paclitaxel,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Paclitaxel does not interact with this metabolic pathway.,See Summary
9,Paclitaxel,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Paclitaxel does not inhibit or induce CYPs.",See Summary
10,Paclitaxel,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Paclitaxel does not inhibit or induce CYPs.,See Summary
11,Paclitaxel,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Paclitaxel is unlikely to interfere with this metabolic pathway.,See Summary
12,Paclitaxel,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolized by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Paclitaxel does not inhibit or induce CYPs, UGTs or P-gp.",See Summary
13,Paclitaxel,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Paclitaxel is unlikely to interfere with this elimination pathway.,See Summary
14,Paclitaxel,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Paclitaxel is unlikely to interfere with this elimination pathway.,See Summary
15,Paclitaxel,Amiodarone,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Amiodarone is metabolised by CYP3A4 and CYP2C8. Paclitaxel does not inhibit or induce CYPs. However, the major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Paclitaxel concentrations may increase due to CYP3A4 inhibition. A case report described severe skin and mucosal toxicity in a patient after coadministration of paclitaxel and trastuzumab with amiodarone. Paclitaxel was still present in blood samples 21 days after the last administration of paclitaxel. The clinical relevance of this interaction is unknown. If coadministration is unavoidable, monitor closely for paclitaxel toxicity. Furthermore, a thorough QT study with paclitaxel has not been performed. In a prospective study, the QTc interval was significantly prolonged (p < 0.001) after treatment with paclitaxel. The net effect on QT prolongation has not been reported. Therefore, it is unknown whether a warning is in place when paclitaxel is coadministered with QT prolonging drugs, such as amiodarone. ECG monitoring should be considered. Note: due to the long half-life of amiodarone, interactions can be observed for several months after discontinuation of amiodarone.",See Summary
16,Paclitaxel,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Paclitaxel is unlikely to interfere with this elimination pathway.,See Summary
17,Paclitaxel,Amitriptyline,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Paclitaxel does not inhibit or induce CYPs. However, a thorough QT study with paclitaxel has not been performed. In a prospective study, the QTc interval was significantly prolonged (p < 0.001) after treatment with paclitaxel. The net effect on QT prolongation has not been reported. Therefore, it is unknown whether a warning is in place when paclitaxel is coadministered with QT prolonging drugs, such as amitriptyline. ECG monitoring should be considered.",See Summary
18,Paclitaxel,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Paclitaxel does not inhibit or induce CYPs.,See Summary
19,Paclitaxel,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Paclitaxel is unlikely to interfere with this elimination pathway.,See Summary
