,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Palbociclib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and microbial flora. Palbociclib is unlikely to interfere with this metabolic pathway.",See Summary
1,Palbociclib,Acenocoumarol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Palbociclib does not inhibit or induce CYPs 2C9, 1A2 or 2C19.",See Summary
2,Palbociclib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Palbociclib does not inhibit or induce UGTs.",See Summary
3,Palbociclib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Palbociclib does not inhibit or induce CYPs 1A2, 2C9 or 2C19.",See Summary
4,Palbociclib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronic acid is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronic acid should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",See Summary
5,Palbociclib,Alfentanil,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Alfentanil undergoes extensive CYP3A4 metabolism. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of alfentanil. In healthy volunteers, coadministration of palbociclib and midazolam, a CYP3A4 substrate, under fasted conditions increased midazolam AUCinf by 61%. A similar effect may occur with alfentanil. Therefore, care should be taken when alfentanil is coadministered with palbociclib. Monitoring for alfentanil toxicity may be required.",See Summary
6,Palbociclib,Alfuzosin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Alfuzosin is metabolised by CYP3A. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of alfuzosin. In healthy volunteers, coadministration of palbociclib and midazolam, a CYP3A4 substrate, under fasted conditions increased midazolam AUCinf by 61%. A similar effect may occur with alfuzosin. Therefore, care should be taken if coadministered. Monitoring for alfuzosin toxicity may be required.",See Summary
7,Palbociclib,Aliskiren,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Palbociclib is an inhibitor of P-gp in vitro at concentrations that are likely to only affect the P-gp present in the gut. Increased exposure of orally administered aliskiren due to intestinal P-gp inhibition cannot be excluded. Therefore, monitoring of blood pressure may be required.",See Summary
8,Palbociclib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Palbociclib does not interact with this metabolic pathway.,See Summary
9,Palbociclib,Alosetron,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of alosetron. As the clinical relevance of this interaction is unknown, monitoring for alosetron toxicity may be required.",See Summary
10,Palbociclib,Alprazolam,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Alprazolam is mainly metabolised by CYP3A4. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of alprazolam. In healthy volunteers, coadministration of palbociclib and midazolam, a CYP3A4 substrate, under fasted conditions increased midazolam AUCinf by 61%. A similar effect may occur with alprazolam. Therefore, care should be taken when alprazolam is coadministered with palbociclib. Monitoring for alprazolam toxicity may be required.",See Summary
11,Palbociclib,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Palbociclib is unlikely to interfere with this pathway. In healthy volunteers under fed conditions, coadministration of palbociclib and rabeprazole, a proton pump inhibitor, decreased palbociclib AUC by 13%. However, in fasted conditions, coadministration of palbociclib and rabeprazole decreased palbociclib AUC by 62%. After coadministration with famotidine, a H2-receptor antagonist, or antacids under fed conditions, no clinically relevant effect on palbociclib exposure was observed. A similar effect may occur with aluminum hydroxide and the effect of aluminum hydroxide on palbociclib exposure under fed conditions is expected to be minimal. Therefore, coadministration does not need to be avoided when palbociclib is taken with food.",See Summary
12,Palbociclib,Ambrisentan,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of ambrisentan. Since CYP3A4 is a minor pathway, a clinically relevant effect on ambrisentan exposure is not expected due to CYP3A4 inhibition. However, palbociclib is also an inhibitor of P-gp in vitro at concentrations that are likely to only affect the P-gp present in the gut. Increased exposure of orally administered ambrisentan due to intestinal P-gp inhibition cannot be excluded. Therefore, monitoring of blood pressure may be required.",See Summary
13,Palbociclib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Palbociclib is unlikely to interfere with this elimination pathway.,See Summary
14,Palbociclib,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Palbociclib is unlikely to interfere with this elimination pathway.,See Summary
15,Palbociclib,Amiodarone,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Amiodarone is metabolised by CYP3A4 and CYP2C8. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of amiodarone. In healthy volunteers, coadministration of palbociclib and midazolam, a CYP3A4 substrate, under fasted conditions increased midazolam AUCinf by 61%. A similar effect may occur with amiodarone. Coadministration should be approached with caution. Monitor for amiodarone toxicity. Furthermore, the major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Concentrations of palbociclib may increase due to inhibition of CYP3A4. However, no dose adjustment is necessary for palbociclib. Note: due to the long half-life of amiodarone, interactions can be observed for several months after discontinuation of amiodarone.",See Summary
16,Palbociclib,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Palbociclib is unlikely to interfere with this elimination pathway.,See Summary
17,Palbociclib,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of amitriptyline. However, since CYP3A4 is a minor pathway, a clinically relevant effect on amitriptyline exposure is not expected.",See Summary
18,Palbociclib,Amlodipine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Amlodipine is metabolised by CYP3A4. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of amlodipine. In healthy volunteers, coadministration of palbociclib and midazolam, a CYP3A4 substrate, under fasted conditions increased midazolam AUCinf by 61%. A similar effect may occur with amlodipine. Therefore, care should be taken when amlodipine is coadministered with palbociclib. Monitoring of blood pressure may be required.",See Summary
19,Palbociclib,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Palbociclib is unlikely to interfere with this elimination pathway and does not inhibit or induce OAT3.,See Summary
20,Palbociclib,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised but is eliminated to a large extent in the bile. Palbociclib does not interfere with this elimination pathway. However, the European SPC for amphotericin B states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension and so monitoring may be required.",See Summary
21,Palbociclib,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Palbociclib is unlikely to interfere with this elimination pathway. ,See Summary
22,Palbociclib,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. Palbociclib is unlikely to interfere with this metabolic pathway.,See Summary
23,Palbociclib,Antacids,"
No Interaction Expected
","
Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Antacids are not metabolised by CYPs. Palbociclib is unlikely to interfere with this pathway. In healthy volunteers under fed conditions, coadministration of palbociclib and rabeprazole, a proton pump inhibitor, decreased palbociclib AUC by 13%. However, in fasted conditions coadministration of palbociclib and rabeprazole decreased palbociclib AUC by 62%. After coadministration with famotidine, a H2-receptor antagonist, or antacids under fed conditions, no clinically relevant effect on palbociclib exposure was observed. Therefore, coadministration does not need to be avoided when palbociclib is taken with food.",See Summary
24,Palbociclib,Apixaban,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Apixaban is a substrate of P-gp and BCRP, and is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of apixaban. In healthy volunteers, coadministration of palbociclib and midazolam, a CYP3A4 substrate, under fasted conditions increased midazolam AUCinf by 61%. A similar effect may occur with apixaban. Furthermore, palbociclib is an in vitro inhibitor of P-gp at concentrations that are likely to only affect the P-gp present in the gut. A further increased exposure of orally administered apixaban due to intestinal P-gp inhibition cannot be excluded. Therefore, care should be taken when apixaban is coadministered with palbociclib. Monitoring for apixaban toxicity anti-Xa activity may be required, if available.",See Summary
25,Palbociclib,Aprepitant,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of aprepitant. In healthy volunteers, coadministration of palbociclib and midazolam, a CYP3A4 substrate, under fasted conditions increased midazolam AUCinf by 61%. A similar effect may occur with aprepitant. Therefore, care should be taken when aprepitant is coadministered with palbociclib. Monitoring for aprepitant toxicity may be required. Furthermore, during treatment aprepitant is a moderate inhibitor of CYP3A4. Concentrations of palbociclib may increase during the three days of coadministration. In a PBPK model, coadministration of palbociclib and diltiazem, a moderate CYP3A4 inhibitor, increased palbociclib exposure by approximately 40%. A similar effect may occur after coadministration with aprepitant. As the clinical relevance of this interaction is unknown, monitoring for palbociclib toxicity should be considered. After treatment, aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Concentrations of palbociclib may decrease due to weak induction of CYP3A4. However, a clinically relevant effect on palbociclib exposure is not expected due to CYP3A4 induction.",See Summary
26,Palbociclib,Aripiprazole,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Aripiprazole is metabolised by CYP3A4 and CYP2D6. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of aripiprazole. In healthy volunteers, coadministration of palbociclib and midazolam, a CYP3A4 substrate, under fasted conditions increased midazolam AUCinf by 61%. A similar effect may occur with aripiprazole. Therefore, care should be taken when aripiprazole is coadministered with palbociclib. Monitoring for aripiprazole toxicity may be required.",See Summary
27,Palbociclib,Asenapine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolised by glucuronidation (UGT1A4) and oxidative metabolism (CYPs 1A2 (major), 3A4 (minor) and 2D6 (minor)). Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of asenapine. However, since CYP3A4 is a minor pathway, a clinically relevant effect on asenapine exposure is not expected.",See Summary
28,Palbociclib,Astemizole,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Astemizole is metabolised by CYPs 2D6, 2J2 and 3A4. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of astemizole. In healthy volunteers, coadministration of palbociclib and midazolam, a CYP3A4 substrate, under fasted conditions increased midazolam AUCinf by 61%. A similar effect may occur with astemizole. Therefore, care should be taken when astemizole is coadministered with palbociclib. Monitoring for astemizole toxicity may be required. ",See Summary
29,Palbociclib,Atenolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atenolol is mainly eliminated unchanged in the kidney, predominantly by glomerular filtration. Palbociclib is unlikely to interfere with this elimination pathway.",See Summary
30,Palbociclib,Atorvastatin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Atorvastatin is metabolised by CYP3A4 and is a substrate of P-gp and OATP1B1. Palbociclib is a weak inhibitor of CYP3A4 and may increase concentrations of atorvastatin. In healthy volunteers, coadministration of palbociclib and midazolam, a CYP3A4 substrate, under fasted conditions increased midazolam AUCinf by 61%. A similar effect may occur with atorvastatin. Furthermore, palbociclib is an inhibitor of P-gp in vitro at concentrations that are likely to only affect the P-gp present in the gut. Increased exposure of orally administered atorvastatin due to intestinal P-gp inhibition cannot be excluded. Care should be taken if coadministered. Monitoring for atorvastatin toxicity may be required.",See Summary
