,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Panobinostat,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Panobinostat is unlikely to interfere with this metabolic pathway.",See Summary
1,Panobinostat,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Panobinostat does not inhibit or induce CYPs 2C9, 1A2 or 2C19. However, panobinostat in combination with acenocoumarol increases the risk of haemorrhage due to the thrombocytopenic effect of panobinostat. If coadministration is unavoidable, monitor closely for signs of bleeding.",See Summary
2,Panobinostat,Acetylsalicylic acid (Aspirin),"
Potential Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Panobinostat does not inhibit or induce UGTs. However, panobinostat in combination with acetylsalicylic acid increases the risk of haemorrhage due to the thrombocytopenic effect of panobinostat. If coadministration is unavoidable, monitor closely for signs of bleeding.",See Summary
3,Panobinostat,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Panobinostat does not inhibit or induce CYPs 1A2, 2C9 or 2C19.",See Summary
4,Panobinostat,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",See Summary
5,Panobinostat,Alfentanil,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Panobinostat is an inhibitor of CYP3A4 in vitro. However, a clinically relevant effect on alfentanil exposure is not expected in vivo. ",See Summary
6,Panobinostat,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Panobinostat is an inhibitor of CYP3A4 in vitro but a clinically relevant effect on alfuzosin exposure is not expected in vivo.,See Summary
7,Panobinostat,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Panobinostat does not interact with this elimination pathway.,See Summary
8,Panobinostat,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Panobinostat does not interact with this metabolic pathway.,See Summary
9,Panobinostat,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Panobinostat is an inhibitor of CYP3A4 in vitro but a clinically relevant effect on alosetron exposure is not expected in vivo.",See Summary
10,Panobinostat,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Panobinostat is an inhibitor of CYP3A4 in vitro but a clinically relevant effect on alprazolam exposure is not expected in vivo.,See Summary
11,Panobinostat,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Panobinostat does not interact with this pathway. Furthermore, the aqueous solubility of panobinostat is pH dependent, with higher pH resulting in lower solubility. Coadministration of panobinostat with drugs that elevate the gastric pH has not been evaluated in vitro or in a clinical trial. However, based on PBPK simulations, a clinical relevant effect on panobinostat absorption after coadministration with aluminium hydroxide is not expected.",See Summary
12,Panobinostat,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Panobinostat is an inhibitor of CYP3A4 in vitro but a clinically relevant effect on ambrisentan exposure is not expected in vivo.",See Summary
13,Panobinostat,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Panobinostat is unlikely to interfere with this elimination pathway.,See Summary
14,Panobinostat,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Panobinostat is an inhibitor of OCT2 in vitro but a clinically relevant effect on amiloride exposure is not expected in vivo.,See Summary
15,Panobinostat,Amiodarone,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but is not recommended. Amiodarone is metabolised by CYP3A4 and CYP2C8. Panobinostat is an inhibitor of CYP3A4 in vitro but a clinically relevant effect on amiodarone exposure is not expected in vivo. However, the major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Concentrations of panobinostat may increase due to inhibition of CYP3A4. As the clinical relevance of this interaction is unknown, monitoring for panobinostat toxicity may be required. Due to the long half-life of amiodarone, interactions can be observed for several months after discontinuation of amiodarone. Furthermore, panobinostat and amiodarone may cause QTc interval prolongation. Coadministration is not recommended. If coadministration is unavoidable, monitor ECG.",See Summary
16,Panobinostat,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily eliminated renally (possibly via OCT). Panobinostat is an inhibitor of OCT1 and OCT2 in vitro but a clinically relevant effect on amisulpride exposure is not expected in vivo. ,See Summary
17,Panobinostat,Amitriptyline,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but is not recommended. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Panobinostat is an inhibitor of CYP2D6 (weak) and CYP3A4 (in vitro) and may increase concentrations of amitriptyline. Monitor closely for amitriptyline toxicity. Furthermore, panobinostat and amitriptyline may cause QTc interval prolongation. Coadministration is not recommended. If coadministration is unavoidable, monitor ECG.",See Summary
18,Panobinostat,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Panobinostat is an inhibitor of CYP3A4 in vitro but a clinically relevant effect on amlodipine exposure is not expected in vivo.,See Summary
