,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Pazopanib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Pazopanib,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Pazopanib does not inhibit or induce CYPs. ,(See Summary)
2,Pazopanib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolized by glucuronidation (by several UGT, major UGT1A6). Pazopanib does not inhibit or induce UGT1A6.",(See Summary)
3,Pazopanib,Agomelatine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatin is metabolised predominantly via CYP1A2. Pazopanib does not inhibit or induce CYP1A2.,(See Summary)
4,Pazopanib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. ",(See Summary)
5,Pazopanib,Alfentanil,"
Potential Weak Interaction
","
Very Low
",Coadministration has not been studied. Alfentanil undergoes extensive CYP3A4 metabolism and concentrations may increase due to weak inhibition of CYP3A4 by pazopanib. The clinical relevance of this interaction is unknown.  ,(See Summary)
6,Pazopanib,Alfuzosin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolized by CYP3A. Pazopanib is a weak inhibitor of CYP3A4 and may increase alfuzosin concentrations. However, since alfuzosin has a wide therapeutic index, this is unlikely to be of clinical significance.",(See Summary)
7,Pazopanib,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolized and is mainly excreted unchanged in faeces. P-glycoprotein is a major determinant of aliskiren bioavailability. Pazopanib is unlikely to affect aliskiren clearance.,(See Summary)
8,Pazopanib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely as allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Pazopanib not interfere with this metabolic pathway. ,(See Summary)
9,Pazopanib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolized by CYP2C9, 3A4 and 1A2. Pazopanib is a weak inhibitor of CYP3A4 and may increase alosetron concentrations but this is unlikely to be of clinical significance due to the wide therapeutic index of alosetron.",(See Summary)
