,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Pembrolizumab,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Pembrolizumab,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Pembrolizumab does not inhibit or induce CYPs.,(See Summary)
2,Pembrolizumab,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Pembrolizumab does not inhibit or induce CYPs or UGTs.",(See Summary)
3,Pembrolizumab,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Pembrolizumab does not inhibit or induce CYPs.",(See Summary)
4,Pembrolizumab,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronic acid is excreted via urine. Pembrolizumab does not interact with this elimination pathway.,(See Summary)
5,Pembrolizumab,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Pembrolizumab does not inhibit or induce CYPs. ,(See Summary)
6,Pembrolizumab,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Pembrolizumab does not inhibit or induce CYPs. ,(See Summary)
7,Pembrolizumab,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Pembrolizumab does not interact with these pathways.,(See Summary)
8,Pembrolizumab,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Pembrolizumab does not interact with this metabolic pathway. ,(See Summary)
9,Pembrolizumab,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Pembrolizumab does not inhibit of induce CYPs. ",(See Summary)
10,Pembrolizumab,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Pembrolizumab does not inhibit or induce CYPs.,(See Summary)
11,Pembrolizumab,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Pembrolizumab is unlikely to interfere with this pathway.,(See Summary)
12,Pembrolizumab,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Pembrolizumab does not inhibit or induce UGTs, CYPs or P-gp.",(See Summary)
13,Pembrolizumab,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Pembrolizumab does not interfere with this elimination pathway.,(See Summary)
14,Pembrolizumab,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Pembrolizumab is unlikely to interfere with this elimination pathway.,(See Summary)
15,Pembrolizumab,Amiodarone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiodarone is metabolised by CYP2C8 and CYP3A4. The major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Pembrolizumab does not interact with this pathway.",(See Summary)
16,Pembrolizumab,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Pembrolizumab is unlikely to interfere with this metabolic or elimination pathway. ,(See Summary)
17,Pembrolizumab,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Pembrolizumab does not inhibit or induce CYPs.",(See Summary)
18,Pembrolizumab,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Pembrolizumab does not inhibit or induce CYPs. ,(See Summary)
19,Pembrolizumab,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Pembrolizumab is unlikely to interfere with this elimination pathway.,(See Summary)
20,Pembrolizumab,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised and is eliminated to a large extent in the bile. Pembrolizumab does not interfere with this elimination pathway. However, the European SPC for amphotericin B states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension, and so monitoring may be required.",(See Summary)
21,Pembrolizumab,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Pembrolizumab is unlikely to interfere with this elimination pathway.,(See Summary)
22,Pembrolizumab,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. ,(See Summary)
