,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Pomalidomide,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Pomalidomide does not interfere with this metabolic pathway.",(See Summary)
1,Pomalidomide,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Pomalidomide does not inhibit or induce CYPs.,(See Summary)
2,Pomalidomide,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Pomalidomide does not inhibit or induce UGTs.",(See Summary)
3,Pomalidomide,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Pomalidomide does not inhibit or induce CYPs.",(See Summary)
4,Pomalidomide,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",(See Summary)
5,Pomalidomide,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Pomalidomide does not inhibit or induce CYPs.,(See Summary)
6,Pomalidomide,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Pomalidomide does not inhibit or induce CYPs.,(See Summary)
7,Pomalidomide,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability. Pomalidomide does not interact with this elimination pathway.,(See Summary)
8,Pomalidomide,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Pomalidomide not interfere with this metabolic pathway.,(See Summary)
9,Pomalidomide,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Pomalidomide does not inhibit or induce CYPs.",(See Summary)
10,Pomalidomide,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Pomalidomide does not inhibit or induce CYPs.,(See Summary)
11,Pomalidomide,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Pomalidomide is unlikely to interact with this pathway.,(See Summary)
12,Pomalidomide,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Pomalidomide does not inhibit or induce CYPs, UGTs or P-gp.",(See Summary)
13,Pomalidomide,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Pomalidomide does not interfere with this elimination pathway.,(See Summary)
14,Pomalidomide,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Pomalidomide is unlikely to interfere with this elimination pathway.,(See Summary)
15,Pomalidomide,Amiodarone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiodarone is metabolised by CYP3A4 and CYP2C8. Furthermore, the major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Pomalidomide does not interact with this pathway.",(See Summary)
16,Pomalidomide,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Pomalidomide is unlikely to interfere with this elimination pathway.,(See Summary)
17,Pomalidomide,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Pomalidomide does not inhibit or induce CYPs.",(See Summary)
18,Pomalidomide,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Pomalidomide does not inhibit or induce CYPs.,(See Summary)
19,Pomalidomide,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Pomalidomide is unlikely to interfere with this elimination pathway.,(See Summary)
20,Pomalidomide,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised but is eliminated to a large extent in the bile. Pomalidomide does not interfere with this elimination pathway. However, the European SPC for amphotericin states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension. Monitoring may be required.",(See Summary)
21,Pomalidomide,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Pomalidomide is unlikely to interfere with this elimination pathway.,(See Summary)
22,Pomalidomide,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. Pomalidomide does not interfere with this metabolic pathway.,(See Summary)
23,Pomalidomide,Antacids,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Antacids are not metabolised by CYPs. Pomalidomide does not interact with this pathway.,(See Summary)
24,Pomalidomide,Apixaban,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Apixaban is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Apixaban is also a substrate of P-gp and BCRP. Pomalidomide does not inhibit or induce CYPs, P-gp or BCRP.",(See Summary)
25,Pomalidomide,Aprepitant,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. Pomalidomide does not inhibit or induce CYPs. However, during treatment aprepitant is a weak-moderate inhibitor of CYP3A4 and a weak inhibitor of CYP2C9. After treatment aprepitant is an inducer of CYP3A4, CYP2C9 (weak) and UGT (weak). Pomalidomide concentrations may slightly alter during and after treatment with aprepitant due to CYP3A4 induction and inhibition. However, coadministration of pomalidomide (4 mg single dose) and the strong CYP3A4 inhibitor, ketoconazole (400 mg twice daily), increased pomalidomide mean AUC and Cmax by 18.8% and 7.3%, respectively. A clinically relevant effect is not expected during aprepitant treatment. Furthermore, coadministration of pomalidomide (4 mg single dose) and the strong CYP3A4 inducer, carbamazepine (200mg twice daily), decreased pomalidomide AUC and Cmax by 20% and 25%, respectively. A clinically relevant effect is not expected after aprepitant treatment. No a priori dose adjustment for pomalidomide is necessary but monitoring of pomalidomide efficacy may be required.",(See Summary)
26,Pomalidomide,Aripiprazole,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aripiprazole is metabolised by CYP3A4 and CYP2D6. Pomalidomide does not inhibit or induce CYPs.,(See Summary)
27,Pomalidomide,Asenapine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolised by glucuronidation (UGT1A4) and oxidative metabolism (CYPs 1A2 (major), 3A4 and 2D6 (minor)). Pomalidomide does not inhibit or induce CYPs or UGTs.",(See Summary)
28,Pomalidomide,Astemizole,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Astemizole is metabolised by CYPs 2D6, 2J2 and 3A4. Pomalidomide does not inhibit or induce CYPs.",(See Summary)
29,Pomalidomide,Atenolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atenolol is mainly eliminated unchanged in the kidney, predominantly by glomerular filtration. Pomalidomide not interfere with this elimination pathway.",(See Summary)
30,Pomalidomide,Atorvastatin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atorvastatin is metabolised by CYP3A4 and is a substrate of P-gp and OATP1B1. Pomalidomide does not inhibit or induce CYPs, P-gp or OATP1B1.",(See Summary)
31,Pomalidomide,Azathioprine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Azathioprine is converted to 6-mercaptopurine which is metabolised analogously to natural purines. Pomalidomide does not interfere with this metabolic pathway. However, due to the risk of additive haematological toxicity, haematological parameters should be monitored if coadministered.",(See Summary)
32,Pomalidomide,Azithromycin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Azithromycin is mainly eliminated via biliary excretion; animal data suggest this may occur via P-gp and MRP2. Pomalidomide does not interact with this elimination pathway. However, azithromycin is an inhibitor of P-gp and may increase concentrations of pomalidomide. The clinical relevance of P-gp inhibition by azithromycin is unknown. Coadministration of pomalidomide (4 mg single dose) and the strong CYP3A4 and P-gp inhibitor, ketoconazole (400 mg twice daily), increased pomalidomide mean AUC and Cmax by 18.8% and 7.3%, respectively. Therefore, no clinically relevant effect is expected with azithromycin.",(See Summary)
33,Pomalidomide,Beclometasone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Beclometasone is a pro-drug which is not metabolised by CYP450, but is hydrolysed via esterase enzymes to the highly active metabolite beclometasone -17-monopropionate. Pomalidomide does not interact with this metabolic pathway.",(See Summary)
34,Pomalidomide,Bedaquiline,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bedaquiline is metabolised by CYP3A4. Pomalidomide does not inhibit or induce CYPs.,(See Summary)
35,Pomalidomide,Bendroflumethiazide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bendroflumethiazide is mainly eliminated by hepatic metabolism (70%) and excreted unchanged in the urine (30%) via OAT1 and OAT3. In vitro data indicate that bendroflumethiazide inhibits these renal transporters but a clinically significant interaction is unlikely in the range of observed clinical concentrations. Pomalidomide does not interfere with this pathway.,(See Summary)
36,Pomalidomide,Bepridil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bepridil is metabolised by CYP2D6 (major) and CYP3A4. Pomalidomide does not inhibit or induce CYPs.,(See Summary)
37,Pomalidomide,Betamethasone,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Betamethasone is metabolised by CYP3A4. Pomalidomide does not inhibit or induce CYPs.,(See Summary)
38,Pomalidomide,Bezafibrate,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Half of a bezafibrate dose is eliminated unchanged in the urine. In vitro data suggest that bezafibrate inhibits the renal transporter OAT1. Pomalidomide does not interact with this pathway.,(See Summary)
