,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Ponatinib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological effect, and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Ponatinib,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Ponatinib does not inhibit or induce CYPs. However, concomitant use of ponatinib with anti-clotting agents should be approached with caution in patients who may be at risk of bleeding events. Severe haemorrhage, including fatalities, occurred in ponatinib-treated patients. Most haemorrhagic events, but not all, occurred in patients with grade 3/4 thrombocytopenia. If coadministration is clinically necessary, close monitoring of thrombocytopenia (complete blood count) is recommended.",(See Summary)
2,Ponatinib,Acetylsalicylic acid (Aspirin),"
Potential Interaction
","
Very Low
","Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, UGT1A6 (major)). Ponatinib does not inhibit or induce CYPs or UGTs. However, ponatinib is highly protein bound (99.92%) and coadministration with aspirin has the potential for displacement of ponatinib from its protein binding sites, thus increasing free (i.e. active) ponatinib exposure. In a clinical study 50% of patients without coadministration of aspirin needed a dose reduction of ponatinib versus 70% of patients with coadministration of aspirin. The clinical relevance of this interaction is unknown. Note: Concomitant use of ponatinib with anti-clotting agents should be approached with caution in patients who may be at risk of bleeding events. Severe haemorrhage, including fatalities, occurred in ponatinib-treated patients. Most haemorrhagic events, but not all, occurred in patients with grade 3/4 thrombocytopenia. If coadministration is clinically necessary, close monitoring of thrombocytopenia (complete blood count) is recommended.",(See Summary)
3,Ponatinib,Agomelatine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly via CYP1A2. Ponatinib does not inhibit or induce CYPs.,(See Summary)
4,Ponatinib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. However, if taken at the same time, it is likely that food and beverages (including mineral water), calcium supplements, antacids, and some oral medicinal products will interfere with absorption of alendronate. Therefore, patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. ",(See Summary)
5,Ponatinib,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Ponatinib does not inhibit or induce CYP3A4.,(See Summary)
6,Ponatinib,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolised by CYP3A. Ponatinib does not inhibit or induce CYPs. ,(See Summary)
7,Ponatinib,Aliskiren,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. However, P-gp is a major determinant of aliskiren bioavailability and ponatinib is an inhibitor of P-gp in vitro. Therefore, concentrations of aliskiren may increase. Monitoring of blood pressure is recommended when ponatinib is coadministered with aliskiren. Note: Ponatinib should be permanently discontinued if medically significant hypertension cannot be adequately controlled with antihypertensive therapy. ",(See Summary)
8,Ponatinib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely as allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Ponatinib not interfere with this metabolic pathway. ,(See Summary)
9,Ponatinib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Ponatinib does not inhibit or induce CYPs.",(See Summary)
10,Ponatinib,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Ponatinib does not inhibit or induce CYPs.,(See Summary)
11,Ponatinib,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. The aqueous solubility of ponatinib is pH dependent and is insoluble at pH>3.7. However, no clinically significant effect on ponatinib AUC and Cmax was observed when coadministered with an acid reducing agent (lansoprazole). ",(See Summary)
12,Ponatinib,Ambrisentan,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Ponatinib is an inhibitor of P-gp in vitro and may increase concentrations of ambrisentan. Monitoring for ambrisentan toxicity is may be required.",(See Summary)
13,Ponatinib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Ponatinib does not interact with this pathway.,(See Summary)
14,Ponatinib,Amiloride,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Ponatinib does not interact with this transporter and is unlikely to significantly affect amiloride renal elimination. However, ponatinib should be permanently discontinued if medically significant hypertension cannot be adequately controlled with antihypertensive therapy. ",(See Summary)
15,Ponatinib,Amiodarone,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiodarone is metabolised by CYP2C8 and CYP3A4. Ponatinib does not inhibit or induce CYPs. ,(See Summary)
16,Ponatinib,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily eliminated renally (possibly via OCT). Ponatinib is unlikely to interact with this pathway. ,(See Summary)
17,Ponatinib,Amitriptyline,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19. Ponatinib does not inhibit or induce CYPs. ,(See Summary)
18,Ponatinib,Amlodipine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amlodipine is metabolised by CYP3A4. Ponatinib does not inhibit or induce CYPs. However, ponatinib should be permanently discontinued if medically significant hypertension cannot be adequately controlled with antihypertensive therapy. ",(See Summary)
19,Ponatinib,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Ponatinib does not interact with this transporter and is therefore unlikely to interfere with amoxicillin renal elimination.,(See Summary)
20,Ponatinib,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely as amphotericin B is not appreciably metabolised and is eliminated to a large extent in the bile. Ponatinib does not interfere with amphotericin B elimination pathway. However, the SPC for amphotericin B states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension, therefore monitoring may be required.",(See Summary)
21,Ponatinib,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Ponatinib is unlikely to significantly affect ampicillin renal elimination.,(See Summary)
22,Ponatinib,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. ,(See Summary)
23,Ponatinib,Antacids,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. The aqueous solubility of ponatinib is pH dependent and is insoluble at pH>3.7. However, no clinically significant effect on ponatinib AUC and Cmax was observed when coadministered with an acid reducing agent (lansoprazole).",(See Summary)
24,Ponatinib,Apixaban,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Apixaban is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Ponatinib does not inhibit or induce CYPs. However, concomitant use of ponatinib with anti-clotting agents should be approached with caution in patients who may be at risk of bleeding events. Severe haemorrhage, including fatalities, occurred in ponatinib-treated patients. Most haemorrhagic events, but not all, occurred in patients with grade 3/4 thrombocytopenia. If coadministration is clinically necessary, close monitoring of thrombocytopenia (complete blood count) is recommended.",(See Summary)
25,Ponatinib,Aprepitant,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. Ponatinib does not inhibit or induce CYPs. However, during treatment aprepitant is a moderate inhibitor of CYP3A4 and may increase concentrations of ponatinib during the three days of coadministration. Therefore, coadministration is not recommended. If coadministration is unavoidable, reduce the ponatinib dose to 50% of the original dose during the few days of coadministration. Monitor closely for ponatinib toxicity. After treatment, aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Concentrations of ponatinib may decrease due to weak induction of CYP3A4, but this is not considered to be clinically relevant.",(See Summary)
26,Ponatinib,Aripiprazole,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aripiprazole is metabolised by CYP3A4 and CYP2D6. Ponatinib does not inhibit or induce CYPs.,(See Summary)
27,Ponatinib,Asenapine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolised by glucuronidation (UGT1A4) and oxidative metabolism (CYP1A2 (major), CYP3A4 and CYP2D6 (minor)). Ponatinib does not inhibit or induce CYPs and UGTs.",(See Summary)
28,Ponatinib,Astemizole,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as astemizole is metabolised by CYPs 2D6, 2J2 and 3A4. Ponatinib does not inhibit or induce CYPs.",(See Summary)
29,Ponatinib,Atenolol,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely as atenolol is mainly eliminated unchanged in the kidney, predominantly by glomerular filtration. However, ponatinib should be permanently discontinued if medically significant hypertension cannot be adequately controlled with antihypertensive therapy. ",(See Summary)
30,Ponatinib,Atorvastatin,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Atorvastatin is metabolised by CYP3A4 and is a substrate of P-gp and BCRP. Ponatinib does not inhibit or induce CYPs but inhibits P-gp and BCRP in vitro. Therefore, concentrations of atorvastatin may increase. It is recommended to monitor patients closely for signs and symptoms of increased exposure to atorvastatin and to consider starting with the lowest dose and titrating up to the desired clinical effect while monitoring for safety.",(See Summary)
31,Ponatinib,Azathioprine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Azathioprine is converted to 6-mercaptopurine which is metabolised analogously to natural purines. Ponatinib does not interfere with this metabolic pathway. However, due to the risk of additive haematological toxicity, haematological parameters should be monitored if coadministered. ",(See Summary)
32,Ponatinib,Azithromycin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Azithromycin is mainly eliminated via biliary excretion with animal data suggesting this may occur via P-gp and MRP2. Ponatinib inhibits P-gp in vitro and therefore azithromycin concentrations may potentially increase. As the clinical relevance of this interaction is unknown, monitoring may be required. ",(See Summary)
33,Ponatinib,Beclometasone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Beclometasone is a pro-drug which is not metabolised by CYP450, but is hydrolysed via esterase enzymes to the highly active metabolite beclometasone -17-monopropionate. Ponatinib does not interact with this metabolic pathway. ",(See Summary)
34,Ponatinib,Bedaquiline,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as bedaquiline is metabolised by CYP3A4. Ponatinib does not inhibit or induce CYPs. ,(See Summary)
35,Ponatinib,Bendroflumethiazide,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Bendroflumethiazide is mainly eliminated by hepatic metabolism (70%) and excreted unchanged in the urine (30%) via OAT1 and OAT3. In addition, there is no evidence that bendroflumethiazide inhibits or induces CYPs and therefore is unlikely to impact ponatinib. Ponatinib does not interact with these pathways. However, ponatinib should be permanently discontinued if medically significant hypertension cannot be adequately controlled with antihypertensive therapy. ",(See Summary)
36,Ponatinib,Bepridil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bepridil is metabolised by CYP2D6 (major) and CYP3A4. Ponatinib does not inhibit or induce CYPs.,(See Summary)
37,Ponatinib,Betamethasone,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Betamethasone is metabolised by CYP3A4. Ponatinib does not inhibit or induce CYPs. ,(See Summary)
38,Ponatinib,Bezafibrate,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as half of bezafibrate dose is eliminated unchanged in the urine. In vitro data suggest that bezafibrate inhibits the renal transporter OAT1. Ponatinib does not interact with this transporter. ,(See Summary)
39,Ponatinib,Bisacodyl,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bisacodyl is converted to an active metabolite by intestinal and bacterial enzymes. Absorption from the gastrointestinal tract is minimal and the small amount absorbed is excreted in urine as the glucuronide. ,(See Summary)
40,Ponatinib,Bisoprolol,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Bisoprolol is partly metabolised by CYP3A4 and CYP2D6 and partly eliminated unchanged in the urine. Ponatinib not does not interact with these pathways. However, bisoprolol is a substrate of P-gp and ponatinib inhibits P-gp in vitro, potentially increasing bisoprolol exposure. Monitoring for toxicity may be required.",(See Summary)
41,Ponatinib,Bosentan,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied and should be avoided. Bosentan is a substrate and inducer of CYP3A4 and CYP2C9, and could potentially decrease ponatinib exposure. A decrease in exposure can lead to decreased efficacy. Coadministration of inducers of CYP3A4 should be avoided, or selection of an alternate concomitant medicinal product, with no or minimal potential to induce CYP3A4 should be considered unless the benefit outweighs the possible risk of ponatinib underexposure. Increasing the dose of ponatinib when coadministering with strong or moderate CYP3A inducers has not been studied and is unlikely to sufficiently compensate for the loss of exposure.",(See Summary)
42,Ponatinib,Bromazepam,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bromazepam undergoes oxidative biotransformation. Interaction studies indicate that CYP3A4 plays a minor role in bromazepam metabolism, but other cytochromes such as CYP2D6 or CYP1A2 may also play a role. Ponatinib does not inhibit or induce CYPs.",(See Summary)
43,Ponatinib,Budesonide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Budesonide is metabolised by CYP3A4. Ponatinib does not inhibit or induce CYPs.,(See Summary)
44,Ponatinib,Buprenorphine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Buprenorphine undergoes both N-dealkylation to form norbuprenorphine (via CYP3A4) and glucuronidation (via UGT2B7 and UGT1A1). Approximately 67-80% of a ponatinib dose is excreted as unchanged drug via bile. Ponatinib does not inhibit or induce CYPs or UGTs. ,(See Summary)
