,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Ribociclib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and microbial flora. Ribociclib is unlikely to interfere with this metabolic pathway.",See Summary
1,Ribociclib,Acenocoumarol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Ribociclib is a weak inhibitor of CYP1A2 and may increase concentrations of acenocoumarol. In healthy volunteers, coadministration of ribociclib and caffeine, a CYP1A2 substrate, increased caffeine exposure by 1.2-fold. A similar effect may occur after coadministration with acenocoumarol. Therefore, no clinically relevant effect on acenocoumarol exposure is expected.",See Summary
2,Ribociclib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Ribociclib does not inhibit or induce UGTs.",See Summary
3,Ribociclib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). However, ribociclib is a weak inhibitor of CYP1A2 and may increase concentrations of agomelatine. In healthy volunteers, coadministration of ribociclib and caffeine, a CYP1A2 substrate, increased caffeine exposure by 1.2-fold. A similar effect may occur after coadministration with agomelatine. Therefore, no clinically relevant effect on agomelatine exposure is expected.",See Summary
4,Ribociclib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",See Summary
5,Ribociclib,Alfentanil,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Alfentanil undergoes extensive CYP3A4 metabolism. Ribociclib is a moderate inhibitor of CYP3A4 and may increase concentrations of alfentanil. In healthy volunteers, coadministration of ribociclib and midazolam, a CYP3A4 substrate, increased midazolam exposure by 3.8-fold. A similar effect may occur with alfentanil. Therefore, coadministration should be approached with caution. If coadministration is unavoidable, monitor closely for alfentanil toxicity.",See Summary
6,Ribociclib,Alfuzosin,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Alfuzosin is metabolised by CYP3A. Ribociclib is a moderate inhibitor of CYP3A4 and may increase concentrations of alfuzosin. In healthy volunteers, coadministration of ribociclib and midazolam, a CYP3A4 substrate, increased midazolam exposure by 3.8-fold. A similar effect may occur with alfuzosin. Therefore, coadministration should be approached with caution. If coadministration is unavoidable, monitor closely for alfuzosin toxicity. ",See Summary
7,Ribociclib,Aliskiren,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Aliskiren is minimally metabolised but is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Ribociclib is an in vitro inhibitor of P-gp at clinically relevant concentrations. As the clinical relevance of this interaction is unknown, care should be taken and monitoring of blood pressure may be necessary.",See Summary
8,Ribociclib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Ribociclib does not interact with this metabolic pathway.,See Summary
9,Ribociclib,Alosetron,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Ribociclib is an inhibitor of CYP3A4 (moderate) and CYP1A2 (weak) and may increase concentrations of alosetron. The clinical relevance of this interaction is unknown. In healthy volunteers, coadministration of ribociclib and midazolam, a CYP3A4 substrate, increased midazolam exposure by 3.8-fold. Also in healthy volunteers, coadministration of ribociclib and caffeine, a CYP1A2 substrate, increased caffeine exposure by 1.2-fold. Similar effects may occur with alosetron. Therefore, coadministration should be approached with caution. If coadministration is unavoidable, monitor closely for alosetron toxicity.",See Summary
10,Ribociclib,Alprazolam,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Alprazolam is mainly metabolised by CYP3A4. Ribociclib is a moderate inhibitor of CYP3A4 and may increase concentrations of alprazolam. In healthy volunteers, coadministration of ribociclib and midazolam, a CYP3A4 substrate, increased midazolam exposure by 3.8-fold. A similar effect may occur with alprazolam. Therefore, coadministration should be approached with caution. If coadministration is unavoidable, monitor closely for alprazolam toxicity.",See Summary
11,Ribociclib,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Ribociclib is unlikely to interfere with this metabolic pathway. Ribociclib has a pH dependent solubility with decreased solubility at pH ≥ 6.8. Coadministration of ribociclib with gastric pH elevating drugs has not been studied but based on the relatively high pH at which decreased solubility is observed, no clinically relevant effect on ribociclib absorption is expected.",See Summary
12,Ribociclib,Ambrisentan,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Ribociclib is an inhibitor of CYP3A4 (moderate) and P-gp (in vitro at clinically relevant concentrations), and may increase concentrations of ambrisentan. As the clinical relevance of this interaction is unknown, care should be taken and monitoring of blood pressure may be necessary.",See Summary
13,Ribociclib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Ribociclib is unlikely to interfere with this elimination pathway.,See Summary
14,Ribociclib,Amiloride,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Ribociclib is an in vitro inhibitor of OCT2 at clinically relevant concentrations. As the clinical relevance of this interaction is unknown, care should be taken and monitoring of blood pressure may be necessary.",See Summary
15,Ribociclib,Amiodarone,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied but is contraindicated. Amiodarone is metabolised by CYP3A4 and CYP2C8. Ribociclib is a moderate inhibitor of CYP3A4 and may increase concentrations of amiodarone. In healthy volunteers, coadministration of ribociclib and midazolam, a CYP3A4 substrate, increased midazolam exposure by 3.8-fold. A similar effect may occur with amiodarone. Furthermore, the major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Ribociclib concentrations may increase due to weak CYP3A4 inhibition. Ribociclib has also shown plasma concentration dependent QT prolongation. In patients, a mean change of 22.9 msec (90% CI: 21.6 – 24.1 msec) from baseline was estimated at a steady-state Cmax after administration of the recommended dose of 600 mg. Therefore, coadministration of ribociclib with amiodarone, a QT prolonging drug, is contraindicated. Note: due to the long half-life of amiodarone, interactions can be observed for several months after discontinuation of amiodarone.",See Summary
16,Ribociclib,Amisulpride,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Ribociclib is an in vitro inhibitor of OCT1/2 at clinically relevant concentrations. As the clinical relevance of this interaction is unknown, care should be taken and monitoring for amisulpride toxicity may be necessary.",See Summary
17,Ribociclib,Amitriptyline,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied but is contraindicated. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Ribociclib is an inhibitor of CYP3A4 (moderate) and CYP1A2 (weak). However, since CYP3A4 and CYP1A2 are minor pathways, no clinically relevant effect on amitriptyline exposure is expected. However, ribociclib shows plasma concentration dependent QT prolongation. In patients, a mean change of 22.9 msec (90% CI: 21.6 – 24.1 msec) from baseline was estimated at a steady-state Cmax after administration of the recommended dose of 600 mg. Therefore, coadministration of ribociclib with amitriptyline, a QT prolonging drug, is contraindicated.",See Summary
18,Ribociclib,Amlodipine,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Amlodipine is metabolised by CYP3A4. Ribociclib is a moderate inhibitor of CYP3A4 and may increase concentrations of amlodipine. In healthy volunteers, coadministration of ribociclib and midazolam, a CYP3A4 substrate, increased midazolam exposure by 3.8-fold. A similar effect may occur with amlodipine. Therefore, coadministration should be approached with caution. If coadministration is unavoidable, closely monitor blood pressure. ",See Summary
19,Ribociclib,Amoxicillin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Although ribociclib is in vitro an inhibitor of OAT1/3, no clinically relevant effect on amoxicillin exposure is expected.",See Summary
20,Ribociclib,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised but is eliminated to a large extent in the bile. Ribociclib does not interfere with this elimination pathway. However, the European SPC for amphotericin B states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension and so monitoring may be required.",See Summary
21,Ribociclib,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Ribociclib is unlikely to interfere with this elimination pathway.,See Summary
22,Ribociclib,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. Ribociclib is unlikely to interfere with this metabolic pathway.,See Summary
23,Ribociclib,Antacids,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Antacids are not metabolised by CYPs. Ribociclib is unlikely to interfere with this metabolic pathway. Ribociclib has a pH dependent solubility with decreased solubility at pH ≥ 6.8. Coadministration of ribociclib with gastric pH elevating drugs has not been studied but based on the relatively high pH at which decreased solubility is observed, no clinically relevant effect on ribociclib absorption is expected.",See Summary
24,Ribociclib,Apixaban,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Apixaban is a substrate of P-gp and BCRP, and is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Ribociclib is an in vitro inhibitor of P-gp and BCRP at clinically relevant concentrations. The clinical relevance of this interaction is unknown. Ribociclib is also a moderate inhibitor of CYP3A4 and weak inhibitor of CYP1A2, and may increase concentrations of apixaban. In healthy volunteers, coadministration of ribociclib and midazolam, a CYP3A4 substrate, increased midazolam exposure by 3.8-fold. A similar effect may occur with apixaban. Therefore, coadministration should be approached with caution. If coadministration is unavoidable, monitor closely for apixaban toxicity. Monitor anti-Xa activity, if available.",See Summary
25,Ribociclib,Aprepitant,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. Ribociclib is an inhibitor of CYP3A4 (moderate) and CYP1A2 (weak), and may increase concentrations of aprepitant. In healthy volunteers, coadministration of ribociclib and midazolam, a CYP3A4 substrate, increased midazolam exposure by 3.8-fold. A similar effect may occur with aprepitant. Therefore, coadministration should be approached with caution. Monitor closely for aprepitant toxicity. Furthermore, during treatment aprepitant is a moderate inhibitor of CYP3A4 and may increase concentrations of ribociclib. No dose adjustment (decrease) of ribociclib is required at initiation of treatment with aprepitant. However, monitoring for ribociclib toxicity is recommended including ECG monitoring, due to concentration dependent QT interval prolongation by ribociclib during the three days of coadministration. After treatment aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Concentrations of ribociclib may decrease due to weak induction of CYP3A4, but this interaction is not considered to be clinically relevant.",See Summary
26,Ribociclib,Aripiprazole,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Aripiprazole is metabolised by CYP3A4 and CYP2D6. Ribociclib does not inhibit or induce CYP2D6. However, concentrations of aripiprazole may increase due to moderate inhibition of CYP3A4 by ribociclib. In healthy volunteers, coadministration of ribociclib and midazolam, a CYP3A4 substrate, increased midazolam exposure by 3.8-fold. A similar effect may occur with aripiprazole. Therefore, coadministration should be approached with caution. If coadministration is unavoidable, monitor closely for aripiprazole toxicity. Monitor aripiprazole plasma concentrations, if available.",See Summary
27,Ribociclib,Asenapine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolised by glucuronidation (UGT1A4) and oxidative metabolism (CYPs 1A2 (major), 3A4 (minor) and 2D6 (minor)). Ribociclib is a weak inhibitor of CYP1A2 and may increase concentrations of asenapine. In healthy volunteers, coadministration of ribociclib and caffeine, a CYP1A2 substrate, increased caffeine exposure by 1.2-fold. A similar effect may occur after coadministration with asenapine. Ribociclib is also a moderate inhibitor of CYP3A4, but a clinically relevant effect on asenapine exposure is not expected as CYP3A4 is a minor pathway.",See Summary
28,Ribociclib,Astemizole,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied but is contraindicated. Astemizole is metabolised by CYPs 2D6, 2J2 and 3A4. Ribociclib is a moderate inhibitor of CYP3A4 and may increase concentrations of astemizole. In healthy volunteers, coadministration of ribociclib and midazolam, a CYP3A4 substrate, increased midazolam exposure by 3.8-fold. A similar effect may occur with astemizole. Furthermore, ribociclib shows plasma concentration dependent QT prolongation. In patients, a mean change of 22.9 msec (90% CI: 21.6 – 24.1 msec) from baseline was estimated at a steady-state Cmax after administration of the recommended dose of 600 mg. Therefore, coadministration of ribociclib with astemizole, a QT prolonging drug, is contraindicated.",See Summary
29,Ribociclib,Atenolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atenolol is mainly eliminated unchanged in the kidney, predominantly by glomerular filtration. Ribociclib is unlikely to interfere with this elimination pathway.",See Summary
30,Ribociclib,Atorvastatin,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Atorvastatin is metabolised by CYP3A4 and is a substrate of P-gp and OATP1B1. Ribociclib is an in vitro inhibitor of P-gp and OATP1B1 at clinically relevant concentrations. The clinical relevance of this interaction is unknown. Furthermore, ribociclib is a moderate inhibitor of CYP3A4 and may increase concentrations of atorvastatin. In healthy volunteers, coadministration of ribociclib and midazolam, a CYP3A4 substrate, increased midazolam exposure by 3.8-fold. A similar effect may occur with atorvastatin. Therefore, coadministration should be approached with caution. If coadministration is unavoidable, monitor closely for atorvastatin toxicity.",See Summary
31,Ribociclib,Azathioprine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Azathioprine is converted to 6-mercaptopurine which is metabolised analogously to natural purines. Ribociclib does not interact with this metabolic pathway. However, due to the risk of additive haematological toxicity, haematological parameters should be monitored if coadministered.",See Summary
