,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Rituximab,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Rituximab does not interfere with this metabolic pathway.",(See Summary)
1,Rituximab,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Rituximab does not inhibit or induce CYPs. ,(See Summary)
2,Rituximab,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","The effect of coadministration on pharmacokinetics has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs (major UGT1A6)). Rituximab does not inhibit or induce CYPs or UGTs. In patients with relapsed/refractory chronic lymphocytic leukaemia, concomitant statin and aspirin use with rituximab improved response rates when compared to non-users of statins and aspirin. ",(See Summary)
3,Rituximab,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Rituximab does not inhibit or induce CYPs.",(See Summary)
4,Rituximab,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Rituximab does not interact with this elimination pathway.,(See Summary)
5,Rituximab,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Rituximab does not inhibit or induce CYP3A4.,(See Summary)
6,Rituximab,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Rituximab does not inhibit or induce CYPs. ,(See Summary)
7,Rituximab,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Rituximab does not interfere with these pathways.,(See Summary)
8,Rituximab,Allopurinol,"
Do Not Coadminister
","
Very Low
","Coadministration has not been studied and should be avoided. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Rituximab does not interact with this pathway. However, some cases of (fatal) Stevens–Johnson syndrome/toxic epidermal necrolysis has been reported following coadministration of allopurinol, rituximab and bendamustine. Therefore, the use of allopurinol for prophylaxis of tumour lysis syndrome concomitantly with rituximab and bendamustine should be avoided. Rasburicase may be used as an alternative therapy. If coadministration of allopurinol is clinically necessary, do not coadminister allopurinol with bendamustine, use a local tumour lysis protocol for hydration and consider use of corticosteroid treatment.",(See Summary)
9,Rituximab,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Rituximab does not inhibit of induce CYPs. ",(See Summary)
10,Rituximab,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Rituximab does not inhibit or induce CYPs.,(See Summary)
11,Rituximab,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised by CYPs. Rituximab is unlikely to interfere with this metabolic pathway.,(See Summary)
12,Rituximab,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Rituximab does not inhibit or induce UGTs, CYPs or P-gp.",(See Summary)
13,Rituximab,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Rituximab does not interfere with this elimination pathway.,(See Summary)
14,Rituximab,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Rituximab is unlikely to significantly affect amiloride renal elimination.,(See Summary)
15,Rituximab,Amiodarone,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiodarone is metabolised by CYP2C8 and CYP3A4. Rituximab does not inhibit or induce CYPs. ,(See Summary)
16,Rituximab,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Rituximab does not interfere with this elimination pathway.,(See Summary)
17,Rituximab,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Rituximab does not inhibit or induce CYPs.",(See Summary)
18,Rituximab,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Rituximab does not inhibit or induce CYPs. ,(See Summary)
19,Rituximab,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Rituximab is unlikely to interfere with this elimination pathway.,(See Summary)
20,Rituximab,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised and is eliminated to a large extent in the bile. Rituximab does not interfere with this elimination pathway. However, the SPC of amphotericin B states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension, and so monitoring may be required. ",(See Summary)
21,Rituximab,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Rituximab does not interfere with these elimination pathways.,(See Summary)
22,Rituximab,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. Rituximab does not interfere with this pathway.,(See Summary)
23,Rituximab,Antacids,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Antacids are not metabolised by CYPs. Rituximab is unlikely to interfere with this metabolic pathway.,(See Summary)
24,Rituximab,Apixaban,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Apixaban is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Apixaban is also a substrate of P-gp and BCRP. Rituximab does not inhibit or induce CYPs, P-gp or BCRP. ",(See Summary)
25,Rituximab,Aprepitant,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. During treatment, aprepitant is a moderate inhibitor of CYP3A4, but after treatment aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Rituximab does not interact with this pathway.",(See Summary)
26,Rituximab,Aripiprazole,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aripiprazole is metabolised by CYP3A4 and CYP2D6. Rituximab does not inhibit or induce CYPs.,(See Summary)
27,Rituximab,Asenapine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolised by glucuronidation (UGT1A4) and oxidative metabolism (CYPs 1A2 (major), 3A4, and 2D6 (minor)). Rituximab does not inhibit or induce CYPs.",(See Summary)
28,Rituximab,Astemizole,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Astemizole is metabolised by CYPs 2D6, 2J2 and 3A4. Rituximab does not inhibit or induce CYPs. ",(See Summary)
29,Rituximab,Atenolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atenolol is mainly eliminated unchanged in the kidney, predominantly by glomerular filtration. Rituximab does not interfere with this elimination pathway.",(See Summary)
30,Rituximab,Atorvastatin,"
No Interaction Expected
","
Very Low
",The effect of coadministration on pharmacokinetics has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atorvastatin is metabolised by CYP3A4 and is a substrate of P-gp. Rituximab does not inhibit or induce CYPs or P-gp. Concomitant statin use had no adverse impact on response to chemotherapy in patients treated with R-CHOP for DLBCL or with rituximab for relapsed or refractory CLL.,(See Summary)
31,Rituximab,Azathioprine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Azathioprine is converted to 6-mercaptopurine which is metabolised analogously to natural purines. Rituximab does not interfere with this metabolic pathway. However, due to the risk of additive haematological toxicity, haematological parameters should be monitored if coadministered. Since both agents are immunosuppressants a possible pharmacodynamic interaction cannot be excluded.",(See Summary)
32,Rituximab,Azithromycin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Azithromycin is mainly eliminated via biliary excretion with animal data suggesting this may occur via P-gp and MRP2. Rituximab is unlike to interfere with this elimination pathway. ,(See Summary)
33,Rituximab,Beclometasone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Beclometasone is a prodrug which is not metabolised by CYP450, but is hydrolysed via esterase enzymes to the highly active metabolite beclometasone -17-monopropionate. Rituximab does not interact with this metabolic pathway.",(See Summary)
34,Rituximab,Bedaquiline,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bedaquiline is metabolised by CYP3A4. Rituximab does not inhibit or induce CYPs. ,(See Summary)
35,Rituximab,Bendroflumethiazide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bendroflumethiazide is mainly eliminated by hepatic metabolism (70%) and excreted unchanged in the urine (30%) via OAT1 and OAT3. Rituximab does not interfere with this metabolic or elimination pathway. ,(See Summary)
36,Rituximab,Bepridil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bepridil is metabolised by CYP2D6 (major) and CYP3A4. Rituximab does not inhibit or induce CYPs. ,(See Summary)
37,Rituximab,Betamethasone,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Betamethasone is metabolised by CYP3A4. Rituximab does not inhibit or induce CYPs.,(See Summary)
