,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Rucaparib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and microbial flora. Therefore, no pharmacokinetic interaction is expected with rucaparib.",See Summary
1,Rucaparib,Acenocoumarol,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Rucaparib is an inhibitor of CYPs 2C9 (weak), 1A2 (moderate) and 2C19 (weak), and may increase concentrations of acenocoumarol. Coadministration of warfarin, a CYP2C9 substrate, with rucaparib increased warfarin exposure by 1.49-fold. A similar effect may occur with acenocoumarol. Therefore, monitoring for acenocoumarol toxicity and INR/PT may be required.",See Summary
2,Rucaparib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Rucaparib does not inhibit or induce UGT1A6.",See Summary
3,Rucaparib,Agomelatine,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Rucaparib is an inhibitor of CYPs 1A2 (moderate), 2C9 (weak) and 2C19 (weak), and may increase concentrations of agomelatine. Coadministration of caffeine, a CYP1A2 substrate, with rucaparib increased caffeine exposure by 2.55-fold. A similar effect may occur with agomelatine. If coadministration is unavoidable, monitor closely for agomelatine toxicity. A dose reduction of agomelatine may be necessary.",See Summary
4,Rucaparib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",See Summary
5,Rucaparib,Alfentanil,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Alfentanil undergoes extensive CYP3A4 metabolism. Rucaparib is a weak inhibitor of CYP3A4 and may increase concentrations of alfentanil. Coadministration of midazolam, a CYP3A4 substrate, with rucaparib increased midazolam exposure by 1.38-fold. A similar effect may occur with alfentanil. Monitoring for alfentanil toxicity may be required.",See Summary
6,Rucaparib,Alfuzosin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Alfuzosin is metabolised by CYP3A. Rucaparib is a weak inhibitor of CYP3A4 and may increase concentrations of alfuzosin. Coadministration of midazolam, a CYP3A4 substrate, with rucaparib increased midazolam exposure by 1.38-fold. A similar effect may occur with alfuzosin. Monitoring for alfuzosin toxicity may be required.",See Summary
7,Rucaparib,Aliskiren,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Rucaparib is an in vitro inhibitor of P-gp. However, after coadministration with digoxin, a P-gp substrate, no clinically relevant effect was observed (digoxin AUC increased by 1.2-fold). A similar effect may occur with aliskiren.",See Summary
8,Rucaparib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Rucaparib does not interact with this metabolic pathway.,See Summary
9,Rucaparib,Alosetron,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Rucaparib is an inhibitor of CYPs 2C9 (weak), 3A4 (weak) and 1A2 (moderate), and may increase concentrations of alosetron. As the clinical relevance of this interaction is unknown, monitoring for alosetron toxicity may be required.",See Summary
10,Rucaparib,Alprazolam,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Alprazolam is mainly metabolised by CYP3A4. Rucaparib is a weak inhibitor of CYP3A4 and may increase concentrations of alprazolam. Coadministration of midazolam, a CYP3A4 substrate, with rucaparib increased midazolam exposure by 1.38-fold. A similar effect may occur with alprazolam. Monitoring for alprazolam toxicity may be required.",See Summary
11,Rucaparib,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Rucaparib is unlikely to interfere with this metabolic pathway. Furthermore, rucaparib has a pH independent solubility between pH 3 and 7, and no clinically relevant effect of gastric acid reducing agents on the absorption of rucaparib is expected.",See Summary
12,Rucaparib,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Rucaparib is an inhibitor of CYP3A4 (weak), CYP2C19 (weak) and P-gp (in vitro), and may increase ambrisentan concentrations. However, after coadministration with digoxin, a P-gp substrate, no clinically relevant effect was observed (digoxin AUC increased by 1.2-fold). A similar effect may occur with ambrisentan. Furthermore, both CYP3A4 and CYP2C19 are minor metabolic pathway. No clinically relevant effect on ambrisentan exposure is expected.",See Summary
13,Rucaparib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Rucaparib is unlikely to interfere with this elimination pathway.,See Summary
14,Rucaparib,Amiloride,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. In vitro, rucaparib has shown weak inhibition of OCT2 at clinical relevant concentrations and may increase amiloride concentrations. As the clinical relevance of this interaction is unknown, monitoring of blood pressure and amiloride toxicity may be required.",See Summary
