,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Sorafenib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Sorafenib,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Sorafenib does not inhibit or induce CYPs. Concomitant treatment with sorafenib and warfarin, a CYP2C9 substrate, did not result in changes in mean PT-INR compared to placebo. However, an increased risk of bleeding is possible with sorafenib in combination with coumarins and close monitoring of INR/PT is recommended.",(See Summary)
2,Sorafenib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolized by glucuronidation (by several UGT, major UGT1A6). Sorafenib does not inhibit or induce CYPs or UGT1A6.",(See Summary)
3,Sorafenib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatin is metabolised predominantly via CYP1A2. Sorafenib does not inhibit or induce CYPs.",(See Summary)
4,Sorafenib,Alendronic acid,"
Potential Weak Interaction
","
Low
","Coadministration has not been studied. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. Osteonecrosis of the jaw has been reported in an increasing number of renal cell cancer patients since the use of combined therapies consisting of nitrogen-containing bisphosphonates and antiangiogenic targeted agents. This suggests that angiogenesis suppression might increase the risk of osteonecrosis of the jaw when coadministered with bisphosphonates. ",(See Summary)
5,Sorafenib,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism but sorafenib does not inhibit or induce CYPs. ,(See Summary)
6,Sorafenib,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolized by CYP3A. Sorafenib does not inhibit or induce CYPs. ,(See Summary)
7,Sorafenib,Aliskiren,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolized and is mainly excreted unchanged in faeces. However, P-glycoprotein is a major determinant of aliskiren bioavailability. Therefore, inhibition of P-gp by sorafenib may increase aliskiren concentrations. If the combination appears necessary, monitoring of blood pressure is recommended.",(See Summary)
8,Sorafenib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on the metabolism and clearance a clinically significant drug-drug interaction is unlikely as allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Sorafenib not interfere with this metabolic pathway. ,(See Summary)
9,Sorafenib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolized by CYP2C9, 3A4 and 1A2. Sorafenib does not inhibit of induce CYPs. ",(See Summary)
