,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Sunitinib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
1,Sunitinib,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Sunitinib does not inhibit or induce CYPs. However, an increased risk of bleeding is possible with sunitinib in combination with coumarins and close monitoring of INR/PT is recommended.",(See Summary)
2,Sunitinib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolized by glucuronidation (by several UGT, major UGT1A6). Sunitinib does not inhibit or induce CYPs or UGTs.",(See Summary)
3,Sunitinib,Agomelatine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly via CYP1A2. Sunitinib does not inhibit or induce CYPs.,(See Summary)
4,Sunitinib,Alendronic acid,"
Potential Weak Interaction
","
Low
","Coadministration has not been studied. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. Osteonecrosis of the jaw has been reported in an increasing number of renal cell cancer patients since the use of combined therapies consisting of nitrogen-containing bisphosphonates and antiangiogenic targeted agents. This suggests that angiogenesis suppression might increase the risk of osteonecrosis of the jaw when coadministered with bisphosphonates. ",(See Summary)
5,Sunitinib,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism but sunitinib is not an inducer or inhibitor of cytochrome P450 isozymes. ,(See Summary)
6,Sunitinib,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolized by CYP3A. Sunitinib does not inhibit or induce CYPs. ,(See Summary)
7,Sunitinib,Aliskiren,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolized and is mainly excreted unchanged in faeces. However, P-glycoprotein is a major determinant of aliskiren bioavailability. Therefore, inhibition of P-gp by sunitinib may increase aliskiren concentrations. If the combination appears necessary, monitoring of blood pressure is recommended.",(See Summary)
8,Sunitinib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely as allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Sunitinib not interfere with this metabolic pathway. ,(See Summary)
9,Sunitinib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolized by CYP2C9, 3A4 and 1A2. Sunitinib does not inhibit of induce CYPs. ",(See Summary)
