,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Temsirolimus,Acarbose,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. However, temsirolimus may induce hyperglycemia, which may require an increase in the dose of acarbose.",(See Summary)
1,Temsirolimus,Acenocoumarol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Temsirolimus does not inhibit or induce CYPs. ",(See Summary)
2,Temsirolimus,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolized by glucuronidation (by several UGT, major UGT1A6). Temsirolimus does not inhibit or induce CYPs or UGTs.",(See Summary)
3,Temsirolimus,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as agomelatine is metabolised predominantly via CYP1A2. Temsirolimus does not inhibit or induce CYPs.",(See Summary)
4,Temsirolimus,Alendronic acid,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. Osteonecrosis of the jaw has been reported in an increasing number of renal cell cancer patients since the use of combined therapies consisting of nitrogen-containing bisphosphonates and antiangiogenic targeted agents. This suggests that angiogenesis suppression might increase the risk of osteonecrosis of the jaw when coadministered with bisphosphonates.",(See Summary)
5,Temsirolimus,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism but temsirolimus does not inhibit or induce CYPs.,(See Summary)
6,Temsirolimus,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as alfuzosin is metabolized by CYP3A. Temsirolimus does not inhibit or induce CYPs. ,(See Summary)
7,Temsirolimus,Aliskiren,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Aliskiren is minimally metabolized and is mainly excreted unchanged in faeces. However, P-gp is a major determinant of aliskiren bioavailability and inhibition of P-gp by temsirolimus may increase aliskiren concentrations. No effect on temsirolimus concentrations is expected.",(See Summary)
8,Temsirolimus,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Temsirolimus not interfere with this metabolic pathway. ,(See Summary)
9,Temsirolimus,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolized by CYPs 2C9, 3A4 and 1A2. Temsirolimus does not inhibit of induce CYPs. ",(See Summary)
10,Temsirolimus,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolized by CYP3A4. Temsirolimus does not inhibit or induce CYPs.,(See Summary)
11,Temsirolimus,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as aluminium hydroxide is unlikely to alter temsirolimus absorption.,(See Summary)
12,Temsirolimus,Ambrisentan,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Temsirolimus is an inhibitor of P-gp and may increase concentrations of ambrisentan. As the clinical relevance of this interaction is unknown, monitoring for ambrisentan toxicity may be required.",(See Summary)
13,Temsirolimus,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration therefore no pharmacokinetic interaction is expected with temsirolimus.,(See Summary)
14,Temsirolimus,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Temsirolimus is unlikely to significantly inhibit amiloride renal elimination.,(See Summary)
15,Temsirolimus,Amiodarone,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Concentrations of temsirolimus may increase due to weak inhibition of CYP3A4 by amiodarone but this is unlikely to be clinically significant. However, an increased risk of amphiphilic pulmonary toxicity is possible with temsirolimus in combination with amphiphilic agents and monitoring may be required.",(See Summary)
16,Temsirolimus,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolized and is primarily eliminated renally (possibly via OCT). Temsirolimus is unlikely to significantly impair amisulpride elimination. ,(See Summary)
17,Temsirolimus,Amitriptyline,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19. Temsirolimus does not inhibit or induce CYPs.,(See Summary)
18,Temsirolimus,Amlodipine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amlodipine is metabolized by CYP3A4. Temsirolimus does not inhibit or induce CYPs. However, coadministration with amlodipine could increase the risk of angioneurotic oedema-type reactions.",(See Summary)
19,Temsirolimus,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Temsirolimus is unlikely to interfere with amoxicillin renal elimination.,(See Summary)
20,Temsirolimus,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely as amphotericin B is not appreciably metabolized and is eliminated to a large extent in the bile. Temsirolimus does not interfere with amphotericin B elimination pathway. However, the European SPC for amphotericin states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension. Monitoring may be required.",(See Summary)
21,Temsirolimus,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20 to 40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60 to 80% is excreted in the urine within 6 hours. Temsirolimus is unlikely to significantly inhibit ampicillin renal elimination.,(See Summary)
22,Temsirolimus,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperature. ,(See Summary)
23,Temsirolimus,Antacids,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as antacids are unlikely to alter temsirolimus absorption.,(See Summary)
24,Temsirolimus,Apixaban,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Apixaban is metabolized by CYP3A4 and to a lesser extent by CYP1A2, CYP2C8, CYP2C9 and CYP2C19. Temsirolimus does not inhibit or induce CYPs. However, apixaban is a substrate of P-gp and BCRP and concentrations may increase due to inhibition of P-gp and BCRP by temsirolimus. No effect on temsirolimus concentrations is expected. ",(See Summary)
25,Temsirolimus,Aprepitant,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. Temsirolimus does not inhibit or induce CYPs. However, during treatment aprepitant is a moderate inhibitor of CYP3A4 and may increase concentrations of temsirolimus during the three days of coadministration. Therefore, coadministration is not recommended. If coadministration is unavoidable, reduce the temsirolimus dose to 50% of the original dose during the few days of coadministration. Monitor closely for temsirolimus toxicity. After treatment, aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Concentrations of temsirolimus may decrease due to weak induction of CYP3A4, but this is not considered to be clinically relevant.",(See Summary)
