,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Thalidomide,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and microbial flora.",See Summary
1,Thalidomide,Acenocoumarol,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Thalidomide does not inhibit or induce CYPs. Acenocoumarol may be indicated to treat the increased risk of thrombosis due to thalidomide administration. However, the use of acenocoumarol with thalidomide may increase the risk of bleeding. Therefore, care should be taken. Advise patients to observe for signs and symptoms of bleeding (e.g. petechiae, epistaxes, gastrointestinal bleedings) or bruising if coadministered.",See Summary
2,Thalidomide,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Thalidomide does not inhibit or induce UGTs.",See Summary
3,Thalidomide,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Thalidomide does not inhibit or induce CYPs.",See Summary
4,Thalidomide,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",See Summary
5,Thalidomide,Alfentanil,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Alfentanil undergoes extensive CYP3A4 metabolism. Thalidomide does not inhibit or induce CYPs. However, thalidomide causes drowsiness and somnolence. Also, a thorough QT study with thalidomide has not been performed, therefore it’s currently unknown if thalidomide has an effect on the QT interval. Thalidomide has potential to induce bradycardia. Due to the increased risk of additional sedative effects and bradycardia, coadministration with alfentanil should be approached with caution. If coadministration is clinically necessary, inform patients about the risks of coadministration. Dose reductions of alfentanil may be required. Closely monitor heart rate and ECG.",See Summary
6,Thalidomide,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Thalidomide does not inhibit or induce CYPs.,See Summary
7,Thalidomide,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Thalidomide is unlikely to interfere with this elimination pathway.,See Summary
8,Thalidomide,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Thalidomide does not interact with this metabolic pathway.,See Summary
9,Thalidomide,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Thalidomide does not inhibit or induce CYPs.",See Summary
10,Thalidomide,Alprazolam,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Alprazolam is mainly metabolised by CYP3A4. Thalidomide does not inhibit or induce CYPs. However, thalidomide causes drowsiness and somnolence, and due to the increased risk of additional sedative effects, coadministration with alprazolam should be approached with caution. If coadministration is clinically necessary, inform patients about the risks of coadministration. Dose reductions of alprazolam may be required.",See Summary
11,Thalidomide,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised.,See Summary
12,Thalidomide,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Thalidomide does not inhibit or induce CYPs, UGTs or P-gp.",See Summary
