,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Tivozanib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Tivozanib is unlikely to interfere with this metabolic pathway.",(See Summary)
1,Tivozanib,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Tivozanib does not inhibit or induce CYPs 2C9, 1A2 or 2C19. However, coadministration of acenocoumarol and tivozanib may increase the risk of haemorrhage. If coadministration is unavoidable, monitor closely for haemorrhage.",(See Summary)
2,Tivozanib,Acetylsalicylic acid (Aspirin),"
Potential Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Tivozanib does not interact with this pathway. However, both aspirin and tivozanib may increase the risk of haemorrhage. If coadministration is unavoidable, monitor closely for haemorrhage.",(See Summary)
3,Tivozanib,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Tivozanib does not inhibit or induce these CYPs.",(See Summary)
4,Tivozanib,Alendronic acid,"
Potential Weak Interaction
","
Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. Furthermore, osteonecrosis of the jaw has been reported in an increasing number of renal cell cancer patients, largely due to the use of combined therapies consisting of nitrogen-containing bisphosphonates (such as alendronic acid) and antiangiogenic targeted agents. This suggests that angiogenesis suppression might increase the risk of osteonecrosis of the jaw when coadministered with bisphosphonates.",(See Summary)
5,Tivozanib,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Tivozanib does not inhibit or induce CYP3A4.,(See Summary)
6,Tivozanib,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Tivozanib does not inhibit or induce CYP3A.,(See Summary)
7,Tivozanib,Aliskiren,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Furthermore, P-gp is a major determinant of aliskiren bioavailability. Tivozanib does not interact with this metabolic pathway.",(See Summary)
8,Tivozanib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Tivozanib not interfere with this metabolic pathway.,(See Summary)
9,Tivozanib,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Tivozanib does not inhibit or induce these CYPs.",(See Summary)
10,Tivozanib,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Tivozanib does not inhibit or induce CYP3A4.,(See Summary)
11,Tivozanib,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Furthermore, tivozanib has low solubility across the whole physiological pH range therefore acid reducing agents will presumably not affect the absorption of tivozanib.",(See Summary)
12,Tivozanib,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Tivozanib does not inhibit or induce UGTs, CYPs or P-gp.",(See Summary)
13,Tivozanib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Tivozanib does not interfere with this elimination pathway.,(See Summary)
14,Tivozanib,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Tivozanib is unlikely to interfere with this elimination pathway.,(See Summary)
