,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Trastuzumab-emtansine,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and microbial flora.",See Summary
1,Trastuzumab-emtansine,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Trastuzumab-emtansine does not inhibit or induce CYPs. However, coadministration should be approached with caution due to the increased risk of haemorrhage. Monitor closely for signs of bleeding.",See Summary
2,Trastuzumab-emtansine,Acetylsalicylic acid (Aspirin),"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Trastuzumab-emtansine does not inhibit or induce CYPs or UGTs. However, coadministration should be approached with caution due to the increased risk of haemorrhage. Monitor closely for signs of bleeding.",See Summary
3,Trastuzumab-emtansine,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Trastuzumab-emtansine does not inhibit or induce CYPs. ",See Summary
4,Trastuzumab-emtansine,Alendronic acid,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronate is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Trastuzumab-emtansine does not interact with this elimination pathway. ,See Summary
5,Trastuzumab-emtansine,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Trastuzumab-emtansine does not inhibit or induce CYPs.,See Summary
6,Trastuzumab-emtansine,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Trastuzumab-emtansine does not inhibit or induce CYPs. ,See Summary
7,Trastuzumab-emtansine,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Trastuzumab-emtansine does not interact with this metabolic pathway.,See Summary
8,Trastuzumab-emtansine,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Trastuzumab-emtansine does not interact with this metabolic pathway. ,See Summary
9,Trastuzumab-emtansine,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Trastuzumab-emtansine does not inhibit or induce CYPs.",See Summary
10,Trastuzumab-emtansine,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Trastuzumab-emtansine does not inhibit or induce CYPs.,See Summary
11,Trastuzumab-emtansine,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised.,See Summary
12,Trastuzumab-emtansine,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Trastuzumab-emtansine does not inhibit or induce CYPs, UGTs or P-gp.",See Summary
13,Trastuzumab-emtansine,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Trastuzumab-emtansine does not interfere with this elimination pathway.,See Summary
14,Trastuzumab-emtansine,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Trastuzumab-emtansine is unlikely to interfere with this elimination pathway.,See Summary
15,Trastuzumab-emtansine,Amiodarone,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Amiodarone is metabolised by CYP3A4 and CYP2C8. Trastuzumab emtansine does not inhibit or induce CYPs. However, the major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Concentrations of DM1, an active component of trastuzumab emtansine, may increase due to inhibition of CYP3A4 by amiodarone. As the clinical relevance of this interaction is unknown, monitoring for trastuzumab emtansine toxicity may be required.Note: due to the long half-life of amiodarone, interactions can be observed for several months after discontinuation of amiodarone.",See Summary
16,Trastuzumab-emtansine,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Trastuzumab-emtansine is unlikely to interfere with this elimination pathway.,See Summary
17,Trastuzumab-emtansine,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Trastuzumab-emtansine does not inhibit or induce CYPs. ",See Summary
18,Trastuzumab-emtansine,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Trastuzumab-emtansine does not inhibit or induce CYPs. ,See Summary
19,Trastuzumab-emtansine,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is also a substrate of OAT3. Trastuzumab-emtansine is unlikely to interfere with this elimination pathway.,See Summary
20,Trastuzumab-emtansine,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised but is eliminated to a large extent in the bile. Trastuzumab-emtansine does not interfere with this elimination pathway. However, the European SPC for amphotericin states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension. Monitoring may be required.",See Summary
21,Trastuzumab-emtansine,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Trastuzumab-emtansine is unlikely to interfere with this elimination pathway.,See Summary
22,Trastuzumab-emtansine,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. Trastuzumab-emtansine is unlikely to interfere with this metabolic pathway.  ,See Summary
23,Trastuzumab-emtansine,Antacids,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Antacids are not metabolised by CYPs. Trastuzumab-emtansine does not interfere with this metabolic pathway.,See Summary
24,Trastuzumab-emtansine,Apixaban,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Apixaban is a substrate of P-gp and BCRP, and is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Trastuzumab-emtansine does not inhibit or induce CYPs, BCRP or P-gp. However, coadministration should be approached with caution due to the increased risk of haemorrhage. Monitor closely for signs of bleeding.",See Summary
25,Trastuzumab-emtansine,Aprepitant,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. Trastuzumab-emtansine does not inhibit or induce CYPs. However, during treatment aprepitant is a moderate inhibitor of CYP3A4 and may increase concentrations of DM1, an active component of trastuzumab-emtansine. As the clinical relevance of this interaction is unknown, monitoring for trastuzumab-emtansine toxicity may be required during the few days of coadministration. Furthermore, after treatment aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Although DM1 is a substrate of CYP3A4, induction of CYP3A4 is not expected to lead to a clinically relevant effect on trastuzumab-emtansine exposure. ",See Summary
26,Trastuzumab-emtansine,Aripiprazole,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aripiprazole is metabolised by CYP3A4 and CYP2D6. Trastuzumab-emtansine does not inhibit or induce CYPs.,See Summary
27,Trastuzumab-emtansine,Asenapine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolised by glucuronidation (UGT1A4) and oxidative metabolism (CYPs 1A2 (major), 3A4 (minor) and 2D6 (minor)). Trastuzumab-emtansine does not inhibit or induce CYPs or UGTs.",See Summary
28,Trastuzumab-emtansine,Astemizole,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Astemizole is metabolised by CYPs 2D6, 2J2 and 3A4. Trastuzumab-emtansine does not inhibit or induce CYPs. ",See Summary
29,Trastuzumab-emtansine,Atenolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atenolol is mainly eliminated unchanged in the kidney, predominantly by glomerular filtration. Trastuzumab-emtansine does not interfere with this elimination pathway.",See Summary
30,Trastuzumab-emtansine,Atorvastatin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atorvastatin is metabolised by CYP3A4 and is also a substrate of P-gp and OATP1B1. Trastuzumab-emtansine does not inhibit or induce CYPs, P-gp or OATPs.",See Summary
31,Trastuzumab-emtansine,Azathioprine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Azathioprine is converted to 6-mercaptopurine which is metabolised analogously to natural purines. Trastuzumab-emtansine does not interfere with this metabolic pathway. However, due to the risk of additive haematological toxicity, haematological parameters should be monitored if coadministered.",See Summary
32,Trastuzumab-emtansine,Azithromycin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Azithromycin is mainly eliminated via biliary excretion; animal data suggest this may occur via P-gp and MRP2. Azithromycin is also an inhibitor of P-gp. Concentrations of DM1, an active component of trastuzumab-emtansine, may increase due to inhibition of P-gp. However, the clinical relevance of P-gp inhibition by azithromycin is unknown. Therefore, monitoring for trastuzumab-emtansine toxicity may be required. ",See Summary
33,Trastuzumab-emtansine,Beclometasone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Beclometasone is a pro-drug which is not metabolised by CYP450, but is hydrolysed via esterase enzymes to the highly active metabolite beclometasone-17-monopropionate. Trastuzumab-emtansine does not interact with this metabolic pathway. ",See Summary
34,Trastuzumab-emtansine,Bedaquiline,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bedaquiline is metabolised by CYP3A4. Trastuzumab-emtansine does not inhibit or induce CYPs. ,See Summary
35,Trastuzumab-emtansine,Bendroflumethiazide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bendroflumethiazide is mainly eliminated by hepatic metabolism (70%) and excreted unchanged in the urine (30%) via OAT1 and OAT3. In vitro data indicate that bendroflumethiazide inhibits these renal transporters but a clinically significant interaction is unlikely in the range of observed clinical concentrations. ,See Summary
36,Trastuzumab-emtansine,Bepridil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bepridil is metabolised by CYP2D6 (major) and CYP3A4. Trastuzumab-emtansine does not inhibit or induce CYPs.,See Summary
37,Trastuzumab-emtansine,Betamethasone,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Betamethasone is metabolised by CYP3A4. Trastuzumab-emtansine does not inhibit or induce CYPs.,See Summary
38,Trastuzumab-emtansine,Bezafibrate,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Half of bezafibrate dose is eliminated unchanged in the urine. In vitro data suggest that bezafibrate inhibits the renal transporter OAT1. Trastuzumab-emtansine does not interact with this pathway. ,See Summary
39,Trastuzumab-emtansine,Bisacodyl,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bisacodyl is converted to an active metabolite by intestinal and bacterial enzymes. Absorption from the gastrointestinal tract is minimal and the small amount absorbed is excreted in the urine as the glucuronide. ,See Summary
40,Trastuzumab-emtansine,Bisoprolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bisoprolol is partly metabolised by CYP3A4 and CYP2D6, and partly eliminated unchanged in the urine. Trastuzumab-emtansine does not interact with this metabolic pathway. ",See Summary
41,Trastuzumab-emtansine,Bosentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bosentan is a substrate and weak inducer of CYP3A4 and CYP2C9. Although DM1, an active component of trastuzumab-emtansine, is a substrate of CYP3A4, a clinically relevant interaction is not expected.",See Summary
42,Trastuzumab-emtansine,Bromazepam,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bromazepam undergoes oxidative biotransformation. Interaction studies indicate that CYP3A4 plays a minor role in bromazepam metabolism, but other cytochromes such as CYP2D6 or CYP1A2 may play a role. Trastuzumab-emtansine does not inhibit or induce CYPs.",See Summary
43,Trastuzumab-emtansine,Budesonide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Budesonide is metabolised by CYP3A4. Trastuzumab-emtansine does not inhibit or induce CYPs.,See Summary
44,Trastuzumab-emtansine,Buprenorphine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Buprenorphine undergoes both N-dealkylation to form norbuprenorphine (via CYP3A4) and glucuronidation (via UGT2B7 and UGT1A1). Trastuzumab-emtansine does not inhibit or induce CYPs or UGTs.,See Summary
45,Trastuzumab-emtansine,Bupropion,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bupropion is primarily metabolised by CYP2B6. Trastuzumab-emtansine does not inhibit or induce CYPs.,See Summary
46,Trastuzumab-emtansine,Buspirone,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Buspirone is metabolised by CYP3A4. Trastuzumab-emtansine does not inhibit or induce CYPs.,See Summary
47,Trastuzumab-emtansine,Calcium,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Calcium is eliminated through faeces, urine and sweat. Trastuzumab-emtansine does not interact with this elimination pathway. ",See Summary
48,Trastuzumab-emtansine,Candesartan,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Candesartan is mainly eliminated unchanged via urine and bile. Trastuzumab-emtansine does not interact with this elimination pathway.,See Summary
49,Trastuzumab-emtansine,Capreomycin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Capreomycin is predominantly excreted via the kidneys as unchanged drug. Trastuzumab-emtansine does not interfere with this elimination pathway.,See Summary
50,Trastuzumab-emtansine,Captopril,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Captopril is largely excreted in the urine by OAT1. Trastuzumab-emtansine does not interact with this elimination pathway.,See Summary
51,Trastuzumab-emtansine,Carbamazepine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Carbamazepine is primarily metabolised by CYP3A4 and to a lesser extent by CYP2C8. Carbamazepine is also an inducer of CYPs 2C8 (strong), 2C9 (strong), 3A4 (strong), 1A2 (weak), 2B6 and UGT1A1. Although DM1, an active component of trastuzumab-emtansine, is a substrate of CYP3A4, a clinically relevant interaction is not expected.",See Summary
52,Trastuzumab-emtansine,Carvedilol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Carvedilol undergoes glucuronidation via UGTs 1A1, 2B4 and 2B7, and additional metabolism via CYP2D6 and to a lesser extent by CYPs 2C9 and 1A2. Trastuzumab-emtansine does not inhibit or induce CYPs or UGTs.",See Summary
53,Trastuzumab-emtansine,Caspofungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Caspofungin undergoes spontaneous chemical degradation and metabolism via a non-CYP mediated pathway. Trastuzumab-emtansine does not interact with this metabolic pathway. ,See Summary
54,Trastuzumab-emtansine,Cefalexin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Cefalexin is predominantly renally eliminated unchanged by glomerular filtration and tubular secretion via OAT1 and MATE1. Trastuzumab-emtansine does not interfere with this elimination pathway.,See Summary
55,Trastuzumab-emtansine,Cefazolin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Cefazolin is predominantly excreted unchanged in the urine, mainly by glomerular filtration with some renal tubular secretion via OAT3. Trastuzumab-emtansine does not interfere with this elimination pathway.",See Summary
56,Trastuzumab-emtansine,Cefixime,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Cefixime is renally excreted predominantly by glomerular filtration. Trastuzumab-emtansine does not interfere with this elimination pathway.,See Summary
57,Trastuzumab-emtansine,Cefotaxime,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Cefotaxime is partially metabolised by non-specific esterases. Most of a dose of cefotaxime is excreted in the urine - about 60% as unchanged drug and a further 24% as desacetyl-cefotaxime, an active metabolite. In vitro studies indicate that OAT3 participates in the renal elimination of cefotaxime. Trastuzumab-emtansine does not interfere with this elimination pathway.",See Summary
58,Trastuzumab-emtansine,Ceftazidime,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ceftazidime is excreted predominantly by renal glomerular filtration. Trastuzumab-emtansine does not interfere with this elimination pathway.,See Summary
59,Trastuzumab-emtansine,Ceftriaxone,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ceftriaxone is eliminated mainly as unchanged drug, approximately 60% of the dose being excreted in the urine predominantly by glomerular filtration and the remainder via the biliary and intestinal tracts. Trastuzumab-emtansine does not interfere with this elimination pathway.",See Summary
60,Trastuzumab-emtansine,Celecoxib,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Celecoxib is primarily metabolised by CYP2C9. Trastuzumab-emtansine does not inhibit or induce CYPs. ,See Summary
61,Trastuzumab-emtansine,Cetirizine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Cetirizine is only metabolised to a limited extent and is eliminated unchanged in the urine through both glomerular filtration and tubular secretion. In vitro data indicate that cetirizine inhibits OCT2. Trastuzumab-emtansine is unlikely to interact with this pathway.,See Summary
62,Trastuzumab-emtansine,Chloramphenicol,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Chloramphenicol is predominantly glucuronidated. In vitro studies have shown that chloramphenicol can also inhibit metabolism mediated by CYPs 3A4 (strong), 2C19 (strong) and 2D6 (weak). Concentrations of DM1, an active component of trastuzumab emtansine, may increase due to inhibition of CYP3A4 by chloramphenicol. As the clinical relevance of this interaction is unknown, monitoring for trastuzumab emtansine toxicity may be required. Ocular use: Although chloramphenicol is systemically absorbed when used topically in the eye, the absorbed concentrations are unlikely to cause a clinically significant interaction.",See Summary
63,Trastuzumab-emtansine,Chlordiazepoxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Chlordiazepoxide is extensively metabolised by CYP3A4, but does not inhibit or induce cytochromes. Trastuzumab-emtansine does not inhibit or induce CYPs.",See Summary
