,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Vemurafenib,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Vemurafenib is unlikely to interfere with this pathway.",(See Summary)
1,Vemurafenib,Acenocoumarol,"
Potential Interaction
","
Very Low
",Coadministration has not been studied. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Vemurafenib is a moderate inhibitor of CYP1A2 and increased caffeine AUC by 2.6-fold. Vemurafenib has also shown to increase warfarin exposure; a similar effect may occur with acenocoumarol. If coadministration of acenocoumarol and vemurafenib is unavoidable exercise caution and consider additional INR monitoring.,(See Summary)
2,Vemurafenib,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Vemurafenib does not inhibit or induce UGT1A6. ",(See Summary)
3,Vemurafenib,Agomelatine,"
Potential Weak Interaction
","
Very Low
",Coadministration has not been studied. Agomelatin is metabolised predominantly via CYP1A2. Vemurafenib is a moderate inhibitor of CYP1A2 and increased caffeine AUC by 2.6-fold; a similar effect may occur with agomelatine. Monitoring for agomelatine toxicity is recommended.,(See Summary)
4,Vemurafenib,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. ",(See Summary)
5,Vemurafenib,Alfentanil,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Alfentanil undergoes extensive CYP3A4 metabolism. Vemurafenib is a moderate inducer of CYP3A4 and decreased midazolam AUC by 39-80%; a similar effect may occur with alfentanil. As the clinical relevance of this interaction is unknown, monitoring of alfentanil efficacy and dose adjustment may be required. However, since alfentanil has a broad therapeutic index, a clinically relevant interaction is unlikely.",(See Summary)
6,Vemurafenib,Alfuzosin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Alfuzosin is metabolised by CYP3A. Vemurafenib is a moderate inducer of CYP3A4 and decreased midazolam AUC by 39-80%; a similar effect may occur with alfuzosin. However, since alfuzosin has a wide therapeutic index, a clinically relevant interaction is unlikely.",(See Summary)
7,Vemurafenib,Aliskiren,"
Potential Interaction
","
Very Low
",Coadministration has not been studied. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. P-gp is a major determinant of aliskiren bioavailability. Vemurafenib is an inhibitor of P-gp and may increase concentrations of aliskiren. Close monitoring for aliskiren toxicity and blood pressure is recommended. Monitoring for aliskiren plasma concentrations should be considered.,(See Summary)
8,Vemurafenib,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Vemurafenib does not interfere with this metabolic pathway. ,(See Summary)
9,Vemurafenib,Alosetron,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Vemurafenib is a moderate inducer of CYP3A4 and a moderate inhibitor of CYP1A2. Vemurafenib decreased midazolam AUC by 39-80% (CYP3A4 induction) and increased caffeine AUC by 2.6-fold (CYP1A2 inhibition). The net effect on alosetron exposure is unknown since multiple metabolic pathways are affected by vemurafenib in different directions. No a priori dose adjustment of alosetron is recommended. However, due to the wide therapeutic index of alosetron, this interaction is unlikely to be clinically relevant.",(See Summary)
10,Vemurafenib,Alprazolam,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Alprazolam is mainly metabolised by CYP3A4. Vemurafenib is a moderate inducer of CYP3A4 and decreased midazolam AUC by 39-80%; a similar effect may occur with alprazolam. As the clinical relevance of this interaction is unknown, monitoring of alprazolam efficacy may be required. ",(See Summary)
11,Vemurafenib,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Although the aqueous solubility of vemurafenib is pH dependent with limited solubility at pH > 6.8, no clinically significant effect of gastric pH increasing drugs on vemurafenib exposure is expected.",(See Summary)
12,Vemurafenib,Ambrisentan,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7, and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Vemurafenib is a moderate inducer of CYP3A4 and an inhibitor of P-gp (in vitro). Concentrations of ambrisentan may decrease due to CYP3A4 induction but concentrations of ambrisentan may also increase due to P-gp inhibition. As the clinical relevance of this interaction is unknown, close monitoring for ambrisentan toxicity is recommended. Monitoring of ambrisentan efficacy may also be required.",(See Summary)
13,Vemurafenib,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Vemurafenib does not interfere with this elimination pathway.,(See Summary)
14,Vemurafenib,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Vemurafenib is not transported by OCT2 and is unlikely to interfere with the elimination of amiloride.,(See Summary)
15,Vemurafenib,Amiodarone,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Amiodarone is metabolised by CYP2C8 and CYP3A4. Vemurafenib is a moderate inducer of CYP3A4 and a weak inhibitor of CYP2C8 (in vitro). Vemurafenib decreased midazolam AUC by 39-80%; a similar effect may occur with amiodarone. The clinical relevance of this interaction is unknown. Due to the narrow therapeutic index of amiodarone, dose increments of approximately 25% should be considered. Monitoring for efficacy is recommended. Monitoring of amiodarone plasma concentrations should be considered, if available. Note: Steady state concentrations of amiodarone are reached after approximately a month.",(See Summary)
16,Vemurafenib,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Vemurafenib is unlikely to affect the elimination of amisulpride. ,(See Summary)
17,Vemurafenib,Amitriptyline,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19. Vemurafenib is a weak inhibitor of CYP2D6 and increased dextromethorphan AUC by 47%, but this is unlikely to be clinically relevant. However, coadministration of vemurafenib and amitriptyline may cause QTc interval prolongation in a concentration-dependent manner. Caution is needed when vemurafenib is coadministered with a drug with a known risk of Torsade de Pointes. If coadministration is necessary, close monitoring including ECG assessment is recommended. If QTc increase meets values of both >500 ms and >60 ms from baseline, discontinue permanently. If QTc increase meets values of >500 ms and change from baseline value remains <60 ms, interrupt treatment temporarily until QTc decreases below 500 ms and resume dosing at a decreased dose level. Discontinue permanently if the dose has already been lowered to 480 mg twice daily.",(See Summary)
