,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Venetoclax,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Venetoclax is unlikely to interfere with this pathway.",(See Summary)
1,Venetoclax,Acenocoumarol,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Venetoclax does not inhibit or induce CYPs. However, in healthy volunteers (n=3), coadministration of venetoclax (400 mg single dose) and warfarin (5 mg single dose), increased AUC and Cmax of R-warfarin and S-warfarin by 18-28%. Therefore it is recommended to monitor the INR closely if venetoclax is coadministered with acenocoumarol.",(See Summary)
2,Venetoclax,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Venetoclax does not inhibit or induce CYPs or UGTs.",(See Summary)
3,Venetoclax,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Venetoclax does not inhibit or induce CYPs.",(See Summary)
4,Venetoclax,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Alendronate is not metabolised and is cleared from the plasma by uptake into bone and elimination via renal excretion. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product. ",(See Summary)
5,Venetoclax,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Venetoclax does not inhibit or induce CYPs.,(See Summary)
6,Venetoclax,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Venetoclax does not inhibit or induce CYPs. ,(See Summary)
7,Venetoclax,Aliskiren,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. However, P-gp is a major determinant of aliskiren bioavailability. Venetoclax may inhibit intestinal P-gp and BCRP at therapeutic doses. In healthy volunteers, coadministration of venetoclax (100 mg single dose) and the P-gp substrate, digoxin (0.5 mg single dose), increased digoxin AUC and Cmax by 9% and 35%, respectively. A similar effect may occur with aliskiren. If coadministration is unavoidable, separate aliskiren administration from venetoclax administration as much as possible to minimise a potential interaction. Close monitoring for aliskiren toxicity is recommended.",(See Summary)
8,Venetoclax,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Venetoclax not interfere with this metabolic pathway. ,(See Summary)
9,Venetoclax,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Venetoclax does not inhibit or induce CYPs. ",(See Summary)
10,Venetoclax,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Venetoclax does not inhibit or induce CYPs.,(See Summary)
11,Venetoclax,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. The solubility of venetoclax is extremely low over the whole pH range. Given that venetoclax is to be administered with food, at a state with somewhat increased gastric pH and where solubilising agents in the food and gastric fluids are likely to increase bioavailability, acid-reducing agents are not expected to affect venetoclax bioavailability.",(See Summary)
12,Venetoclax,Ambrisentan,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied. Ambrisentan is metabolised by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Venetoclax may inhibit intestinal P-gp at therapeutic doses. In healthy volunteers, coadministration of venetoclax (100 mg single dose) and the P-gp substrate, digoxin (0.5 mg single dose), increased digoxin AUC and Cmax by 9% and 35%, respectively. A similar effect may occur after coadministration with ambrisentan. Monitoring for signs and symptoms of increased exposure to ambrisentan should be considered.",(See Summary)
13,Venetoclax,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Venetoclax does not interact with this elimination pathway.,(See Summary)
14,Venetoclax,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Venetoclax is unlikely to affect the elimination of amiloride.,(See Summary)
15,Venetoclax,Amiodarone,"
Potential Interaction
","
Very Low
","Coadministration has not been studied. Amiodarone is metabolised by CYP2C8 and CYP3A4. Venetoclax does not inhibit or induce CYPs. However, the major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Venetoclax concentrations may increase due to CYP3A4 inhibition by amiodarone. Coadministration should be avoided at initiation and during the dose-titration phase to minimise the risk of tumour lysis syndrome. Selection of an alternate concomitant medicinal product with no or minimal potential to inhibit CYP3A4 should be considered. If coadministration is unavoidable, reduce the venetoclax dose by at least 50% during the initiation, titration phase and steady daily dose. Close monitoring for signs and symptoms of tumor lysis syndrome is recommended. The venetoclax dose that was used prior to initiation of amiodarone should be resumed 2 to 3 days after discontinuation of amiodarone. Due to the long half-life of amiodarone, interactions can be observed for several months after discontinuation of amiodarone.",(See Summary)
16,Venetoclax,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily eliminated renally (possibly via OCT). Venetoclax is unlikely to significantly affect amisulpride elimination. ,(See Summary)
17,Venetoclax,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Venetoclax does not inhibit or induce CYPs.",(See Summary)
18,Venetoclax,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Venetoclax does not inhibit or induce CYPs.,(See Summary)
19,Venetoclax,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Venetoclax is unlikely to interfere with this elimination pathway.,(See Summary)
20,Venetoclax,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised and is eliminated to a large extent in the bile. Venetoclax does not interfere with this elimination pathway. However, the European SPC for amphotericin states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension and so monitoring may be required.",(See Summary)
21,Venetoclax,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Venetoclax is unlikely to interfere with this elimination pathway.,(See Summary)
22,Venetoclax,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. Venetoclax does not interfere with this elimination pathway.,(See Summary)
23,Venetoclax,Antacids,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. The solubility of venetoclax is extremely low over the whole pH range. Given that venetoclax is to be administered with food, at a state with somewhat increased gastric pH and where solubilising agents in the food and gastric fluids are likely to increase bioavailability, acid-reducing agents are not expected to affect venetoclax bioavailability.",(See Summary)
24,Venetoclax,Apixaban,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Apixaban is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Venetoclax does not inhibit or induce CYPs. ",(See Summary)
25,Venetoclax,Aprepitant,"
Potential Interaction
","
Very Low
","Coadministration has not been studied but should be approached with caution. Aprepitant is mainly metabolised by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. Venetoclax does not inhibit or induce CYPs. However, during treatment aprepitant is a moderate inhibitor of CYP3A4 and may increase concentrations of venetoclax during the three days of coadministration. Therefore, coadministration should be avoided during the initiation and dose-titration phase to minimise the risk of tumour lysis syndrome. Selection of an alternate concomitant medicinal product with no or minimal potential to inhibit CYP3A4 should be considered. If coadministration is unavoidable, reduce the venetoclax dose by at least 50% during the initiation, titration phase and steady daily dose. Close monitoring for signs and symptoms of tumor lysis syndrome is recommended. Furthermore, after treatment aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Concentrations of venetoclax may decrease due to weak induction of CYP3A4, but this is not considered to be clinically not relevant.",(See Summary)
26,Venetoclax,Aripiprazole,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aripiprazole is metabolised by CYP3A4 and CYP2D6. Venetoclax does not inhibit or induce CYPs.,(See Summary)
27,Venetoclax,Asenapine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolised by glucuronidation (UGT1A4) and oxidative metabolism (CYPs 1A2 (major), 3A4 and 2D6 (minor)). Venetoclax does not inhibit or induce UGTs or CYPs.",(See Summary)
28,Venetoclax,Astemizole,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Astemizole is metabolised by CYPs 2D6, 2J2 and 3A4. Venetoclax does not inhibit or induce CYPs.",(See Summary)
29,Venetoclax,Atenolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atenolol is mainly eliminated unchanged in the kidney, predominantly by glomerular filtration. Venetoclax does not interfere with this elimination pathway.",(See Summary)
