,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Vinorelbine,Acarbose,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. Vinorelbine does not interact with this metabolic pathway.",See Summary
1,Vinorelbine,Acenocoumarol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acenocoumarol is mainly metabolised by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Vinorelbine does not inhibit or induce CYPs.,See Summary
2,Vinorelbine,Acetylsalicylic acid (Aspirin),"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid and then further metabolised by glucuronidation (by several UGTs, major UGT1A6). Vinorelbine does not inhibit or induce UGTs.",See Summary
3,Vinorelbine,Agomelatine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Agomelatine is metabolised predominantly via CYP1A2 (90%), with a small proportion metabolised by CYP2C9 and CYP2C19 (10%). Vinorelbine does not inhibit or induce CYPs.",See Summary
4,Vinorelbine,Alendronic acid,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alendronic acid is not metabolised but is cleared from the plasma by uptake into bone and elimination via renal excretion. Vinorelbine is unlikely to interfere with this elimination pathway. Although no pharmacokinetic interaction is expected, alendronate should be separated from food or other medicinal products and patients must wait at least 30 minutes after taking alendronate before taking any other oral medicinal product.",See Summary
5,Vinorelbine,Alfentanil,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Vinorelbine does not inhibit or induce CYPs.,See Summary
6,Vinorelbine,Alfuzosin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alfuzosin is metabolised by CYP3A. Vinorelbine does not inhibit or induce CYPs.,See Summary
7,Vinorelbine,Aliskiren,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aliskiren is minimally metabolised and is mainly excreted unchanged in faeces. Aliskiren is also a substrate of P-gp. Vinorelbine is unlikely to interfere with this elimination pathway.,See Summary
8,Vinorelbine,Allopurinol,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Allopurinol is converted to oxipurinol by xanthine oxidase and aldehyde oxidase. Vinorelbine does not interact with this metabolic pathway.,See Summary
9,Vinorelbine,Alosetron,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. In vitro data indicate that alosetron is metabolised by CYPs 2C9, 3A4 and 1A2. Vinorelbine does not inhibit or induce CYPs.",See Summary
10,Vinorelbine,Alprazolam,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolised by CYP3A4. Vinorelbine does not inhibit or induce CYPs.,See Summary
11,Vinorelbine,Aluminium hydroxide,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aluminium hydroxide is not metabolised. Vinorelbine is unlikely to interfere with this metabolic pathway.,See Summary
12,Vinorelbine,Ambrisentan,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Ambrisentan is metabolized by glucuronidation via UGTs 1A3, 1A9 and 2B7 and to a lesser extent by CYP3A4 and CYP2C19. Ambrisentan is also a substrate of P-gp. Vinorelbine does not inhibit or induce CYPs, UGTs or P-gp.",See Summary
13,Vinorelbine,Amikacin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amikacin is eliminated by glomerular filtration. Vinorelbine is unlikely to interfere with this elimination pathway.,See Summary
14,Vinorelbine,Amiloride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amiloride is eliminated unchanged in the kidney. In vitro data indicate that amiloride is a substrate of OCT2. Vinorelbine is unlikely to interfere with this elimination pathway.,See Summary
15,Vinorelbine,Amiodarone,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Amiodarone is metabolised by CYP3A4 and CYP2C8. Vinorelbine does not inhibit or induce CYPs. However, the major metabolite of amiodarone, desethylamiodarone, is an inhibitor of CYPs 3A4 (weak), 2C9 (moderate), 2D6 (moderate), 2C19 (weak), 1A1 (strong) and 2B6 (moderate). Vinorelbine concentrations may increase due to CYP3A4 inhibition by the active metabolite of amiodarone. As the clinical relevance of this interaction is unknown, monitoring for vinorelbine toxicity may be required. Note: due to the long half-life of amiodarone, interactions can be observed for several months after discontinuation of amiodarone.",See Summary
16,Vinorelbine,Amisulpride,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amisulpride is weakly metabolised and is primarily renally eliminated (possibly via OCT). Vinorelbine is unlikely to interfere with this elimination pathway.,See Summary
17,Vinorelbine,Amitriptyline,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amitriptyline is metabolised predominantly by CYP2D6 and CYP2C19, with a small proportion metabolised by CYPs 3A4, 1A2 and 2C9. Vinorelbine does not inhibit or induce CYPs.",See Summary
18,Vinorelbine,Amlodipine,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amlodipine is metabolised by CYP3A4. Vinorelbine does not inhibit or induce CYPs.,See Summary
19,Vinorelbine,Amoxicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3. Vinorelbine is unlikely to interfere with this elimination pathway.,See Summary
20,Vinorelbine,Amphotericin B,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Amphotericin B is not appreciably metabolised and is eliminated to a large extent in the bile. Vinorelbine does not interfere with this elimination pathway. However, the European SPC for amphotericin states that concomitant use of amphotericin B and antineoplastic agents can increase the risk of renal toxicity, bronchospasm and hypotension. Monitoring may be required.",See Summary
21,Vinorelbine,Ampicillin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion. About 20-40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60-80% is excreted in the urine within 6 hours. Vinorelbine is unlikely to interfere with this elimination pathway.,See Summary
22,Vinorelbine,Anidulafungin,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Anidulafungin is not metabolised hepatically but undergoes chemical degradation at physiological temperatures. Vinorelbine does not interact with this metabolic pathway.,See Summary
23,Vinorelbine,Antacids,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Antacids are not metabolised by CYPs. Vinorelbine is unlikely to interfere with this metabolic pathway.,See Summary
24,Vinorelbine,Apixaban,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Apixaban is a substrate of P-gp and BCRP, and is metabolised by CYP3A4 and to a lesser extent by CYPs 1A2, 2C8, 2C9 and 2C19. Vinorelbine does not inhibit or induce CYPs, P-gp or BCRP.",See Summary
25,Vinorelbine,Aprepitant,"
No Interaction Expected
","
Low
","Coadministration has been studied. Aprepitant is mainly metabolized by CYP3A4 and to a lesser extent by CYP1A2 and CYP2C19. Vinorelbine does not inhibit or induce CYPs. During treatment, aprepitant is a moderate inhibitor of CYP3A4 and may increase vinorelbine concentrations. The clinical relevance of this interaction is unknown. After coadministration of vinorelbine with the anti-emetic regimen consisting of aprepitant, ondansetron and dexamethasone, no clinically relevant effect on vinorelbine exposure was observed. Moreover, after treatment aprepitant is a weak inducer of CYP3A4, CYP2C9 and UGT. Vinorelbine concentrations may decrease due to CYP3A4 induction. However, this is not considered to be clinically relevant. Furthermore, anti-emetic drugs such as 5HT3 antagonists (e.g. ondansetron, granisetron) do not modify the pharmacokinetics of vinorelbine soft capsules.",See Summary
26,Vinorelbine,Aripiprazole,"
No Interaction Expected
","
Very Low
",Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aripiprazole is metabolised by CYP3A4 and CYP2D6. Vinorelbine does not inhibit or induce CYPs.,See Summary
27,Vinorelbine,Asenapine,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Asenapine is metabolised by glucuronidation (UGT1A4) and oxidative metabolism (CYPs 1A2 (major), 3A4 (minor) and 2D6 (minor)). Vinorelbine does not inhibit or induce CYPs or UGTs.",See Summary
28,Vinorelbine,Astemizole,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Astemizole is metabolised by CYPs 2D6, 2J2 and 3A4. Vinorelbine does not inhibit or induce CYPs.",See Summary
29,Vinorelbine,Atenolol,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atenolol is mainly eliminated unchanged in the kidney, predominantly by glomerular filtration. Vinorelbine is unlikely to interfere with this elimination pathway.",See Summary
30,Vinorelbine,Atorvastatin,"
No Interaction Expected
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Atorvastatin is metabolised by CYP3A4 and is a substrate of P-gp and OATP1B1. Vinorelbine does not inhibit or induce CYPs, P-gp or OATP1B1.",See Summary
31,Vinorelbine,Azathioprine,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Azathioprine is converted to 6-mercaptopurine which is metabolised analogously to natural purines. Vinorelbine does not interact with this metabolic pathway. However, due to the risk of additive haematological toxicity, haematological parameters should be monitored if coadministered.",See Summary
32,Vinorelbine,Azithromycin,"
Potential Weak Interaction
","
Very Low
","Coadministration has not been studied but care should be taken. Azithromycin is mainly eliminated via biliary excretion; animal data suggest this may occur via P-gp and MRP2. Vinorelbine is unlikely to interfere with this elimination pathway. Azithromycin is also an inhibitor of P-gp. Vinca-alkaloids (e.g. vinorelbine) are known as substrates of P-gp and concentrations of vinorelbine may increase. As the clinical relevance of P-gp inhibition by azithromycin is unknown, care should be taken if coadministered. Monitoring for vinorelbine toxicity may be required.",See Summary
