,Drug_1,drug2,Level_of_interaction,Quality_of_interaction,Summary,Description
0,Daclatasvir,Abacavir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant pharmacokinetic interaction is unlikely as abacavir is metabolised by UGTs. No dose adjustment of daclatasvir or abacavir is required.,"This interaction has not been studied but noclinically relevant effect is expected on concentrations of daclatasvir orabacavir. No dose adjustment of daclatasvir or abacavir is required.Daklinza Summary of Product Characteristics, Bristol-Myers Squibb, September 2014."
1,Daclatasvir,Abiraterone,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Abiraterone has multiple metabolic pathways and is an inhibitor of CYP2D6. Daclatasvir is not involved with this pathway.,(See Summary)
2,Daclatasvir,Acalabrutinib,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acalabrutinib is a CYP3A4 and P-gp substrate but these are not affect by daclatasvir.,(See Summary)
3,Daclatasvir,Acamprosate,No Interaction Expected,NA,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely as acamprosate does not undergo significant metabolism.",(See Summary)
4,Daclatasvir,Acarbose,No Interaction Expected,NA,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely. After ingestion of acarbose, the majority of active unchanged drug remains in the lumen of the gastrointestinal tract to exert its pharmacological activity and is metabolised by intestinal enzymes and by the microbial flora. ",(See Summary)
5,Daclatasvir,Acebutolol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acebutolol is mainly excreted in the urine as the diacetol metabolite which is not mediated by CYP450. ,(See Summary)
6,Daclatasvir,Aceclofenac,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aceclofenac is metabolised by CYP2C9 which is not affected by daclatasvir.,(See Summary)
7,Daclatasvir,Acenocoumarol,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as acenocoumarol is predominantly metabolised via CYP2C9 and daclatasvir does not affect this enzyme.,(See Summary)
8,Daclatasvir,Acetazolamide,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Acetazolamide is largely excreted unchanged via renal tubular secretion.,(See Summary)
9,Daclatasvir,Aciclovir,No Interaction Expected,NA,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Aciclovir is eliminated primarily unchanged in the urine via glomerular filtration and active renal secretion. It is transported by OCT3 and daclatasvir does not inhibit or induce this transporter.,(See Summary)
